OBJECTID,CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,ShapeSTArea,ShapeSTLength
13, ,40060,40060,"Richmond, VA","Richmond, VA Metro Area",M1,1,G3110,11852491258,327650564,+37.4634618,-077.4751772,19367038570.7969,929002.058772925
17, ,40180,40180,"Riverton, WY","Riverton, WY Micro Area",M2,2,G3110,23786031608,212125873,+43.0548310,-108.6089349,44951598883.9102,1184829.195711
18, ,40220,40220,"Roanoke, VA","Roanoke, VA Metro Area",M1,1,G3110,4839992441,72598010,+37.2862262,-079.9469346,7774893645.07812,595548.715773288
22, ,40460,40460,"Rockingham, NC","Rockingham, NC Micro Area",M2,2,G3110,1227593689,15572168,+35.0046360,-079.7556946,1857236215.25781,254499.972311799
23, ,40540,40540,"Rock Springs, WY","Rock Springs, WY Micro Area",M2,2,G3110,27005097216,166887296,+41.6603282,-108.8756774,48722572113,948275.831087159
25, ,40620,40620,"Rolla, MO","Rolla, MO Micro Area",M2,2,G3110,1739898251,6587832,+37.8663263,-091.7903492,2807855555.07812,266867.574599608
27, ,40700,40700,"Roseburg, OR","Roseburg, OR Micro Area",M2,2,G3110,13042299244,252000831,+43.2863277,-123.1544760,24786449901.3438,927125.291027514
28, ,40740,40740,"Roswell, NM","Roswell, NM Micro Area",M2,2,G3110,15708886721,25500073,+33.3616045,-104.4698374,22618019167.4922,852639.435467772
30, ,40780,40780,"Russellville, AR","Russellville, AR Micro Area",M2,2,G3110,4513757337,95469502,+35.1995857,-093.2527625,6920585446.39062,474788.202278229
32, ,40860,40860,"Rutland, VT","Rutland, VT Micro Area",M2,2,G3110,2408212536,38758591,+43.5808577,-073.0382023,4664585543.28906,372429.239893081
36, ,40940,40940,"Safford, AZ","Safford, AZ Micro Area",M2,2,G3110,11972750122,47455350,+32.9318277,-109.8783103,17111316770.5508,667694.049371003
39, ,41100,41100,"St. George, UT","St. George, UT Metro Area",M1,1,G3110,6285757441,9061296,+37.2625308,-113.4878003,9960763717.73828,436659.137564258
45, ,41460,41460,"Salina, KS","Salina, KS Micro Area",M2,2,G3110,3732070899,4371297,+38.9645697,-097.6633868,6188272272.37109,325997.577153313
46, ,41500,41500,"Salinas, CA","Salinas, CA Metro Area",M1,1,G3110,8496669426,1270747469,+36.2401070,-121.3155723,13219324478.9453,778930.358471071
47, ,41540,41540,"Salisbury, MD-DE","Salisbury, MD-DE Metro Area",M1,1,G3110,5435128637,2080606122,+38.3995211,-075.4782615,9838931138.91016,585535.063077197
49, ,41660,41660,"San Angelo, TX","San Angelo, TX Metro Area",M1,1,G3110,6665423693,48281360,+31.3653095,-100.6594181,9236620161.79297,416935.80170648
50, ,41700,41700,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area",M1,1,G3110,18939926777,150513456,+29.4330599,-098.6069734,25254897343.4062,855517.859720183
51, ,41740,41740,"San Diego-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area",M1,1,G3110,10895149811,826195031,+33.0236041,-116.7761174,15739203580.8281,562154.614290174
52, ,41760,41760,"Sandpoint, ID","Sandpoint, ID Micro Area",M2,2,G3110,4488456904,479483844,+48.3246338,-116.6274429,11218012759.2109,568514.572640129
56, ,42020,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",M1,1,G3110,8548640337,815490673,+35.3852242,-120.4475445,12977874631.5664,745702.26360301
60, ,42200,42200,"Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA Metro Area",M1,1,G3110,7084000598,2729814515,+34.5370572,-120.0399729,10562328881.4766,866431.015635733
62, ,42300,42300,"Sault Ste. Marie, MI","Sault Ste. Marie, MI Micro Area",M2,2,G3110,4036315424,2952479423,+46.3218192,-084.5206297,9622309422.9375,741969.682748226
63, ,42740,42740,"Sedalia, MO","Sedalia, MO Micro Area",M2,2,G3110,1766949639,10503983,+38.7273667,-093.2852073,2924926478.13672,222690.676065455
66, ,42380,42380,"Sayre, PA","Sayre, PA Micro Area",M2,2,G3110,2971750814,35275587,+41.7914949,-076.5021237,5413164408.96094,298465.908626257
67, ,42420,42420,"Scottsbluff, NE","Scottsbluff, NE Micro Area",M2,2,G3110,9200254100,17707405,+42.1633258,-103.7344731,16788572245.1211,636522.902201982
69, ,42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",M1,1,G3110,4523207858,77170602,+41.3228806,-075.8981877,8164014983.46875,393403.416892988
73, ,42700,42700,"Sebring, FL","Sebring, FL Metro Area",M1,1,G3110,2632946297,231658824,+27.3426272,-081.3409213,3644763010.64453,342129.847408041
74, ,42820,42820,"Selma, AL","Selma, AL Micro Area",M2,2,G3110,2534807219,39134809,+32.3335397,-087.1143556,3615114454.64844,374022.953273004
81, ,43100,43100,"Sheboygan, WI","Sheboygan, WI Metro Area",M1,1,G3110,1324200978,1968298008,+43.7459724,-087.7319856,2566997420.83203,201478.345885418
86, ,43260,43260,"Sheridan, WY","Sheridan, WY Micro Area",M2,2,G3110,6535475148,7986323,+44.7813692,-106.8812114,12992597406.6328,567885.350929646
89, ,43320,43320,"Show Low, AZ","Show Low, AZ Micro Area",M2,2,G3110,25770094276,24078111,+35.3907852,-110.3210248,38921002954.0156,1146846.06804302
90, ,43340,43340,"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA Metro Area",M1,1,G3110,8257698073,324107729,+32.4906379,-093.6711914,12097072268.3359,597205.263574185
93, ,44940,44940,"Sumter, SC","Sumter, SC Metro Area",M1,1,G3110,1722537605,44054049,+33.9162531,-080.3822876,2571809872.28906,342255.54101981
94, ,43420,43420,"Sierra Vista-Douglas, AZ","Sierra Vista-Douglas, AZ Metro Area",M1,1,G3110,15966175635,137024922,+31.8401287,-109.7751627,22399855585.9336,602282.0290165
96, ,43500,43500,"Silver City, NM","Silver City, NM Micro Area",M2,2,G3110,10259419034,15354482,+32.7320870,-108.3815043,14563594414.6211,689646.705471003
