"","rank_year_range","cbsa_code","prosperity_rank","growth_rank","inclusion_rank","value_year","Average Annual Wage","Output per Job","Output per Person","Employment at firms 0-5 years old, indexed to 2006","Employment at firms 0-5 years old, indexed to 2010","Employment, indexed to 2000","Output, indexed to 2000","Employment-to-Population Ratio","Median Income","Relative Income Poverty"
"1","2006-2016","10420","26","72","83","2016",49.072739494,97.580600853,47.549318519,74.002967909,NA,102.88652354,118.04054866,0.7296548,29951.86,0.2897956
"2","2006-2016","10580","20","57","70","2016",53.594329125,119.61305371,63.384790194,76.845523863,NA,106.84561917,121.15170368,0.7466838,36023.05,0.2902374
"3","2006-2016","10740","85","75","57","2016",46.645914397,94.160118003,40.69068673,83.31371616,NA,108.47172414,119.23028619,0.6948071,30062.44,0.2538106
"4","2006-2016","10900","14","35","55","2016",50.803727114,102.57315279,45.052785131,81.526608743,NA,112.39932629,135.51016368,0.7461194,34598.34,0.277177
"5","2006-2016","12060","78","30","79","2016",59.793482073,110.50473081,51.157370848,85.881909398,NA,115.84625292,130.3475954,0.735887,35023.86,0.2613511
"6","2006-2016","12260","83","69","76","2016",48.070133468,91.591538655,36.681632289,67.493364661,NA,110.45897079,111.7773243,0.667483,28353.1,0.2540197
"7","2006-2016","12420","23","1","6","2016",58.070074522,110.34666627,54.292101994,135.97353991,NA,145.75812144,188.08254324,0.7681721,37017.73,0.2493401
"8","2006-2016","12540","81","63","49","2016",49.671841695,126.62428022,44.984572576,65.811352354,NA,128.98235535,140.15921081,0.6113714,26845.15,0.2584392
"9","2006-2016","12580","21","43","51","2016",61.982024409,116.83969449,58.592129154,80.180959698,NA,110.85687657,133.3864056,0.7530349,41932.09,0.2655481
"10","2006-2016","12940","64","33","14","2016",50.788575758,107.24625425,52.537085042,85.853171219,NA,118.75707527,147.15824883,0.6906009,31466.9,0.277044
"11","2006-2016","13820","50","90","87","2016",51.113217233,94.430130423,43.287104862,69.843690431,NA,100.60441452,117.73039962,0.6898773,31972.85,0.2779529
"12","2006-2016","14260","90","47","80","2016",43.659986047,84.45268599,38.5166678,69.15303816,NA,132.36232371,144.51781828,0.74521,29879.53,0.2620372
"13","2006-2016","14460","10",NA,"50","2016",74.824086893,130.50460568,73.728227677,NA,115.1972659,107.94930554,129.94917409,0.770753,41931.02,0.2861449
"14","2006-2016","14860","96","66","64","2016",89.234935543,145.8637708,68.427254636,92.973667039,NA,98.665686537,107.86345925,0.7528949,40087.9,0.2737359
"15","2006-2016","15380","37","56","13","2016",46.050096441,122.62663906,61.173459839,83.214882522,NA,100.69851565,115.78292587,0.7220241,33971.18,0.2799748
"16","2006-2016","15980","100","68","99","2016",45.449059201,92.128767019,33.34989534,66.145707419,NA,153.26182522,155.13101547,0.6983783,27840.37,0.2400763
"17","2006-2016","16700","25","8","7","2016",50.077562963,91.02489817,41.690720024,100.48625969,NA,131.8981499,151.1895545,0.7207054,34968.07,0.2437298
"18","2006-2016","16740","65","21","54","2016",59.42681069,103.79027413,48.736227496,88.954186575,NA,123.43036226,146.00652393,0.7329032,33957.78,0.2599231
"19","2006-2016","16860","52","81","15","2016",46.208760558,95.76825771,44.192160716,68.612483161,NA,105.33394025,116.66340446,0.6931368,30123.34,0.2306869
"20","2006-2016","16980","56","58","40","2016",63.452964569,114.3119547,56.081957961,86.236931484,NA,101.73736,113.98478258,0.7441279,36015.52,0.2600844
"21","2006-2016","17140","33","42","35","2016",53.079160261,99.606047295,50.269991904,87.176837733,NA,106.17591045,120.91662946,0.7465573,35016.14,0.2783185
"22","2006-2016","17460","47","82","69","2016",52.740692278,102.11654068,52.771330387,77.600778887,NA,92.888372012,105.70206654,0.7320358,32855.94,0.2836675
