"","cbsa_name","cbsa_size","i5hgc_density","cbsa_code"
"1","Adrian, MI","Micro",59.5,"10300"
"2","Akron, OH","Medium",59.7,"10420"
"3","Albany-Schenectady-Troy, NY","Medium",65.4,"10580"
"4","Albertville, AL","Micro",42.6,"10700"
"5","Albuquerque, NM","Medium",32.8,"10740"
"6","Alexandria, MN","Micro",55,"10820"
"7","Allentown-Bethlehem-Easton, PA-NJ","Medium",58.4,"10900"
"8","Altoona, PA","Small",7.9,"11020"
"9","Amarillo, TX","Medium",15.5,"11100"
"10","Ames, IA","Small",44.8,"11180"
"11","Anchorage, AK","Medium",10.4,"11260"
"12","Ann Arbor, MI","Medium",120.8,"11460"
"13","Appleton, WI","Small",57.5,"11540"
"14","Asheville, NC","Medium",81.5,"11700"
"15","Athens, OH","Micro",62.2,"11900"
"16","Athens-Clarke County, GA","Small",41.8,"12020"
"17","Atlanta-Sandy Springs-Roswell, GA","Large",193.9,"12060"
"18","Atlantic City-Hammonton, NJ","Medium",14.6,"12100"
"19","Auburn, NY","Micro",12.4,"12180"
"20","Auburn-Opelika, AL","Small",40.7,"12220"
"21","Augusta-Richmond County, GA-SC","Medium",21.2,"12260"
"22","Austin-Round Rock, TX","Large",289.5,"12420"
"23","Bainbridge, GA","Micro",36.5,"12460"
"24","Bakersfield, CA","Medium",28.9,"12540"
"25","Baltimore-Columbia-Towson, MD","Large",124.1,"12580"
"26","Barnstable Town, MA","Small",55.6,"12700"
"27","Batavia, NY","Micro",16.7,"12860"
"28","Baton Rouge, LA","Medium",72.3,"12940"
"29","Bay City, MI","Small",18.7,"13020"
"30","Beaumont-Port Arthur, TX","Medium",12.4,"13140"
"31","Beaver Dam, WI","Micro",33.8,"13180"
"32","Beckley, WV","Small",8,"13220"
"33","Bellingham, WA","Small",84.2,"13380"
"34","Bemidji, MN","Micro",88.9,"13420"
"35","Bend-Redmond, OR","Small",99.7,"13460"
"36","Billings, MT","Small",6.1,"13740"
"37","Binghamton, NY","Medium",16,"13780"
"38","Birmingham-Hoover, AL","Large",78,"13820"
"39","Bismarck, ND","Small",44,"13900"
"40","Blacksburg-Christiansburg-Radford, VA","Small",44.9,"13980"
"41","Bloomington, IL","Small",5.4,"14010"
"42","Bloomington, IN","Small",50.1,"14020"
"43","Bloomsburg-Berwick, PA","Small",11.7,"14100"
"44","Bluefield, WV-VA","Micro",18.7,"14140"
"45","Boise City, ID","Medium",64.3,"14260"
"46","Boone, NC","Micro",38.6,"14380"
"47","Borger, TX","Micro",136,"14420"
"48","Boston-Cambridge-Newton, MA-NH","Large",183.9,"14460"
"49","Boulder, CO","Medium",367,"14500"
"50","Bowling Green, KY","Small",63.3,"14540"
"51","Bozeman, MT","Micro",230.8,"14580"
"52","Brainerd, MN","Micro",54.8,"14660"
"53","Breckenridge, CO","Micro",179.4,"14720"
"54","Bremerton-Silverdale, WA","Small",4.1,"14740"
"55","Brevard, NC","Micro",30.5,"14820"
"56","Bridgeport-Stamford-Norwalk, CT","Medium",121,"14860"
"57","Brownsville-Harlingen, TX","Medium",2.5,"15180"
"58","Brunswick, GA","Small",18.1,"15260"
