"","cbsa_type","cbsa_name","cbsa_code","year","patents_issued"
"1","Metropolitan Statistical Area","San Jose-Sunnyvale-Santa Clara, CA","41940",2000,5812
"2","Metropolitan Statistical Area","New York-Northern New Jersey-Long Island, NY-NJ-PA","35620",2000,5689
"3","Metropolitan Statistical Area","San Francisco-Oakland-Fremont, CA","41860",2000,3625
"4","Metropolitan Statistical Area","Los Angeles-Long Beach-Santa Ana, CA","31100",2000,3877
"5","Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH","14460",2000,2972
"6","Metropolitan Statistical Area","Chicago-Joliet-Naperville, IL-IN-WI","16980",2000,3101
"7","Metropolitan Statistical Area","San Diego-Carlsbad-San Marcos, CA","41740",2000,1724
"8","Metropolitan Statistical Area","Seattle-Tacoma-Bellevue, WA","42660",2000,1141
"9","Metropolitan Statistical Area","Minneapolis-St. Paul-Bloomington, MN-WI","33460",2000,2244
"10","Metropolitan Statistical Area","Detroit-Warren-Livonia, MI","19820",2000,2120
"11","Metropolitan Statistical Area","Dallas-Fort Worth-Arlington, TX","19100",2000,2116
"12","Metropolitan Statistical Area","Austin-Round Rock-San Marcos, TX","12420",2000,1680
"13","Metropolitan Statistical Area","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2000,2185
"14","Metropolitan Statistical Area","Houston-Sugar Land-Baytown, TX","26420",2000,1767
"15","Metropolitan Statistical Area","Portland-Vancouver-Hillsboro, OR-WA","38900",2000,988
"16","Metropolitan Statistical Area","Washington-Arlington-Alexandria, DC-VA-MD-WV","47900",2000,1218
"17","Metropolitan Statistical Area","Atlanta-Sandy Springs-Marietta, GA","12060",2000,1023
"18","Metropolitan Statistical Area","Phoenix-Mesa-Glendale, AZ","38060",2000,1259
"19","Metropolitan Statistical Area","Rochester, NY","40380",2000,1382
"20","Metropolitan Statistical Area","Boise City-Nampa, ID","14260",2000,1450
"21","Metropolitan Statistical Area","Raleigh-Cary, NC","39580",2000,672
"22","Metropolitan Statistical Area","Miami-Fort Lauderdale-Pompano Beach, FL","33100",2000,989
"23","Metropolitan Statistical Area","Cincinnati-Middletown, OH-KY-IN","17140",2000,864
"24","Metropolitan Statistical Area","Denver-Aurora-Broomfield, CO","19740",2000,627
"25","Metropolitan Statistical Area","Cleveland-Elyria-Mentor, OH","17460",2000,772
"26","Metropolitan Statistical Area","Pittsburgh, PA","38300",2000,736
"27","Metropolitan Statistical Area","Albany-Schenectady-Troy, NY","10580",2000,495
"28","Metropolitan Statistical Area","Baltimore-Towson, MD","12580",2000,645
"29","Metropolitan Statistical Area","St. Louis, MO-IL","41180",2000,632
"30","Metropolitan Statistical Area","Poughkeepsie-Newburgh-Middletown, NY","39100",2000,523
"31","Metropolitan Statistical Area","Bridgeport-Stamford-Norwalk, CT","14860",2000,669
"32","Metropolitan Statistical Area","Boulder, CO","14500",2000,458
"33","Metropolitan Statistical Area","Milwaukee-Waukesha-West Allis, WI","33340",2000,532
"34","Metropolitan Statistical Area","Hartford-West Hartford-East Hartford, CT","25540",2000,481
"35","Metropolitan Statistical Area","Indianapolis-Carmel, IN","26900",2000,544
"36","Metropolitan Statistical Area","Kansas City, MO-KS","28140",2000,291
"37","Metropolitan Statistical Area","Ann Arbor, MI","11460",2000,371
"38","Metropolitan Statistical Area","Sacramento--Arden-Arcade--Roseville, CA","40900",2000,441
"39","Metropolitan Statistical Area","Oxnard-Thousand Oaks-Ventura, CA","37100",2000,375
"40","Metropolitan Statistical Area","Bremerton-Silverdale, WA","14740",2000,208
"41","Metropolitan Statistical Area","Santa Cruz-Watsonville, CA","42100",2000,355
"42","Metropolitan Statistical Area","Worcester, MA","49340",2000,362
