"","st_name","co_name","stco_code","year","patents_issued"
"1","CALIFORNIA","Santa Clara County","06085",2000,5799
"2","CALIFORNIA","San Diego County","06073",2000,1724
"3","CALIFORNIA","Los Angeles County","06037",2000,2420
"4","WASHINGTON","King County","53033",2000,928
"5","CALIFORNIA","San Mateo County","06081",2000,1445
"6","MASSACHUSETTS","Middlesex County","25017",2000,1604
"7","CALIFORNIA","Alameda County","06001",2000,1356
"8","CALIFORNIA","Orange County","06059",2000,1457
"9","MICHIGAN","Oakland County","26125",2000,1066
"10","ARIZONA","Maricopa County","04013",2000,1235
"11","ILLINOIS","Cook County","17031",2000,1226
"12","IDAHO","Ada County","16001",2000,1332
"13","NEW YORK","Monroe County","36055",2000,1230
"14","NORTH CAROLINA","Wake County","37183",2000,664
"15","MINNESOTA","Hennepin County","27053",2000,786
"16","TEXAS","Collin County","48085",2000,807
"17","TEXAS","Williamson County","48491",2000,625
"18","TEXAS","Harris County","48201",2000,787
"19","NEW YORK","Westchester County","36119",2000,614
"20","TEXAS","Fort Bend County","48157",2000,648
"21","OREGON","Washington County","41067",2000,455
"22","NEW YORK","New York County","36061",2000,534
"23","TEXAS","Dallas County","48113",2000,747
"24","TEXAS","Travis County","48453",2000,473
"25","CALIFORNIA","Contra Costa County","06013",2000,433
"26","CONNECTICUT","Fairfield County","09001",2000,669
"27","MARYLAND","Montgomery County","24031",2000,500
"28","TEXAS","Hays County","48209",2000,441
"29","ILLINOIS","Lake County","17097",2000,608
"30","COLORADO","Boulder County","08013",2000,458
"31","NEW YORK","Dutchess County","36027",2000,443
"32","MICHIGAN","Wayne County","26163",2000,568
"33","CALIFORNIA","San Francisco County","06075",2000,214
"34","MASSACHUSETTS","Norfolk County","25021",2000,447
"35","NEW JERSEY","Monmouth County","34025",2000,535
"36","MICHIGAN","Washtenaw County","26161",2000,371
"37","PENNSYLVANIA","Montgomery County","42091",2000,562
"38","ILLINOIS","DuPage County","17043",2000,580
