"","city","country","measure","period","round","value","latitude","longitude","rank","geoid"
"1","Akron","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",50.773827,41.08144,-81.519,256,"10420"
"2","Albany (NY)","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",104.04169,42.6526,-73.7562,195,"10580"
"3","Albuquerque","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",261.7243,35.08449,-106.6511,104,"10740"
"4","Allentown","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",61.107655,40.6023,-75.4714,239,"10900"
"5","Ann Arbor","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",1554.5594,42.2808,-83.743,14,"11460"
"6","Atlanta","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",524.00049,33.749,-84.38799,53,"12060"
"7","Austin","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",1766.2776,30.26715,-97.74306,12,"12420"
"8","Baltimore","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",461.1532,39.29039,-76.61219,62,"12580"
"9","Bend","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",308.33228,44.0582,-121.3153,90,"13460"
"10","Birmingham","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",108.40171,33.52066,-86.80249,186,"13820"
"11","Boise","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",274.66522,43.6187,-116.2146,99,"14260"
"12","Boston","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",5120.356,42.35843,-71.05978,3,"14460"
"13","Boulder","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",3676.2495,40.015,-105.2705,4,"14500"
"14","Bozeman","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",894.76202,45.677,-111.0429,33,"14580"
"15","Bridgeport","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",569.22162,41.1792,-73.1894,47,"14860"
"16","Buffalo","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",178.36664,42.88645,-78.87837,136,"15380"
"17","Burlington (VT)","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",180.58064,44.4759,-73.2121,135,"15540"
"18","Charleston (SC)","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",189.59238,32.77225,-79.9334,131,"16700"
"19","Charlotte","United States","Capital Invested ($ M) per 1M Residents","2015-17","Total VC",395.92886,35.22709,-80.84312,74,"16740"
