cbsa_code,cbsa_name_short,auto_10,auto_20,auto_30,auto_40,auto_50,auto_60,transit_10,transit_20,transit_30,transit_40,transit_50,transit_60,ratio_10,ratio_20,ratio_30,ratio_40,ratio_50,ratio_60
12060,Atlanta,30978,184204,475950,863805,1314616,1791972,327,1936,7152,18963,40575,72599,94.73394495,95.14669421,66.54781879,45.55212783,32.39965496,24.68314991
12420,Austin,52575,246705,481581,709627,895010,1051765,479,3125,11444,27794,51601,81826,109.7599165,78.9456,42.08152744,25.53166151,17.3448189,12.85367732
12580,Baltimore,41606,238010,584586,979380,1384892,1926759,656,5202,17344,39068,71035,111707,63.42378049,45.75355632,33.70537362,25.06859834,19.49591047,17.24832822
13820,Birmingham,25029,131759,268251,373520,473486,582467,195,914,2713,6097,11236,17858,128.3538462,144.1564551,98.87615186,61.26291619,42.14008544,32.6165864
14460,Boston,48002,248183,605308,1080633,1635082,2261287,1569,12461,44014,102793,185162,275182,30.59400892,19.91678035,13.75262417,10.51271001,8.830548385,8.217423378
15380,Buffalo,44912,214387,389028,486679,540586,582827,459,3348,11101,25397,46002,70219,97.84749455,64.03434886,35.04441041,19.16285388,11.75135864,8.300132443
16740,Charlotte,35290,185778,450125,741740,964577,1137958,412,2342,7682,18417,34868,55578,85.65533981,79.32450897,58.59476699,40.27474616,27.66367443,20.47497211
16980,Chicago,60745,303397,769483,1417022,2198055,3012464,1765,15515,53831,124251,224898,342635,34.41643059,19.55507573,14.29442143,11.40451183,9.773564016,8.792049849
17140,Cincinnati,36069,213277,494927,779140,1014801,1197690,365,2157,7080,16385,30562,48793,98.81917808,98.87668057,69.9049435,47.5520293,33.20466593,24.54634886
17460,Cleveland,34822,206317,507302,844128,1136296,1372782,439,2527,8703,22317,44429,74528,79.32118451,81.64503364,58.29047455,37.82443877,25.5755475,18.41968119
18140,Columbus,51510,308145,605435,796633,952756,1093480,404,3165,10857,24913,46249,74521,127.5,97.36018957,55.76448374,31.97659856,20.60057515,14.67344775
19100,Dallas,62472,387888,998369,1748896,2459862,2941638,472,3132,10699,27006,56150,100304,132.3559322,123.8467433,93.31423498,64.75953492,43.80876224,29.32722524
