cbsa_code,cbsa_name,pop_total,pop_white,pop_black,pop_latino,pop_asian,pct_white,pct_black,pct_latino,pct_asian,pct_edu_hsplus_white,pct_edu_hsplus_black,pct_edu_hsplus_asian,pct_edu_hsplus_latino,pct_edu_baplus_white,pct_edu_baplus_black,pct_edu_baplus_asian,pct_edu_baplus_latino,movein_edu_baplus,movein_total,pct_newcomer,newcomer_pct_edu_baplus,pct_nocar,med_hh_inc_total,med_hh_inc_white,med_hh_inc_black,med_hh_inc_asian,med_hh_inc_latino,pct_belowpoverty_total,pct_belowpoverty_white,pct_belowpoverty_black,pct_belowpoverty_asian,pct_belowpoverty_latino,pct_edu_hs,pct_edu_somecollege,pct_edu_associate,pct_edu_ba,pct_edu_grad,pct_edu_baplus,pct_edu_hsplus,lfp_total,lfp_white,lfp_black,lfp_asian,lfp_latino,epratio_total,epratio_white,epratio_black,epratio_asian,epratio_latino,unemp_total,unemp_white,unemp_black,unemp_asian,unemp_latino,med_earnings_total,med_earnings_hs,med_earnings_ba,med_earnings_grad,commuter_total,commuter_white,commuter_black,commuter_asian,commuter_latino,publictrans_total,publictrans_white,publictrans_black,publictrans_asian,publictrans_latino,pct_publictrans_total,pct_publictrans_white,pct_publictrans_black,pct_publictrans_asian,pct_publictrans_latino
10140,"Aberdeen, WA Micro Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9337133160745752,NA,NA,0.7212106299212598,0.19990427915678638,NA,NA,0.04133858267716536,NA,NA,NA,NA,0.0651403743315508,61026,62449,126832,54366,51537,0.098,0.081,NA,NA,0.18,0.368,0.239,0.11900000000000001,0.115,0.079,0.194,0.9199999999999999,0.5379999999999999,0.532,NA,NA,NA,0.505,0.508,NA,NA,NA,0.057999999999999996,0.040999999999999995,NA,NA,NA,35738,31323,50578,71426,30854,25577.966,NA,NA,NA,594,415.2060000000001,NA,NA,NA,0.019251960847864135,0.016232956131070002,NA,NA,NA
10180,"Abilene, TX Metro Area",171795,107817,14448,43037,2993,0.6275910241858028,0.08410023574609272,0.2505136936464973,0.017421927297069182,0.9382817417959877,0.942199092016388,NA,0.7627292988170753,0.2834387059692914,0.15081386335953936,NA,0.12716440939482257,1553,9668,0.08851534461290558,0.1606330161357054,0.05645344129554656,54808,58046,51364,NA,47555,0.13699999999999998,0.105,0.225,NA,0.177,0.321,0.257,0.081,0.163,0.078,0.241,0.9,0.612,0.608,0.555,NA,0.652,0.561,0.563,0.474,NA,0.598,0.024,0.012,0.044000000000000004,NA,0.05,32944,26999,47331,58864,79943,52042.893,NA,NA,18866.548,138,4.002,NA,NA,133.998,0.0017262299388314175,7.68981078742106e-5,NA,NA,0.007102412163581806
10300,"Adrian, MI Micro Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9161590827660336,NA,NA,0.6921501706484642,0.22074199537474348,NA,NA,0.170193401592719,441,3193,0.04621641963872163,0.13811462574381458,0.04823501909140497,53865,56305,NA,NA,27187,0.128,0.10099999999999999,NA,NA,0.377,0.354,0.23199999999999998,0.10400000000000001,0.13699999999999998,0.076,0.21299999999999997,0.9029999999999999,0.581,0.579,NA,NA,NA,0.5479999999999999,0.547,NA,NA,NA,0.055999999999999994,0.054000000000000006,NA,NA,NA,35302,30608,50102,61053,42885,37481.490000000005,NA,NA,NA,426,267.10200000000003,NA,NA,NA,0.009933543196922,0.0071262375108353485,NA,NA,NA
10380,"Aguadilla-Isabela, PR Metro Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8618305084745763,0.7088777863182167,NA,0.7037840311596835,0.3414237288135593,0.14469638739431206,NA,0.2222962856105338,NA,NA,NA,NA,0.13233498739760555,16311,21228,17178,NA,16132,0.508,0.35700000000000004,0.397,NA,0.512,0.29,0.099,0.095,0.16899999999999998,0.055,0.22399999999999998,0.708,0.37200000000000005,NA,NA,NA,0.369,0.325,NA,NA,NA,0.322,0.121,NA,NA,NA,0.126,16416,13890,21602,29833,78762,3780.5759999999996,NA,NA,74430.09,772,0,NA,NA,772,0.009801681013686803,0,NA,NA,0.010372149220832596
10420,"Akron, OH Metro Area",703479,556281,86575,15607,21443,0.7907570801687044,0.12306692879247284,0.022185452586360076,0.030481364759999942,0.9390909653082679,0.9058566966678372,0.6263198757763975,0.835778175313059,0.3397736689134871,0.15180469053207415,0.3920807453416149,0.3199761478831246,8945,19770,0.04040953231638395,0.4524532119372787,0.07482312084495898,57158,62067,32798,59079,38588,0.139,0.10099999999999999,0.325,0.235,0.198,0.322,0.207,0.077,0.201,0.11699999999999999,0.318,0.9239999999999999,0.6459999999999999,0.645,0.6579999999999999,NA,NA,0.611,0.614,0.5870000000000001,NA,NA,0.052000000000000005,0.046,0.10800000000000001,NA,NA,39146,31142,52185,64122,345752,283170.88800000004,37686.968,NA,NA,3264,603.84,2333.76,NA,NA,0.009440292463962609,0.0021324225956447893,0.06192485423608501,NA,NA
10460,"Alamogordo, NM Micro Area",67490,32511,2310,26034,450,0.48171580974959255,0.03422729293228626,0.3857460364498444,0.006667654467328493,0.9268643232588699,NA,NA,0.7258539081489063,0.18885512483574243,NA,NA,0.07925035179736471,832,4303,0.09476095047237332,0.1933534743202417,0.07234906559482866,39371,43854,45501,41595,29966,0.237,0.204,NA,NA,0.26,0.32299999999999995,0.295,0.08900000000000001,0.086,0.057,0.143,0.8499999999999999,0.513,0.511,NA,NA,NA,0.391,0.36,NA,NA,NA,0.10300000000000001,0.087,NA,NA,NA,26096,18681,40356,77133,24978,NA,NA,NA,NA,255,NA,NA,NA,NA,0.010208983905837138,NA,NA,NA,NA
10500,"Albany, GA Metro Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8844151903461476,0.7808476609356257,NA,NA,0.25819853885115424,0.1416033586565374,NA,NA,941,7473,0.07689379128681086,0.1259199785895892,0.11579958616612473,40625,56551,26598,42987,32327,0.226,0.10300000000000001,0.331,NA,NA,0.292,0.23800000000000002,0.10099999999999999,0.096,0.1,0.196,0.827,0.5660000000000001,0.5529999999999999,0.5770000000000001,NA,NA,0.504,0.524,0.48700000000000004,NA,NA,0.105,0.047,0.156,NA,NA,31880,26495,44883,51987,57569,25215.221999999998,29245.051999999996,NA,NA,1489,156.345,1332.655,NA,NA,0.025864614636349426,0.006200421316933082,0.04556856318805657,NA,NA
10540,"Albany-Lebanon, OR Metro Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.893567926160946,NA,NA,0.6677225213810579,0.18829711189977552,NA,NA,0.1195755464048147,2238,5352,0.058990807486277365,0.41816143497757846,0.039650251988584614,61488,62106,NA,NA,60648,0.133,0.124,NA,NA,0.185,0.267,0.326,0.095,0.122,0.066,0.188,0.8759999999999999,0.595,0.584,NA,NA,NA,0.5720000000000001,0.563,NA,NA,NA,0.035,0.031,NA,NA,NA,36617,31210,35547,53144,60088,50413.832,NA,NA,NA,134,10.988,NA,NA,NA,0.002230062574890161,2.179560561871194e-4,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY Metro Area",880381,695503,63218,47737,39384,0.7900022831024295,0.07180754695978218,0.054223114765084665,0.04473517715625394,0.9424324027258738,0.8568292565253052,0.8874261668532603,0.8226404671717171,0.4047691015293785,0.2573213682636175,0.60162915492414,0.2836568813131313,14839,33333,0.054236069190730096,0.4451744517445174,0.09850980132523407,73398,79048,38140,91886,44107,0.102,0.071,0.23199999999999998,0.135,0.23399999999999999,0.253,0.155,0.122,0.21899999999999997,0.17600000000000002,0.395,0.925,0.65,0.648,0.672,0.648,0.67,0.622,0.625,0.619,0.628,0.623,0.038,0.03,0.076,0.028999999999999998,0.07,50013,34200,60854,75941,449378,365793.69200000004,32355.216,19772.632,21120.766,15167,6794.816,3928.2529999999997,1092.0240000000001,2805.895,0.03375109595930375,0.01857554175647184,0.12141019240916208,0.055229066115224316,0.13285005856321688
10700,"Albertville, AL Micro Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8555583428899083,NA,NA,0.48257372654155495,0.2107941513761468,NA,NA,0.06255585344057193,849,2931,0.045262215084316514,0.2896622313203685,0.04746674214548542,49467,47289,60446,NA,55152,0.161,0.16699999999999998,NA,NA,0.161,0.32799999999999996,0.20199999999999999,0.09,0.15,0.051,0.20099999999999998,0.8209999999999998,0.5660000000000001,0.534,NA,NA,NA,0.5529999999999999,0.52,NA,NA,NA,0.022000000000000002,0.026000000000000002,NA,NA,NA,32180,30702,51977,52097,40989,NA,NA,NA,NA,7,NA,NA,NA,NA,1.707775256776208e-4,NA,NA,NA,NA
