stco_code,stco_name,pop_total,pop_white,pop_black,pop_latino,pop_asian,pct_white,pct_black,pct_latino,pct_asian,pct_edu_hsplus_white,pct_edu_hsplus_black,pct_edu_hsplus_asian,pct_edu_hsplus_latino,pct_edu_baplus_white,pct_edu_baplus_black,pct_edu_baplus_asian,pct_edu_baplus_latino,movein_edu_baplus,movein_total,pct_newcomer,newcomer_pct_edu_baplus,pct_nocar,med_hh_inc_total,med_hh_inc_white,med_hh_inc_black,med_hh_inc_asian,med_hh_inc_latino,pct_belowpoverty_total,pct_belowpoverty_white,pct_belowpoverty_black,pct_belowpoverty_asian,pct_belowpoverty_latino,pct_edu_hs,pct_edu_somecollege,pct_edu_associate,pct_edu_ba,pct_edu_grad,pct_edu_baplus,pct_edu_hsplus,lfp_total,lfp_white,lfp_black,lfp_asian,lfp_latino,epratio_total,epratio_white,epratio_black,epratio_asian,epratio_latino,unemp_total,unemp_white,unemp_black,unemp_asian,unemp_latino,med_earnings_total,med_earnings_hs,med_earnings_ba,med_earnings_grad,commuter_total,commuter_white,commuter_black,commuter_asian,commuter_latino,publictrans_total,publictrans_white,publictrans_black,publictrans_asian,publictrans_latino,pct_publictrans_total,pct_publictrans_white,pct_publictrans_black,pct_publictrans_asian,pct_publictrans_latino
01003,"Baldwin County, Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9220745050174313,0.8302190721649485,NA,0.820019436345967,0.3306169284403938,0.31443298969072164,NA,0.24509232264334305,2209,6849,0.04288209771032514,0.322528836326471,0.027306407531126634,56439,62329,40790,NA,NA,0.10099999999999999,0.087,0.209,NA,NA,0.262,0.21899999999999997,0.10099999999999999,0.205,0.11699999999999999,0.32199999999999995,0.9039999999999999,0.552,0.546,0.635,NA,NA,0.522,0.523,0.5429999999999999,NA,NA,0.055,0.042,0.145,NA,NA,39627,30500,42839,57366,94867,79783.147,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
01015,"Calhoun County, Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.866569362886528,0.8614537862972101,NA,NA,0.21385900003394318,0.15309672929714682,NA,NA,603,4318,0.05460017196904557,0.1396479851783233,0.05862980553813066,48156,55072,33935,NA,NA,0.17300000000000001,0.113,0.26899999999999996,NA,NA,0.345,0.218,0.09,0.115,0.078,0.193,0.8459999999999999,0.5529999999999999,0.557,0.5589999999999999,NA,NA,0.494,0.507,0.501,NA,NA,0.076,0.061,0.07,NA,NA,35441,30086,45331,57117,46169,NA,NA,NA,NA,581,NA,NA,NA,NA,0.012584201520500769,NA,NA,NA,NA
01043,"Cullman County, Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8148798098894068,NA,NA,NA,0.1494013344301252,NA,NA,NA,NA,NA,NA,NA,0.018043004051106263,50906,51224,NA,NA,NA,0.106,0.10300000000000001,NA,NA,NA,0.305,0.235,0.115,0.10099999999999999,0.055999999999999994,0.15699999999999997,0.812,0.5710000000000001,0.5720000000000001,NA,NA,NA,0.544,0.5489999999999999,NA,NA,NA,0.047,0.039,NA,NA,NA,32905,31475,43046,50848,35840,33689.6,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
01049,"DeKalb County, Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8344354877636724,NA,NA,0.3341452612931798,0.13414104358739198,NA,NA,0.014393268379096545,NA,NA,NA,NA,0.049236334405144695,44208,47865,NA,NA,26147,0.196,0.12,NA,NA,0.575,0.38,0.184,0.094,0.079,0.049,0.128,0.786,0.611,0.591,NA,NA,NA,0.5760000000000001,0.561,NA,NA,NA,0.047,0.051,NA,NA,NA,31528,31694,40858,46667,32701,NA,NA,NA,NA,337,NA,NA,NA,NA,0.010305495244793737,NA,NA,NA,NA
01051,"Elmore County, Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9159332321699545,0.867603305785124,NA,NA,0.2676783004552352,0.1652892561983471,NA,NA,1395,4696,0.08159435650617691,0.29706132879046,0.053594686116176085,61854,70250,38482,NA,NA,0.11599999999999999,0.102,0.172,NA,NA,0.34700000000000003,0.2,0.10099999999999999,0.16399999999999998,0.085,0.249,0.897,0.574,0.581,NA,NA,NA,0.5379999999999999,0.55,NA,NA,NA,0.027999999999999997,0.032,NA,NA,NA,37103,30994,44428,68117,36040,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
01055,"Etowah County, Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8586130681033292,0.7990645098421361,NA,NA,0.18263917668186214,0.0930617813291756,NA,NA,NA,NA,NA,NA,0.05682470726287669,41447,44789,26974,NA,47426,0.19699999999999998,0.166,0.215,NA,0.44799999999999995,0.321,0.255,0.09300000000000001,0.105,0.068,0.173,0.8420000000000001,0.562,0.55,0.579,NA,NA,0.526,0.521,0.502,NA,NA,0.063,0.052000000000000005,0.133,NA,NA,30599,26228,38125,78270,41575,NA,NA,NA,NA,46,NA,NA,NA,NA,0.001106434155141311,NA,NA,NA,NA
01069,"Houston County, Alabama",105882,68466,29624,3632,946,0.6466254887516292,0.27978315483273836,0.0343023365633441,0.008934474226025198,0.9028651986577447,0.7497353377090832,0.7129909365558912,0.5388104838709677,0.2703572066795068,0.11533982638153716,0.3640483383685801,0.13961693548387097,639,2848,0.03877256514281047,0.2243679775280899,0.07009381051784412,50103,59011,28995,NA,34017,0.205,0.14,0.34,0.11599999999999999,0.35100000000000003,0.304,0.226,0.094,0.142,0.085,0.22699999999999998,0.851,0.5529999999999999,0.5489999999999999,0.5429999999999999,NA,NA,0.515,0.52,0.478,NA,NA,0.062,0.045,0.11599999999999999,NA,NA,35563,30033,54427,54674,43461,29379.635999999995,10778.328000000001,NA,NA,64,12.992,51.008,NA,NA,0.0014725846160925887,4.422110607496976e-4,0.004732459431555617,NA,NA
01073,"Jefferson County, Alabama",658573,325182,284113,26873,11464,0.4937675853701868,0.4314069966427412,0.04080489178876146,0.017407333735212346,0.9374636539093645,0.8978634344811426,0.8912408759124087,0.6679718089271731,0.446797751388526,0.22047843730362449,0.6150851581508516,0.14643696162881753,7906,19120,0.04231792447401387,0.4134937238493724,0.0712324317382617,53944,71236,38791,70570,33613,0.163,0.091,0.243,0.1,0.171,0.26899999999999996,0.21,0.086,0.204,0.14300000000000002,0.347,0.9119999999999999,0.613,0.6,0.62,NA,NA,0.583,0.5820000000000001,0.574,NA,NA,0.048,0.028999999999999998,0.073,NA,NA,40400,30479,52963,65627,301108,155672.836,124959.82,NA,NA,2214,436.15799999999996,1777.8419999999999,NA,NA,0.007352843498014002,0.002801760481835122,0.014227309226277693,NA,NA
01077,"Lauderdale County, Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8561445524735487,0.8756540473991997,NA,NA,0.22542536459822704,0.25577100646352724,NA,NA,723,4765,0.07414380630805857,0.15173137460650576,0.07094760197105338,46632,50799,35082,NA,77106,0.16399999999999998,0.149,0.289,NA,NA,0.342,0.20800000000000002,0.077,0.132,0.09,0.222,0.849,0.5539999999999999,0.5489999999999999,NA,NA,NA,0.529,0.53,NA,NA,NA,0.043,0.033,NA,NA,NA,36531,34040,38671,55773,39947,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
01081,"Lee County, Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9301439458086368,0.908970468823454,NA,NA,0.42901982539636196,0.29569639728193514,NA,NA,NA,NA,NA,NA,0.06524640019860974,53712,59336,40402,40175,42270,0.158,0.184,0.105,NA,NA,0.22,0.19,0.095,0.21,0.204,0.414,0.919,0.637,0.629,NA,NA,NA,0.613,0.605,NA,NA,NA,0.037000000000000005,0.036000000000000004,NA,NA,NA,40537,33650,42033,58852,80837,55696.69300000001,NA,NA,NA,411,290.988,NA,NA,NA,0.005084305454185583,0.005224511264968639,NA,NA,NA
01083,"Limestone County, Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8880045689861641,0.8271013754457464,NA,NA,0.2717257134435049,0.16403464085583291,NA,NA,1682,4249,0.06208266974474365,0.39585784890562487,0.012054965646470956,63695,68520,53037,NA,21320,0.14,0.122,0.091,NA,0.45,0.335,0.18899999999999997,0.095,0.18600000000000003,0.07,0.256,0.875,0.522,0.514,NA,NA,NA,0.496,0.49200000000000005,NA,NA,NA,0.046,0.042,NA,NA,NA,41336,29960,56830,61614,39413,NA,NA,NA,NA,251,NA,NA,NA,NA,0.006368457108060792,NA,NA,NA,NA
01089,"Madison County, Alabama",372909,239616,90937,19351,10309,0.642558908473649,0.2438584212234084,0.05189201655095479,0.027644814150369124,0.9549035727742952,0.8839297933488436,0.9763645860537999,0.7184831232208214,0.4654825928590187,0.3536506090050636,0.6482110211543484,0.3426189507930053,6432,13665,0.05314308381556841,0.4706915477497256,0.04521484750894931,67930,78606,40205,111004,38199,0.11800000000000001,0.069,0.223,NA,0.321,0.195,0.203,0.09,0.266,0.174,0.44,0.9279999999999999,0.653,0.625,0.695,NA,NA,0.625,0.601,0.6559999999999999,NA,NA,0.035,0.028999999999999998,0.052000000000000005,NA,NA,45347,32492,55957,85150,186891,119049.56700000001,48217.878,NA,8410.095,357,158.865,198.135,NA,0,0.0019102043437083647,0.001334444164757021,0.004109160506814506,NA,0
01095,"Marshall County, Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8555583428899083,NA,NA,0.48257372654155495,0.2107941513761468,NA,NA,0.06255585344057193,849,2931,0.045262215084316514,0.2896622313203685,0.04746674214548542,49467,47289,60446,NA,55152,0.161,0.16699999999999998,NA,NA,0.161,0.32799999999999996,0.20199999999999999,0.09,0.15,0.051,0.20099999999999998,0.8209999999999998,0.5660000000000001,0.534,NA,NA,NA,0.5529999999999999,0.52,NA,NA,NA,0.022000000000000002,0.026000000000000002,NA,NA,NA,32180,30702,51977,52097,40989,NA,NA,NA,NA,7,NA,NA,NA,NA,1.707775256776208e-4,NA,NA,NA,NA
01097,"Mobile County, Alabama",413210,233076,148889,12443,7425,0.5640618571670579,0.3603228382662569,0.030113017593959488,0.017969071416471045,0.8831605073804041,0.8877420571715986,0.6840680587780356,0.7007467752885268,0.2569299428421417,0.17306563836029842,0.368522815158546,0.16361167684996605,1819,7680,0.027384267595639913,0.23684895833333333,0.0755389686173419,49639,59537,35429,58705,NA,0.174,0.12300000000000001,0.235,0.17300000000000001,0.43799999999999994,0.361,0.203,0.08199999999999999,0.149,0.08,0.22899999999999998,0.875,0.575,0.563,0.58,NA,NA,0.5429999999999999,0.537,0.532,NA,NA,0.054000000000000006,0.04,0.083,NA,NA,36324,31210,47645,55361,175686,102073.56599999999,59381.867999999995,NA,NA,860,173.72,686.28,NA,NA,0.004895096934303246,0.0017019097775030217,0.011557063176254408,NA,NA
01101,"Montgomery County, Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9619383951343928,0.857589301508308,0.944552151996898,0.643839541547278,0.4695632011700287,0.2604101560196705,0.6436603334625824,0.2696275071633238,3971,11030,0.07289670213469038,0.3600181323662738,0.07153628015844436,53117,71156,45085,94239,80056,0.146,0.068,0.18899999999999997,0.122,0.253,0.249,0.213,0.08,0.20199999999999999,0.152,0.354,0.8959999999999999,0.637,0.597,0.6579999999999999,NA,NA,0.585,0.5539999999999999,0.601,NA,NA,0.055999999999999994,0.028999999999999998,0.07400000000000001,NA,NA,35966,26676,45522,59526,103612,36264.2,59991.348,NA,NA,447,209.196,188.187,NA,NA,0.004314172103617342,0.005768664412836903,0.0031369023413176183,NA,NA
