stco_code,tot_lic,lg_lic,sm_lic,st_lic,inc_lic,tot_IP,tot_st,instate_st
01073,309,130,144,35,59181199,1093,32,24
01081,206,50,131,25,10169302,947,15,8
01089,26,4,4,18,10399375,263,35,35
01097,25,5,9,14,23162288,183,9,9
01125,49,5,15,29,588647,487,22,16
02020,26,0,3,9,66000,73,4,3
04005,9,0,3,6,208934,220,5,1
04013,779,305,356,117,32846980,2540,101,83
04019,734,237,299,167,17532078,1898,93,71
05119,68,19,27,22,12485622,376,21,19
05143,373,118,225,30,9738011,419,23,18
06001,3057,1462,862,733,1604827738,18636,771,648
06037,1048,289,455,304,377288353,7608,227,144
06065,0,0,0,0,0,4,0,0
06073,106,16,41,25,5457866,314,13,12
06079,2,0,2,0,20000,7,0,0
06085,1370,154,275,96,878535113,5693,145,129
08031,4,0,0,2,769803,48,2,1
08041,683,131,336,216,127657935,2747,118,96
08059,81,30,36,15,719456,283,7,6
08069,354,98,203,57,23083938,1191,57,54
09013,162,42,69,51,11728925,897,43,38
10003,72,9,34,29,3232998,503,28,11
11001,165,47,83,35,93615990,685,22,0
12009,2,1,0,0,136250,8,0,0
12031,1,1,0,0,11903,13,0,0
12033,7,1,6,0,9072,19,0,0
12057,737,289,328,120,35309062,1837,88,71
12071,0,0,0,0,0,2,0,0
12073,139,37,59,43,12714171,693,32,26
12083,1787,242,1296,249,469794611,3828,154,97
12086,195,26,96,70,35227385,1088,43,39
12095,224,55,100,66,13797794,1246,60,41
12099,16,4,6,6,502131,115,4,3
12127,0,0,0,0,0,20,0,0
13059,1768,290,1395,83,146394989,1802,45,34
13089,469,179,237,53,165996665,2405,53,30
13121,614,272,182,160,25716668,4093,106,90
13245,94,46,25,23,4979003,430,10,10
15003,82,16,37,29,4156001,586,20,22
16001,178,109,58,11,199706,154,5,5
16005,1,0,0,0,0,14,0,0
16019,80,9,64,7,6243959,277,7,4
17019,970,211,566,192,239485371,4246,135,94
17031,737,243,298,192,2900079245,3718,141,91
17037,4,1,3,0,211953,72,0,0
17097,1,0,1,1,0,6,0,0
17113,3,1,0,2,2100,14,0,0
17163,29,2,15,13,5297377,150,8,5
18035,7,3,4,0,503699,102,2,2
18105,472,165,222,85,86632489,2258,85,73
18141,121,27,35,40,3342743,634,22,12
18157,1236,261,368,74,61558978,3512,171,128
19013,23,11,9,3,525319,88,6,6
19169,1374,235,995,144,247850193,2530,94,83
20045,230,90,89,37,67371631,876,30,19
20125,0,0,0,0,0,0,0,0
20161,155,51,83,21,23228429,539,15,8
20173,12,1,5,2,19250,69,3,3
20209,5,4,1,0,108272,22,0,0
21067,145,27,23,95,31219382,823,78,68
21111,157,10,57,44,7335602,975,25,18
22033,293,39,196,51,101683893,1585,47,36
22055,9,0,0,0,104900,59,4,0
22061,47,8,19,14,1325136,225,13,11
22071,65,9,25,36,61068538,437,26,18
23019,16,0,0,0,369982,19,1,0
24005,4,1,3,0,343839,82,0,0
24027,301,135,141,25,11926461,2382,25,18
24031,26,8,12,6,469722,81,0,0
24033,496,115,230,144,22858782,3098,116,95
24510,1509,633,718,157,219664343,5283,143,110
