cbsa_code,cbsa_name,total,total_paidbycompany,total_paidbyothers
41940,"San Jose-Sunnyvale-Santa Clara, CA",48861,45136,3724
41860,"San Francisco-Oakland-Hayward, CA",25196,23900,1296
35620,"New York-Newark-Jersey City, NY-NJ-PA",22389,18181,4208
14460,"Boston-Cambridge-Newton, MA-NH",20282,16681,3602
42660,"Seattle-Tacoma-Bellevue, WA",16135,15650,485
31080,"Los Angeles-Long Beach-Anaheim, CA",15067,10844,4224
19820,"Detroit-Warren-Dearborn, MI",13449,12721,728
41740,"San Diego-Carlsbad, CA",10160,8358,1802
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",9757,7902,1855
16980,"Chicago-Naperville-Elgin, IL-IN-WI",9450,8427,1023
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",6155,5658,497
38900,"Portland-Vancouver-Hillsboro, OR-WA",6141,5939,202
26420,"Houston-The Woodlands-Sugar Land, TX",5865,5067,798
19100,"Dallas-Fort Worth-Arlington, TX",5520,4316,1205
41180,"St. Louis, MO-IL",5007,D,D
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4980,2775,2205
35980,"Norwich-New London, CT",4271,3186,1085
12420,"Austin-Round Rock, TX",4209,3914,295
26900,"Indianapolis-Carmel-Anderson, IN",4073,3459,613
38060,"Phoenix-Mesa-Scottsdale, AZ",4004,3321,682
12060,"Atlanta-Sandy Springs-Roswell, GA",3901,3166,735
17140,"Cincinnati, OH-KY-IN",3595,2571,1025
40900,"Sacramento--Roseville--Arden-Arcade, CA",3077,2018,1059
12580,"Baltimore-Columbia-Towson, MD",2971,1506,1465
39580,"Raleigh, NC",2840,1574,1265
20500,"Durham-Chapel Hill, NC",2744,2120,625
37100,"Oxnard-Thousand Oaks-Ventura, CA",2274,1972,302
28140,"Kansas City, MO-KS",2138,1511,627
25540,"Hartford-West Hartford-East Hartford, CT",1982,1272,710
41620,"Salt Lake City, UT",1862,1702,160
19740,"Denver-Aurora-Lakewood, CO",1802,1655,147
18140,"Columbus, OH",1792,743,1049
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1716,1486,231
14860,"Bridgeport-Stamford-Norwalk, CT",1683,1461,223
16740,"Charlotte-Concord-Gastonia, NC-SC",1565,1482,84
33340,"Milwaukee-Waukesha-West Allis, WI",1528,1457,71
31540,"Madison, WI",1470,1004,467
38300,"Pittsburgh, PA",1445,1344,102
31700,"Manchester-Nashua, NH",1432,383,1048
37900,"Peoria, IL",1422,1411,11
14260,"Boise City, ID",1416,1181,236
45940,"Trenton, NJ",1360,1087,273
10580,"Albany-Schenectady-Troy, NY",1256,923,333
17460,"Cleveland-Elyria, OH",1254,1066,188
14500,"Boulder, CO",1160,1061,99
40380,"Rochester, NY",1149,1043,106
46060,"Tucson, AZ",1085,719,366
45300,"Tampa-St. Petersburg-Clearwater, FL",992,606,386
37340,"Palm Bay-Melbourne-Titusville, FL",965,256,709
39300,"Providence-Warwick, RI-MA",958,860,98
26620,"Huntsville, AL",934,360,574
49340,"Worcester, MA-CT",902,823,80
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",886,446,440
42220,"Santa Rosa, CA",797,776,21
40140,"Riverside-San Bernardino-Ontario, CA",778,702,76
16300,"Cedar Rapids, IA",773,D,D
24340,"Grand Rapids-Wyoming, MI",770,579,191
36740,"Orlando-Kissimmee-Sanford, FL",734,506,228
14010,"Bloomington, IL",713,695,18
29540,"Lancaster, PA",708,658,50
36260,"Ogden-Clearfield, UT",680,313,367
10420,"Akron, OH",626,500,126
39340,"Provo-Orem, UT",621,569,51
18500,"Corning, NY",607,607,*
19780,"Des Moines-West Des Moines, IA",577,563,14
10900,"Allentown-Bethlehem-Easton, PA-NJ",567,540,28
28020,"Kalamazoo-Portage, MI",559,303,256
48620,"Wichita, KS",556,548,8
19380,"Dayton, OH",531,298,233
41700,"San Antonio-New Braunfels, TX",525,427,98
35300,"New Haven-Milford, CT",517,446,71
22660,"Fort Collins, CO",516,483,33
40060,"Richmond, VA",516,493,23
42200,"Santa Maria-Santa Barbara, CA",505,326,179
45060,"Syracuse, NY",498,369,129
27260,"Jacksonville, FL",485,377,107
24660,"Greensboro-High Point, NC",477,413,64
17820,"Colorado Springs, CO",447,376,72
36780,"Oshkosh-Neenah, WI",438,437,2
11460,"Ann Arbor, MI",437,269,168
36540,"Omaha-Council Bluffs, NE-IA",423,405,18
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",421,360,62
18020,"Columbus, IN",419,365,55
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",404,209,195
33220,"Midland, MI",394,393,*
10740,"Albuquerque, NM",385,186,199
32820,"Memphis, TN-MS-AR",380,339,41
40420,"Rockford, IL",378,D,D
19340,"Davenport-Moline-Rock Island, IA-IL",374,369,5
22380,"Flagstaff, AZ",364,358,6
35660,"Niles-Benton Harbor, MI",360,355,5
39380,"Pueblo, CO",350,12,338
30460,"Lexington-Fayette, KY",339,306,33
16700,"Charleston-North Charleston, SC",315,242,73
42100,"Santa Cruz-Watsonville, CA",314,303,12
25420,"Harrisburg-Carlisle, PA",314,301,13
47940,"Waterloo-Cedar Falls, IA",308,306,2
40080,"Richmond-Berea, KY",298,5,293
20220,"Dubuque, IA",292,292,1
42340,"Savannah, GA",291,284,7
-,All other CBSAs,21152,D,D
-,Locations outside a CBSA,2555,2059,495
-,Undistributed,10504,8188,2316
