"","cbsa_name","cbsa_code","total","total_paidbycompany","total_paidbyothers"
"1","San Jose-Sunnyvale-Santa Clara, CA","41940",48861,"45136","3724"
"2","San Francisco-Oakland-Hayward, CA","41860",25196,"23900","1296"
"3","New York-Newark-Jersey City, NY-NJ-PA","35620",22389,"18181","4208"
"4","Boston-Cambridge-Newton, MA-NH","14460",20282,"16681","3602"
"5","Seattle-Tacoma-Bellevue, WA","42660",16135,"15650","485"
"6","Los Angeles-Long Beach-Anaheim, CA","31080",15067,"10844","4224"
"7","Detroit-Warren-Dearborn, MI","19820",13449,"12721","728"
"8","San Diego-Carlsbad, CA","41740",10160,"8358","1802"
"9","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",9757,"7902","1855"
"10","Chicago-Naperville-Elgin, IL-IN-WI","16980",9450,"8427","1023"
"11","Minneapolis-St. Paul-Bloomington, MN-WI","33460",6155,"5658","497"
"12","Portland-Vancouver-Hillsboro, OR-WA","38900",6141,"5939","202"
"13","Houston-The Woodlands-Sugar Land, TX","26420",5865,"5067","798"
"14","Dallas-Fort Worth-Arlington, TX","19100",5520,"4316","1205"
"15","St. Louis, MO-IL","41180",5007,"D","D"
"16","Washington-Arlington-Alexandria, DC-VA-MD-WV","47900",4980,"2775","2205"
"17","Norwich-New London, CT","35980",4271,"3186","1085"
"18","Austin-Round Rock, TX","12420",4209,"3914","295"
"19","Indianapolis-Carmel-Anderson, IN","26900",4073,"3459","613"
"20","Phoenix-Mesa-Scottsdale, AZ","38060",4004,"3321","682"
"21","Atlanta-Sandy Springs-Roswell, GA","12060",3901,"3166","735"
"22","Cincinnati, OH-KY-IN","17140",3595,"2571","1025"
"23","Sacramento--Roseville--Arden-Arcade, CA","40900",3077,"2018","1059"
"24","Baltimore-Columbia-Towson, MD","12580",2971,"1506","1465"
"25","Raleigh, NC","39580",2840,"1574","1265"
"26","Durham-Chapel Hill, NC","20500",2744,"2120","625"
"27","Oxnard-Thousand Oaks-Ventura, CA","37100",2274,"1972","302"
"28","Kansas City, MO-KS","28140",2138,"1511","627"
"29","Hartford-West Hartford-East Hartford, CT","25540",1982,"1272","710"
"30","Salt Lake City, UT","41620",1862,"1702","160"
"31","Denver-Aurora-Lakewood, CO","19740",1802,"1655","147"
"32","Columbus, OH","18140",1792,"743","1049"
"33","Miami-Fort Lauderdale-West Palm Beach, FL","33100",1716,"1486","231"
"34","Bridgeport-Stamford-Norwalk, CT","14860",1683,"1461","223"
"35","Charlotte-Concord-Gastonia, NC-SC","16740",1565,"1482","84"
"36","Milwaukee-Waukesha-West Allis, WI","33340",1528,"1457","71"
"37","Madison, WI","31540",1470,"1004","467"
"38","Pittsburgh, PA","38300",1445,"1344","102"
"39","Manchester-Nashua, NH","31700",1432,"383","1048"
"40","Peoria, IL","37900",1422,"1411","11"
"41","Boise City, ID","14260",1416,"1181","236"
"42","Trenton, NJ","45940",1360,"1087","273"
"43","Albany-Schenectady-Troy, NY","10580",1256,"923","333"
"44","Cleveland-Elyria, OH","17460",1254,"1066","188"
"45","Boulder, CO","14500",1160,"1061","99"
"46","Rochester, NY","40380",1149,"1043","106"
"47","Tucson, AZ","46060",1085,"719","366"
"48","Tampa-St. Petersburg-Clearwater, FL","45300",992,"606","386"
"49","Palm Bay-Melbourne-Titusville, FL","37340",965,"256","709"
"50","Providence-Warwick, RI-MA","39300",958,"860","98"
"51","Huntsville, AL","26620",934,"360","574"
"52","Worcester, MA-CT","49340",902,"823","80"
"53","Buffalo-Cheektowaga-Niagara Falls, NY","15380",886,"446","440"
"54","Santa Rosa, CA","42220",797,"776","21"
"55","Riverside-San Bernardino-Ontario, CA","40140",778,"702","76"
"56","Cedar Rapids, IA","16300",773,"D","D"
"57","Grand Rapids-Wyoming, MI","24340",770,"579","191"
"58","Orlando-Kissimmee-Sanford, FL","36740",734,"506","228"
"59","Bloomington, IL","14010",713,"695","18"
"60","Lancaster, PA","29540",708,"658","50"
"61","Ogden-Clearfield, UT","36260",680,"313","367"
"62","Akron, OH","10420",626,"500","126"
"63","Provo-Orem, UT","39340",621,"569","51"
"64","Corning, NY","18500",607,"607","*"
"65","Des Moines-West Des Moines, IA","19780",577,"563","14"
"66","Allentown-Bethlehem-Easton, PA-NJ","10900",567,"540","28"
"67","Kalamazoo-Portage, MI","28020",559,"303","256"
"68","Wichita, KS","48620",556,"548","8"
"69","Dayton, OH","19380",531,"298","233"
"70","San Antonio-New Braunfels, TX","41700",525,"427","98"
"71","New Haven-Milford, CT","35300",517,"446","71"
"72","Fort Collins, CO","22660",516,"483","33"
"73","Richmond, VA","40060",516,"493","23"
"74","Santa Maria-Santa Barbara, CA","42200",505,"326","179"
"75","Syracuse, NY","45060",498,"369","129"
"76","Jacksonville, FL","27260",485,"377","107"
"77","Greensboro-High Point, NC","24660",477,"413","64"
"78","Colorado Springs, CO","17820",447,"376","72"
