year,stco_code,totalpopulation,Crude prevalence,Age-adjusted prevalence
2018,00059,327167434,12.5,11.8
2018,01001,55601,14.1,13.3
2018,01003,218022,12.9,11.6
2018,01005,24881,19.5,18.1
2018,01007,22400,15.9,15.1
2018,01009,57840,16.1,14.8
2018,01011,10138,18.9,17.9
2018,01013,19680,18.6,16.9
2018,01015,114277,16.3,15.2
2018,01017,33615,17.3,15.8
2018,01019,26032,17.6,15.6
2018,01021,44153,16.8,15.7
2018,01023,12841,18.4,16.3
2018,01025,23920,18.7,17
2018,01027,13275,18.2,16.4
2018,01029,14987,17,15.5
2018,01031,51909,14.7,13.8
2018,01033,54762,15.7,14.4
2018,01035,12277,19.6,17.5
2018,01037,10715,18.5,16.1
2018,01039,36986,17.2,15.4
2018,01041,13824,17.3,15.8
2018,01043,83442,16.5,15.2
2018,01045,48956,15.6,14.8
2018,01047,38310,19,17.6
2018,01049,71385,18.8,17.5
2018,01051,81887,13.5,12.8
2018,01053,36748,18.5,17.2
2018,01055,102501,16.2,15
2018,01057,16433,17.7,16
2018,01059,31363,17.6,16.4
2018,01061,26314,19,17.2
2018,01063,8233,22.2,20
2018,01065,14726,18.7,17.3
2018,01067,17209,16.9,15.1
2018,01069,104722,16.2,15.1
2018,01071,51736,18.5,16.8
2018,01073,659300,13.9,13.3
2018,01075,13844,18.2,16.3
2018,01077,92387,14.8,13.8
2018,01079,32957,17.4,15.9
2018,01081,163941,12.8,13.6
2018,01083,96174,14.6,13.6
2018,01085,9974,20.2,18.5
2018,01087,18439,16.9,16.5
2018,01089,366519,12.1,11.5
2018,01091,19066,17.9,16.3
2018,01093,29763,17.8,16
2018,01095,96109,17.1,15.9
2018,01097,413757,15.1,14.4
2018,01099,21067,19.5,17.7
2018,01101,225763,15,14.5
2018,01103,119089,15.1,13.9
2018,01105,9140,21.2,20.5
2018,01107,19938,17.9,16.6
2018,01109,33338,14.8,15.7
2018,01111,22725,17.3,15.6
2018,01113,57781,16.2,15.6
2018,01115,88690,15.2,14.1
2018,01117,215707,11.8,11
2018,01119,12691,17.3,17.3
2018,01121,79828,17.9,16.6
2018,01123,40497,17.2,15.4
2018,01125,208911,13.1,13.6
2018,01127,63711,17.5,15.9
2018,01129,16378,18.2,16.6
2018,01131,10627,20.1,18.6
2018,01133,23660,18.1,16.1
2018,02013,3515,13.3,13.4
2018,02016,5723,11.6,11.9
2018,02020,291538,10.9,10.9
2018,02050,18216,22.2,23.1
2018,02060,877,14.1,13.1
2018,02068,2059,12.2,11.5
2018,02070,5000,18.7,18.8
2018,02090,98971,10.5,11.2
2018,02100,2474,12.7,11
2018,02105,2151,16.3,14.2
2018,02110,32113,10.6,10.2
2018,02122,58533,14.2,13.1
2018,02130,13918,13.3,12.5
2018,02150,13345,11.1,11.1
2018,02158,8303,27.1,29.2
2018,02164,1587,18.8,18.3
2018,02170,107610,12.5,12.1
2018,02180,10008,19.2,19.9
2018,02185,9872,14.3,14.4
2018,02188,7671,20.3,21.3
2018,02195,3221,13,11.8
2018,02198,6422,17.3,15.8
2018,02220,8647,11.9,11.2
2018,02230,1148,10.6,10.1
2018,02240,6918,13.3,12.4
2018,02261,9164,12,11.1
2018,02275,2503,15.4,13.5
2018,02282,604,15.9,14.4
2018,02290,5327,20.6,19.6
2018,04001,71818,22.7,21.9
2018,04003,126770,15.2,13.9
2018,04005,142854,12.9,13.8
2018,04007,53889,18.3,16
2018,04009,38072,14.9,14.9
2018,04011,9483,13.5,13.3
2018,04012,21098,20.5,17.4
2018,04013,4410824,13.5,13.1
