cbsa_code,cbsa_name,pop_total,pop_white,pop_black,pop_latino,pop_asian,pct_white,pct_black,pct_latino,pct_asian,pct_edu_hsplus_white,pct_edu_hsplus_black,pct_edu_hsplus_asian,pct_edu_hsplus_latino,pct_edu_baplus_white,pct_edu_baplus_black,pct_edu_baplus_asian,pct_edu_baplus_latino,movein_edu_baplus,movein_total,pct_newcomer,newcomer_pct_edu_baplus,pct_nocar,med_hh_inc_total,med_hh_inc_white,med_hh_inc_black,med_hh_inc_asian,med_hh_inc_latino,pct_belowpoverty_total,pct_belowpoverty_white,pct_belowpoverty_black,pct_belowpoverty_asian,pct_belowpoverty_latino,pct_edu_hs,pct_edu_somecollege,pct_edu_associate,pct_edu_ba,pct_edu_grad,pct_edu_baplus,pct_edu_hsplus,lfp_total,lfp_white,lfp_black,lfp_asian,lfp_latino,epratio_total,epratio_white,epratio_black,epratio_asian,epratio_latino,unemp_total,unemp_white,unemp_black,unemp_asian,unemp_latino,med_earnings_total,med_earnings_hs,med_earnings_ba,med_earnings_grad,commuter_total,commuter_white,commuter_black,commuter_asian,commuter_latino,publictrans_total,publictrans_white,publictrans_black,publictrans_asian,publictrans_latino,pct_publictrans_total,pct_publictrans_white,pct_publictrans_black,pct_publictrans_asian,pct_publictrans_latino
10100,"Aberdeen, SD Micro Area",42780,37882,828,1097,1115,0.8855072463768116,0.01935483870967742,0.025642823749415615,0.026063581112669473,0.9384386105697581,0.764172335600907,0.6880165289256198,0.8788598574821853,0.29473804883640947,0.16099773242630386,0.2768595041322314,0.26365795724465557,363,1359,0.04811471056824217,0.2671081677704194,0.07144869555417817,57184,59469,NA,NA,19477,0.114,0.08800000000000001,0.18100000000000002,0.368,0.16899999999999998,0.31,0.207,0.122,0.20199999999999999,0.08800000000000001,0.29,0.929,0.688,0.6890000000000001,0.715,0.77,0.638,0.6709999999999999,0.675,0.715,0.755,0.507,0.022000000000000002,0.019,0,0.02,0.205,38582,31320,45068,50957,22383,20301.381,425.277,626.7239999999999,380.51099999999997,45,13.005,0,31.994999999999994,0,0.002010454362685967,6.405968145713831e-4,0,0.05105118042391866,0
10140,"Aberdeen, WA Micro Area",71967,57309,700,7092,1124,0.7963233148526407,0.009726680284019065,0.09854516653466172,0.015618269484624898,0.9117486338797814,0.9415807560137457,0.8501199040767387,0.6024960998439938,0.16438979963570127,0.015463917525773196,0.4556354916067146,0.08205928237129485,661,3791,0.07313026871660333,0.17436032709047744,0.06987934755687648,47770,48791,NA,71857,35986,0.159,0.142,0.29,0.039,0.25,0.32899999999999996,0.292,0.11,0.106,0.052000000000000005,0.158,0.889,0.511,0.496,0.182,0.725,0.675,0.467,0.45899999999999996,0.16399999999999998,0.695,0.5720000000000001,0.084,0.073,0.098,0.023,0.147,31485,28517,53960,63988,26808,21794.904,107.23200000000001,670.2,2439.528,244,181.048,3.9040000000000004,0,56.12,0.009101760668457177,0.008306895960633734,0.03640704267382871,0,0.023004450041155502
10180,"Abilene, TX Metro Area",170009,109638,13195,39616,3018,0.6448952702503985,0.07761353810680612,0.23302295760812664,0.017752001364633636,0.9205997568553289,0.7820244112933054,0.8448443579766537,0.7248092853465624,0.2663784952046468,0.11330292195783503,0.42363813229571984,0.08873496513314925,1684,8681,0.08082040014523652,0.19398686787236494,0.05323376494353744,49945,54379,38344,50147,41311,0.153,0.121,0.272,0.172,0.217,0.322,0.252,0.073,0.15,0.07200000000000001,0.222,0.869,0.602,0.604,0.511,0.64,0.637,0.5489999999999999,0.5529999999999999,0.44299999999999995,0.5760000000000001,0.5870000000000001,0.042,0.039,0.054000000000000006,0.049,0.047,32516,26860,44516,63610,76349,51764.622,5191.732,1603.329,16644.082,416,166.81600000000003,158.08,12.896,42.848,0.0054486633747658775,0.003222587040237636,0.03044841297663285,0.008043264981797249,0.0025743684752334195
10220,"Ada, OK Micro Area",38358,25251,762,2013,296,0.6582981385890818,0.019865477866416393,0.05247927420616299,0.007716773554408468,0.9032703568666446,0.947265625,1,0.5539956803455723,0.3064302287040106,0.15625,0.5547445255474452,0.11663066954643629,220,1225,0.0494031295370221,0.17959183673469387,0.05566392643165668,49235,54202,33947,26492,33109,0.154,0.127,0.183,0.33399999999999996,0.3,0.33299999999999996,0.218,0.055,0.17300000000000001,0.10800000000000001,0.281,0.887,0.603,0.581,0.5529999999999999,0.391,0.728,0.573,0.56,0.547,0.391,0.64,0.051,0.036000000000000004,0.01,0,0.121,35098,28656,42617,48799,17059,11651.296999999999,392.35699999999997,119.413,801.773,107,63.986,8.988000000000001,20.972,0,0.006272348906735448,0.005491749115999704,0.02290770905068599,0.17562576938859253,0
10260,"Adjuntas, PR Micro Area",18181,52,0,18123,0,0.0028601287057917605,0,0.9968098564435399,0,1,0.5772357723577236,1,0.6375989129565982,0,0.1951219512195122,1,0.17952202062185277,NA,NA,NA,NA,0.17590854802934652,12902,NA,NA,NA,12909,0.625,0.7879999999999999,0.669,1,0.625,0.253,0.134,0.07400000000000001,0.14800000000000002,0.03,0.17800000000000002,0.639,0.41700000000000004,0,0.627,0,0.419,0.257,0,0.5,0,0.258,0.384,NA,0.203,NA,0.384,15277,13874,20214,24811,3753,0,63.800999999999995,0,3753,0,NA,NA,NA,NA,0,NA,NA,NA,NA
10300,"Adrian, MI Micro Area",98474,85486,2421,7784,284,0.8681073176676077,0.024585169689461176,0.07904624570952738,0.002884009992485326,0.9218229824360005,0.7457838850718301,0.9453125,0.7440645773979108,0.2169342538990111,0.07557776389756403,0.57421875,0.09615384615384616,555,3057,0.04492681206278291,0.1815505397448479,0.05368635864162001,53972,55135,35417,136719,41448,0.122,0.106,0.18100000000000002,0.09,0.25,0.371,0.24100000000000002,0.08800000000000001,0.138,0.071,0.20900000000000002,0.909,0.585,0.589,0.322,0.701,0.62,0.555,0.561,0.297,0.6629999999999999,0.5770000000000001,0.051,0.046,0.078,0.055,0.069,34947,28922,46902,61949,43569,38863.548,609.966,174.276,3180.5370000000003,82,66.994,8.036,0,6.97,0.001882072115494962,0.0017238261416585021,0.013174504808464733,0,0.0021914538331105717
10380,"Aguadilla-Isabela, PR Metro Area",307555,6437,347,299053,188,0.020929589829461397,0.0011282534831168409,0.9723561639381574,6.112727804782884e-4,0.8248785228377065,0.7129428778018799,0.8161616161616162,0.6831659674633156,0.31059280855199223,0.206941431670282,0.3292929292929293,0.19818618424799256,NA,NA,NA,NA,0.153327480563676,16369,24340,17871,NA,16175,0.522,0.369,0.521,0.75,0.526,0.27699999999999997,0.11800000000000001,0.091,0.152,0.05,0.202,0.688,0.39799999999999996,0.502,0.42100000000000004,0.62,0.395,0.314,0.452,0.344,0.47,0.31,0.21,0.099,0.184,0.19899999999999998,0.213,16048,13149,22040,32290,78276,2583.1079999999997,2739.66,234.828,74988.408,249,0,16.932000000000002,0,249,0.0031810516633450866,0,0.006180328945927598,0,0.0033205132185230553
10420,"Akron, OH Metro Area",704454,565000,84083,14072,20968,0.80203959378469,0.11935910648530636,0.019975754272102932,0.029764895933588283,0.9290735551837147,0.8771722335616047,0.7763709861947983,0.8050906072762485,0.32798344538064733,0.18055052171756672,0.44291053314011136,0.29436989901784477,8792,20387,0.042164675321452134,0.4312552116544857,0.08250982966568661,55718,60278,30903,54155,46227,0.131,0.099,0.297,0.171,0.185,0.318,0.201,0.085,0.19699999999999998,0.11599999999999999,0.31299999999999994,0.9169999999999999,0.645,0.649,0.627,0.591,0.645,0.607,0.617,0.5489999999999999,0.563,0.5870000000000001,0.057999999999999996,0.047,0.124,0.047,0.083,39125,31067,52401,69887,342319,286178.684,34916.538,9242.613000000001,5819.422999999999,5010,2429.85,2354.7,35.07,115.23,0.014635471592286727,0.008490674308922324,0.06743795733700746,0.003794381523926188,0.01980093215427028
10460,"Alamogordo, NM Micro Area",65745,32387,2137,24999,823,0.4926154080158187,0.032504372956118334,0.38024184348619666,0.012518062210053997,0.9247369286418942,0.9431734317343173,0.7717908082408875,0.690060562878518,0.24662939822426833,0.2022140221402214,0.27099841521394613,0.09982187388671179,1159,4549,0.10554034615563083,0.254781270608925,0.06134838185626951,42752,49019,37830,27035,34690,0.212,0.12300000000000001,0.18899999999999997,0.284,0.315,0.272,0.267,0.106,0.11199999999999999,0.078,0.19,0.835,0.546,0.5429999999999999,0.685,0.409,0.527,0.45899999999999996,0.46,0.387,0.341,0.461,0.08,0.05,0.239,0.08800000000000001,0.09300000000000001,26838,26384,40079,55818,25810,14221.31,1032.4,283.91,8439.87,193,22.002000000000002,16.984,0,12.931000000000001,0.007477721813250678,0.0015471148579139335,0.016450987989151494,0,0.0015321326039382122
10500,"Albany, GA Metro Area",153101,63311,80878,4133,1960,0.41352440545783503,0.5282656546985324,0.026995251500643365,0.012802006518572707,0.8831304575049539,0.7947625712489097,0.7736720554272517,0.7005270723526593,0.22468044335082638,0.1657031582790726,0.3849114703618168,0.24245328222328702,1110,5841,0.05854406591093604,0.19003595274781715,0.10274375475745623,42861,59231,31575,NA,46488,0.252,0.126,0.349,0.28300000000000003,0.282,0.316,0.22699999999999998,0.09300000000000001,0.115,0.084,0.199,0.835,0.584,0.583,0.5770000000000001,0.588,0.736,0.515,0.545,0.48,0.575,0.677,0.113,0.059000000000000004,0.165,0.019,0.07400000000000001,32083,28628,43842,54916,60818,28402.006,28827.731999999996,851.452,1824.54,585,87.75,363.285,0,0,0.0096188628366602,0.0030895705042805776,0.012601927893599124,0,0
10540,"Albany, OR Metro Area",122870,104885,496,10910,1340,0.8536257833482542,0.004036786847888012,0.08879303328721413,0.010905835435826483,0.9158861219367197,0.9839228295819936,0.9181532004197271,0.6548097150506789,0.1984279014465949,0.2765273311897106,0.36935991605456453,0.1441958309428189,1515,5682,0.06677007685256998,0.2666314677930306,0.05636827556878588,52097,52038,NA,85139,50673,0.14400000000000002,0.136,0.044000000000000004,0.20600000000000002,0.193,0.3,0.305,0.099,0.135,0.061,0.196,0.8999999999999999,0.58,0.5710000000000001,0.805,0.5710000000000001,0.669,0.534,0.526,0.7759999999999999,0.5329999999999999,0.635,0.079,0.079,0.036000000000000004,0.066,0.051,35117,30387,41700,55013,51168,44209.152,255.84,665.1840000000001,4246.944,248,217.99200000000002,17.112000000000002,0,6.944,0.00484677923702314,0.004930924709888125,0.06688555347091933,0,0.0016350580558632277
10580,"Albany-Schenectady-Troy, NY Metro Area",880481,705612,64114,44313,37671,0.8013937836250867,0.07281701706226483,0.05032817289640549,0.04278456888905042,0.9396894779720499,0.8433714173150793,0.8611611655605854,0.8225236370062737,0.3784624302813812,0.19174135723431499,0.6360919439194831,0.24838738181496864,12543,31854,0.05254233374130315,0.3937653042004144,0.09838681590974618,68651,72870,32432,83446,44431,0.10400000000000001,0.076,0.281,0.11,0.25,0.265,0.16699999999999998,0.122,0.20199999999999999,0.16699999999999998,0.369,0.923,0.6509999999999999,0.65,0.639,0.6409999999999999,0.6920000000000001,0.616,0.62,0.563,0.611,0.635,0.05,0.042,0.11599999999999999,0.043,0.076,45941,32473,56578,71960,440597,365254.91300000006,29519.999,18064.477,19386.268,15965,6210.385,6034.77,910.005,1835.975,0.03623492670172516,0.017002878753885505,0.2044298849739121,0.050375385902398394,0.09470492206132712
