"","cbsa_code","cbsa_name","cbsa_type","cbsa_pop","cbsa_emp","cbsa_is.top100","cbsa_size","total","male","black","black_male","hispanic","asian","nonminority","male_nonminority"
"1","32580","McAllen-Edinburg-Mission, TX","metro",849389,198978,TRUE,"large metros",8551,5312,118,0,4835,557,2709,1949
"2","32780","Medford, OR","metro",214267,75967,FALSE,"small metros",4694,2736,0,0,189,149,4168,2509
"3","32820","Memphis, TN-MS-AR","metro",1337738,539734,TRUE,"very large metros",15276,10305,1124,598,222,1295,12375,8627
"4","32900","Merced, CA","metro",269075,45686,FALSE,"midsized metros",2292,1471,0,0,367,374,1503,967
"5","33100","Miami-Fort Lauderdale-Pompano Beach, FL","metro",6070944,2214596,TRUE,"very large metros",159809,98885,5189,2740,45760,7988,96148,63380
"6","33140","Michigan City-La Porte, IN","metro",110552,35742,FALSE,"small metros",1509,983,0,NA,0,0,1411,924
"7","33220","Midland, MI","metro",83389,36436,FALSE,"small metros",1487,963,0,0,0,0,1410,903
"8","33260","Midland, TX","metro",169808,87328,FALSE,"small metros",3897,2442,0,0,419,184,3163,2031
"9","33340","Milwaukee-Waukesha, WI","metro",1575907,783764,TRUE,"very large metros",26142,16861,788,350,542,1461,23066,15167
"10","33460","Minneapolis-St. Paul-Bloomington, MN-WI","metro",3542616,1804390,TRUE,"very large metros",68578,44182,945,617,914,3414,62483,41155
"11","33540","Missoula, MT","metro",115983,50107,FALSE,"small metros",3207,1905,0,0,0,62,3033,1850
"12","33660","Mobile, AL","metro",431302,156341,FALSE,"midsized metros",5566,3914,198,110,95,350,4908,3532
"13","33700","Modesto, CA","metro",539301,142929,FALSE,"large metros",6737,0,0,0,1153,908,4358,0
"14","33740","Monroe, LA","metro",204542,72184,FALSE,"small metros",3249,2078,0,0,32,0,2863,1895
"15","33780","Monroe, MI","metro",149699,37086,FALSE,"small metros",1672,1058,0,NA,0,41,1592,984
"16","33860","Montgomery, AL","metro",373589,130956,FALSE,"midsized metros",4875,3395,239,149,0,540,4014,2794
"17","34060","Morgantown, WV","metro",139089,53463,FALSE,"small metros",2033,1410,0,0,0,54,1933,1352
"18","34100","Morristown, TN","metro",140000,42419,FALSE,"small metros",1336,882,0,0,0,84,1230,794
"19","23420","Fresno, CA","metro",978130,261800,TRUE,"large metros",12851,8464,182,0,1730,2166,8310,5675
"20","23460","Gadsden, AL","metro",102939,30604,FALSE,"small metros",1305,864,0,0,32,0,1147,761
"21","23540","Gainesville, FL","metro",320724,102732,FALSE,"midsized metros",4629,2868,0,0,210,304,3840,2426
"22","23580","Gainesville, GA","metro",195961,77461,FALSE,"small metros",3371,2240,0,0,178,262,2860,1952
"23","23900","Gettysburg, PA","metro",102023,29070,FALSE,"small metros",1593,1093,NA,NA,0,34,1513,1049
"24","24020","Glens Falls, NY","metro",126308,42072,FALSE,"small metros",2614,1664,0,NA,0,0,2449,1566
"25","24140","Goldsboro, NC","metro",124002,33960,FALSE,"small metros",1362,880,83,57,0,0,1153,739
"26","24220","Grand Forks, ND-MN","metro",101991,42714,FALSE,"small metros",1799,1208,0,0,0,43,1709,1152
"27","24260","Grand Island, NE","metro",75551,33756,FALSE,"small metros",1996,1193,0,0,22,0,1921,1141
"28","24300","Grand Junction, CO","metro",149998,52848,FALSE,"small metros",3171,1992,0,0,155,56,2879,1836
"29","24340","Grand Rapids-Kentwood, MI","metro",1054559,503115,TRUE,"very large metros",17094,12340,131,64,323,524,15980,11772
"30","24420","Grants Pass, OR","metro",85481,23460,FALSE,"small metros",1451,865,0,0,0,66,1319,825
"31","24500","Great Falls, MT","metro",81746,30445,FALSE,"small metros",1901,1097,NA,NA,0,56,1770,1031
