year,stco_code,frominstate_edu_baplus,frominstate_total,fromdiffstate_edu_baplus,fromdiffstate_total,fromabroad_edu_baplus,fromabroad_total,movein_edu_baplus,movein_total,pct_newcomer,newcomer_pct_edu_baplus
2009,01001,188,1116,584,1090,45,63,629,1153,0.0366392322603197,0.545533391153513
2009,01003,609,2600,1681,5393,165,335,1846,5728,0.0483029050891765,0.322276536312849
2009,01005,34,1449,86,475,0,1,86,476,0.0240513364660704,0.180672268907563
2009,01007,8,820,0,130,0,7,0,137,0.00945544896128097,0
2009,01009,83,1452,131,451,0,260,131,711,0.0184809731752963,0.184247538677918
2009,01011,25,136,0,86,0,0,0,86,0.012087139845397,0
2009,01013,28,119,49,131,0,27,49,158,0.0118104350426073,0.310126582278481
2009,01015,188,1502,442,1580,79,168,521,1748,0.0230269657888844,0.298054919908467
2009,01017,49,470,63,674,0,20,63,694,0.0290364419898749,0.0907780979827089
2009,01019,174,491,35,399,21,36,56,435,0.0244987609822032,0.128735632183908
2009,01021,99,869,69,244,0,49,69,293,0.0103948628800511,0.235494880546075
2009,01023,0,114,17,152,0,0,17,152,0.015578558983294,0.111842105263158
2009,01025,41,433,114,325,52,90,166,415,0.0246480964542377,0.4
2009,01027,55,323,0,168,0,21,0,189,0.0191334278193966,0
2009,01029,20,240,48,488,0,0,48,488,0.0484704012713548,0.0983606557377049
2009,01031,274,1465,544,1388,107,321,651,1709,0.0543143174956301,0.380924517261556
2009,01033,154,1077,128,930,23,57,151,987,0.0260814417461618,0.152988855116515
2009,01035,0,61,12,55,0,0,12,55,0.00625213140843469,0.218181818181818
2009,01037,0,470,0,103,0,0,0,103,0.0133074935400517,0
2009,01039,62,498,87,552,0,21,87,573,0.0226625533934504,0.151832460732984
2009,01041,6,224,2,183,0,0,2,183,0.0194950463406839,0.0109289617486339
2009,01043,164,1676,71,1079,0,119,71,1198,0.0217458387032365,0.0592654424040067
2009,01045,187,1199,523,2124,68,319,591,2443,0.0783816735112936,0.241915677445763
2009,01047,160,588,46,334,0,11,46,345,0.0127910425626576,0.133333333333333
2009,01049,102,763,147,754,0,307,147,1061,0.0231210093922291,0.138548539114043
2009,01051,534,4354,230,1126,8,109,238,1235,0.0241834416855957,0.192712550607287
2009,01053,55,667,95,601,41,209,136,810,0.0319829424307036,0.167901234567901
2009,01055,331,2105,352,1356,6,58,358,1414,0.0200832303606176,0.253182461103253
2009,01057,27,410,69,106,0,3,69,109,0.00892857142857143,0.63302752293578
2009,01059,75,488,73,399,0,73,73,472,0.02287708414114,0.154661016949153
2009,01061,78,448,0,389,4,15,4,404,0.022542126994755,0.0099009900990099
2009,01063,23,186,0,69,0,0,0,69,0.0115577889447236,0
2009,01065,36,445,26,169,0,5,26,174,0.0150727650727651,0.149425287356322
2009,01067,25,278,52,233,0,33,52,266,0.0239920627762244,0.195488721804511
2009,01069,266,1259,458,1977,53,169,511,2146,0.0330764488286067,0.2381174277726
2009,01071,88,608,74,525,0,15,74,540,0.0146858852325265,0.137037037037037
2009,01073,2716,8914,3822,8433,323,995,4145,9428,0.0213405041773335,0.439647857445906
2009,01075,18,183,46,246,0,32,46,278,0.0273030838735023,0.165467625899281
2009,01077,286,1904,245,1195,0,68,245,1263,0.0206359061499248,0.193982581155978
2009,01079,84,409,46,165,0,22,46,187,0.00804889596694357,0.245989304812834
