cbsa_code,cbsa_name,year,all_instate,all_outstate,all_fb,all_total,baplus_instate,baplus_outstate,baplus_fb,baplus_total,pct_baplus_instate,pct_baplus_outstate,pct_baplus_fb,pct_baplus_total
49500,"Yauco, PR Metro Area",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46580,"Utuado, PR Micro Area",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42180,"Santa Isabel, PR Micro Area",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41980,"San Juan-Caguas-Guaynabo, PR Metro Area",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41900,"San Germán-Cabo Rojo, PR Metro Area",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38660,"Ponce, PR Metro Area",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32420,"Mayagüez, PR Metro Area",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27580,"Jayuya, PR Micro Area",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25020,"Guayama, PR Metro Area",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21940,"Fajardo, PR Metro Area",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17620,"Coamo, PR Micro Area",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10260,"Adjuntas, PR Micro Area",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47460,"Walla Walla, WA Micro Area",2009,14941,17953,4533,37427,3301,4971,472,8744,0.220935680342681,0.276889656324848,0.104125303331127,0.23362812942528122
47420,"Wahpeton, ND-MN Micro Area",2009,7739,6414,221,14374,1346,1301,60,2707,0.17392427962269,0.202837542874961,0.271493212669683,0.18832614442743842
47380,"Waco, TX Metro Area",2009,86852,29546,13683,130081,15896,9233,1357,26486,0.1830239948418,0.312495769308874,0.0991741577139516,0.2036115958518154
47340,"Wabash, IN Micro Area",2009,16553,5421,205,22179,2608,1126,0,3734,0.157554521838942,0.207710754473344,0,0.16835745525046214
47300,"Visalia-Porterville, CA Metro Area",2009,111874,48603,74464,234941,17228,8961,4195,30384,0.153994672578079,0.184371335102771,0.0563359475719811,0.1293260861237502
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",2009,413889,561410,80705,1056004,86316,173107,26584,286007,0.208548668845995,0.308343278530842,0.329397187287033,0.2708389362161507
47220,"Vineland-Millville-Bridgeton, NJ Metro Area",2009,60718,30722,10750,102190,8137,4212,1353,13702,0.134012978029579,0.137100449189506,0.125860465116279,0.13408356982092182
47180,"Vincennes, IN Micro Area",2009,19763,5020,281,25064,2829,821,100,3750,0.143146283458989,0.163545816733068,0.355871886120996,0.1496169805298436
47080,"Vidalia, GA Micro Area",2009,16462,4792,1651,22905,2451,796,29,3276,0.148888348924796,0.166110183639399,0.017565112053301,0.14302554027504913
47020,"Victoria, TX Metro Area",2009,54602,11613,5928,72143,7983,2842,1032,11857,0.146203435771583,0.244725738396624,0.174089068825911,0.1643541299918218
46980,"Vicksburg, MS Micro Area",2009,22425,7670,651,30746,4171,2581,233,6985,0.185997770345596,0.336505867014342,0.357910906298003,0.22718402393807324
46900,"Vernon, TX Micro Area",2009,6149,1734,474,8357,1007,283,54,1344,0.163766466092047,0.16320645905421,0.113924050632911,0.16082326193610147
46860,"Vernal, UT Micro Area",2009,10462,5505,629,16596,1353,1039,11,2403,0.129325176830434,0.188737511353315,0.0174880763116057,0.1447939262472885
46820,"Vermillion, SD Micro Area",2009,3428,2582,249,6259,1145,1337,188,2670,0.334014002333722,0.517815646785438,0.755020080321285,0.42658571656814187
