cbsa_code,cbsa_name,tracts,households,price,income,pi,pi_map,pi_10,pi_90,pi_10_90
10180,"Abilene, TX",42,59679,91840,45737,1.99,Low,0.48,0,0.52
10420,"Akron, OH",166,280385,133435,53793,2.51,Normal range,0.14,0.01,0.85
10500,"Albany, GA",43,57795,98126,39060,2.7,Normal range,0.16,0.02,0.81
10540,"Albany, OR",21,45378,183543,46947,4.01,Normal range,0,0,1
10580,"Albany-Schenectady-Troy, NY",209,336748,194008,65371,3.04,Normal range,0.01,0.01,0.98
10740,"Albuquerque, NM",197,337909,188549,52540,3.71,Normal range,0.02,0.05,0.94
10780,"Alexandria, LA",37,55436,115316,40277,2.92,Normal range,0.05,0,0.95
10900,"Allentown-Bethlehem-Easton, PA-NJ",178,313959,193361,62315,3.15,Normal range,0.01,0.01,0.98
11020,"Altoona, PA",33,49964,110806,44914,2.44,Normal range,0.15,0,0.85
11100,"Amarillo, TX",64,93745,120436,53497,2.25,Low,0.36,0,0.64
11180,"Ames, IA",17,35348,159494,54110,3.56,Normal range,0.12,0.12,0.76
11260,"Anchorage, AK",77,132429,271178,79757,3.57,Normal range,0,0.03,0.97
11460,"Ann Arbor, MI",86,125232,226690,73810,3.23,Normal range,0.1,0.03,0.86
11500,"Anniston-Oxford-Jacksonville, AL",28,45067,99525,38731,2.7,Normal range,0.07,0.04,0.89
11540,"Appleton, WI",51,90033,158243,62016,2.59,Normal range,0.02,0,0.98
11700,"Asheville, NC",103,183799,202080,47228,4.4,High,0,0.06,0.94
12020,"Athens-Clarke County, GA",42,69979,166883,43393,4.37,High,0,0.12,0.88
12060,"Atlanta-Sandy Springs-Roswell, GA",923,2000000,195034,64374,3.02,Normal range,0.08,0.02,0.89
12100,"Atlantic City-Hammonton, NJ",66,99146,232720,56780,4.53,High,0,0.15,0.85
12220,"Auburn-Opelika, AL",24,55591,157025,46274,3.63,Normal range,0.04,0.08,0.88
12260,"Augusta-Richmond County, GA-SC",116,209091,122310,47211,2.63,Normal range,0.09,0,0.91
