cbsa_code,cbsa_name,tracts,households,price,income,pi,pi_map,pi_10,pi_90,pi_10_90
10180,"Abilene, TX",42,59679,"$91,840","$45,737",1.99,Low,48%,0%,52%
10420,"Akron, OH",166,280385,"$133,435","$53,793",2.51,Normal range,14%,1%,85%
10500,"Albany, GA",43,57795,"$98,126","$39,060",2.7,Normal range,16%,2%,81%
10540,"Albany, OR",21,45378,"$183,543","$46,947",4.01,Normal range,0%,0%,100%
10580,"Albany-Schenectady-Troy, NY",209,336748,"$194,008","$65,371",3.04,Normal range,1%,1%,98%
10740,"Albuquerque, NM",197,337909,"$188,549","$52,540",3.71,Normal range,2%,5%,94%
10780,"Alexandria, LA",37,55436,"$115,316","$40,277",2.92,Normal range,5%,0%,95%
10900,"Allentown-Bethlehem-Easton, PA-NJ",178,313959,"$193,361","$62,315",3.15,Normal range,1%,1%,98%
11020,"Altoona, PA",33,49964,"$110,806","$44,914",2.44,Normal range,15%,0%,85%
11100,"Amarillo, TX",64,93745,"$120,436","$53,497",2.25,Low,36%,0%,64%
11180,"Ames, IA",17,35348,"$159,494","$54,110",3.56,Normal range,12%,12%,76%
11260,"Anchorage, AK",77,132429,"$271,178","$79,757",3.57,Normal range,0%,3%,97%
11460,"Ann Arbor, MI",86,125232,"$226,690","$73,810",3.23,Normal range,10%,3%,86%
11500,"Anniston-Oxford-Jacksonville, AL",28,45067,"$99,525","$38,731",2.7,Normal range,7%,4%,89%
11540,"Appleton, WI",51,90033,"$158,243","$62,016",2.59,Normal range,2%,0%,98%
11700,"Asheville, NC",103,183799,"$202,080","$47,228",4.4,High,0%,6%,94%
12020,"Athens-Clarke County, GA",42,69979,"$166,883","$43,393",4.37,High,0%,12%,88%
12060,"Atlanta-Sandy Springs-Roswell, GA",923,2000000,"$195,034","$64,374",3.02,Normal range,8%,2%,89%
12100,"Atlantic City-Hammonton, NJ",66,99146,"$232,720","$56,780",4.53,High,0%,15%,85%
12220,"Auburn-Opelika, AL",24,55591,"$157,025","$46,274",3.63,Normal range,4%,8%,88%
12260,"Augusta-Richmond County, GA-SC",116,209091,"$122,310","$47,211",2.63,Normal range,9%,0%,91%
12420,"Austin-Round Rock, TX",327,669660,"$253,749","$71,784",3.63,Normal range,2%,7%,91%
12540,"Bakersfield, CA",143,259031,"$166,530","$51,858",3.32,Normal range,3%,2%,94%
12580,"Baltimore-Columbia-Towson, MD",649,1000000,"$270,589","$76,233",3.54,Normal range,2%,2%,96%
12620,"Bangor, ME",46,61787,"$132,824","$45,248",3.06,Normal range,4%,2%,93%
12700,"Barnstable Town, MA",55,94121,"$391,315","$65,835",6.18,High,0%,35%,65%
12940,"Baton Rouge, LA",146,296230,"$159,060","$52,385",3.2,Normal range,3%,1%,96%
12980,"Battle Creek, MI",38,52331,"$94,532","$43,352",2.15,Low,29%,0%,71%
13020,"Bay City, MI",26,43714,"$94,446","$44,284",2.22,Low,31%,0%,69%
13140,"Beaumont-Port Arthur, TX",105,151403,"$97,625","$47,526",2.14,Low,43%,1%,56%
13220,"Beckley, WV",29,48725,"$96,917","$39,378",2.46,Normal range,21%,0%,79%
13380,"Bellingham, WA",33,80140,"$290,058","$55,091",5.67,High,0%,21%,79%
13460,"Bend-Redmond, OR",24,67880,"$295,017","$57,059",5.18,High,0%,21%,79%
13740,"Billings, MT",38,67174,"$197,126","$55,200",3.65,Normal range,3%,0%,97%
13780,"Binghamton, NY",63,97003,"$109,825","$49,476",2.33,Low,30%,0%,70%
13820,"Birmingham-Hoover, AL",259,432949,"$154,187","$51,984",2.95,Normal range,6%,2%,92%
13900,"Bismarck, ND",27,52539,"$191,870","$65,629",2.97,Normal range,15%,0%,85%
13980,"Blacksburg-Christiansburg-Radford, VA",32,68509,"$180,344","$47,247",4.34,High,3%,13%,84%
14010,"Bloomington, IL",45,72417,"$146,533","$62,790",2.47,Normal range,22%,0%,78%
14020,"Bloomington, IN",31,57090,"$159,129","$50,719",3.31,Normal range,0%,6%,94%
14100,"Bloomsburg-Berwick, PA",19,33717,"$150,805","$49,222",3.17,Normal range,0%,0%,100%
14260,"Boise City, ID",95,240902,"$182,470","$53,499",3.52,Normal range,0%,1%,99%
14460,"Boston-Cambridge-Newton, MA-NH",958,1700000,"$418,765","$84,274",5.34,High,0%,21%,79%
14500,"Boulder, CO",66,119966,"$437,955","$79,494",6.19,High,0%,21%,79%
