cbsa_code,cbsa_name,msa,Med inc,Med rent,Med inc (white),Med inc (black),Med inc (non-Hisp white),Med inc (Hispanic),region,Med rent/med inc,Med rent/65% AMI,Med rent/med white inc,Med rent/med black inc,Med inc/med nh white inc,Med rent/med Hisp inc
10420,"Akron, OH Metro Area",10420,53418,642,57447,30021,57515,49667,MW,0.1442211,0.2218785,0.1341062,0.2566204,0.1339477,0.1551131
10580,"Albany-Schenectady-Troy, NY Metro Area",10580,65743,817,69535,31754,70077,42476,NE,0.1491261,0.2294248,0.1409937,0.3087485,0.1399032,0.2308127
10740,"Albuquerque, NM Metro Area",10740,50781,735,53218,41960,59582,42957,W,0.173687,0.2672108,0.1657334,0.2102002,0.1480313,0.2053216
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900,62479,838,64494,48062,66841,41905,NE,0.1609501,0.2476155,0.1559215,0.2092297,0.1504466,0.2399714
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",12060,61733,852,72548,47202,74831,45980,S,0.1656164,0.2547945,0.1409274,0.216601,0.1366279,0.2223575
12260,"Augusta-Richmond County, GA-SC Metro Area",12260,49064,614,58089,34467,58809,45337,S,0.1501712,0.2310326,0.1268398,0.2137697,0.125287,0.1625163
12420,"Austin-Round Rock, TX Metro Area",12420,69717,985,72387,49844,79692,51870,S,0.1695426,0.2608347,0.163289,0.2371399,0.148321,0.2278774
12540,"Bakersfield, CA Metro Area",12540,50826,774,51504,34005,61742,42329,W,0.1827411,0.2811402,0.1803355,0.2731363,0.1504324,0.219424
12580,"Baltimore-Columbia-Towson, MD Metro Area",12580,75646,1047,88321,52124,88975,67894,S,0.1660894,0.2555222,0.1422538,0.2410406,0.1412082,0.1850532
12940,"Baton Rouge, LA Metro Area",12940,55329,714,68815,36969,69229,51127,S,0.1548555,0.2382392,0.1245077,0.2317618,0.1237632,0.1675827
13820,"Birmingham-Hoover, AL Metro Area",13820,52088,617,61194,35967,61725,36899,S,0.1421441,0.2186832,0.1209923,0.2058554,0.1199514,0.2006558
14260,"Boise City, ID Metro Area",14260,54120,744,54499,47976,55934,42661,W,0.1649667,0.253795,0.1638195,0.186093,0.1596167,0.20927780000000001
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",14460,81838,1192,87808,48287,90090,45503,NE,0.1747843,0.268899,0.1629009,0.2962288,0.1587746,0.3143529
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",14860,89773,1215,101406,49315,107804,51265,NE,0.1624096,0.249861,0.1437785,0.2956504,0.1352454,0.2844046
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",15380,53534,622,59740,28326,60153,28919,NE,0.1394254,0.2145006,0.1249414,0.2635035,0.1240836,0.2581002
15980,"Cape Coral-Fort Myers, FL Metro Area",15980,52052,862,53468,37289,55726,41386,S,0.1987244,0.3057298,0.1934615,0.2774009,0.1856225,0.2499396
16700,"Charleston-North Charleston, SC Metro Area",16700,57666,854,68607,35098,69854,44044,S,0.177713,0.2734047,0.1493725,0.2919824,0.146706,0.2326764
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",16740,57871,762,64954,40877,66359,42732,S,0.1580066,0.2430871,0.1407765,0.2236955,0.1377959,0.2139848
16860,"Chattanooga, TN-GA Metro Area",16860,49471,606,53366,30348,53753,39926,S,0.1469952,0.2261465,0.1362665,0.2396204,0.1352855,0.182137
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",16980,65757,910,75125,37261,79150,51658,MW,0.166066,0.2554861,0.1453577,0.2930678,0.1379659,0.2113903
17140,"Cincinnati, OH-KY-IN Metro Area",17140,59478,641,64609,31178,64825,49873,MW,0.1293251,0.1989617,0.1190546,0.2467124,0.1186579,0.1542317
17460,"Cleveland-Elyria, OH Metro Area",17460,52446,650,60851,28800,61535,38382,MW,0.1487244,0.2288068,0.1281819,0.2708333,0.1267571,0.2032203
17820,"Colorado Springs, CO Metro Area",17820,62751,912,65994,50769,67010,48772,W,0.1744036,0.2683132,0.1658333,0.2155646,0.1633189,0.224391
17900,"Columbia, SC Metro Area",17900,52728,690,61404,38385,61932,41342,S,0.1570323,0.2415882,0.1348446,0.2157093,0.133695,0.2002806
18140,"Columbus, OH Metro Area",18140,60170,710,65440,37089,65928,43187,MW,0.1415988,0.2178443,0.1301956,0.2297177,0.1292319,0.1972816
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",19100,63870,852,69511,45075,78464,47779,S,0.1600752,0.2462695,0.1470846,0.226822,0.1303018,0.2139852
19380,"Dayton, OH Metro Area",19380,51204,607,55960,30732,56133,41676,MW,0.1422545,0.2188531,0.1301644,0.2370168,0.1297632,0.1747769
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",19660,45016,831,46895,30881,47741,37962,S,0.2215212,0.3408019,0.2126453,0.322917,0.2088771,0.2626837
19740,"Denver-Aurora-Lakewood, CO Metro Area",19740,71884,1086,74964,47175,80270,51077,W,0.1812921,0.2789109,0.1738434,0.276248,0.1623521,0.2551442
19780,"Des Moines-West Des Moines, IA Metro Area",19780,65971,738,68307,35129,69385,45821,MW,0.1342408,0.2065243,0.12965,0.2520994,0.1276357,0.1932738
19820,"Detroit-Warren-Dearborn, MI Metro Area",19820,56339,723,64383,33599,64838,46498,MW,0.1539963,0.2369175,0.1347561,0.258222,0.1338104,0.1865887
21340,"El Paso, TX Metro Area",21340,43170,675,43983,49544,58764,39577,S,0.1876303,0.288662,0.1841621,0.163491,0.1378395,0.2046643
23420,"Fresno, CA Metro Area",23420,48730,780,52677,28258,64628,38662,W,0.1920788,0.2955059,0.1776867,0.3312336,0.1448289,0.2420982
24340,"Grand Rapids-Wyoming, MI Metro Area",24340,58094,708,60888,31004,61717,43155,MW,0.1462457,0.2249935,0.1395349,0.2740292,0.1376606,0.1968717
24660,"Greensboro-High Point, NC Metro Area",24660,47145,618,53821,35186,54622,36786,S,0.1573019,0.242003,0.1377901,0.2107656,0.1357695,0.2015984
24860,"Greenville-Anderson-Mauldin, SC Metro Area",24860,49371,618,53286,32554,54154,36206,S,0.1502096,0.23109180000000001,0.1391735,0.2278061,0.1369428,0.2048279
25420,"Harrisburg-Carlisle, PA Metro Area",25420,60978,748,64395,37522,64975,39587,NE,0.1472006,0.2264625,0.1393897,0.2392197,0.1381454,0.2267411
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",25540,73209,898,79375,47670,82845,39881,NE,0.147195,0.2264539,0.1357606,0.2260541,0.1300742,0.2702039
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",26420,62922,840,69298,45794,84504,48315,S,0.1601983,0.246459,0.1454587,0.2201162,0.1192843,0.2086309
26900,"Indianapolis-Carmel-Anderson, IN Metro Area",26900,56528,687,62544,34246,63461,37234,MW,0.1458392,0.2243681,0.1318112,0.2407288,0.1299066,0.2214105
27140,"Jackson, MS Metro Area",27140,49381,658,66854,35822,66875,43667,S,0.1598996,0.2459993,0.1181081,0.2204232,0.118071,0.180823
27260,"Jacksonville, FL Metro Area",27260,56449,845,62227,37419,63025,49522,S,0.1796312,0.2763557,0.1629518,0.2709853,0.1608885,0.2047575
28140,"Kansas City, MO-KS Metro Area",28140,61479,707,66790,36603,68066,44863,MW,0.1379983,0.2123051,0.127025,0.2317843,0.1246437,0.1891091
28940,"Knoxville, TN Metro Area",28940,49820,605,51558,29588,51762,37784,S,0.1457246,0.2241917,0.1408123,0.2453697,0.1402573,0.1921448
29460,"Lakeland-Winter Haven, FL Metro Area",29460,45988,725,48371,33526,50143,40393,S,0.1891798,0.2910458,0.1798598,0.2595001,0.1735038,0.2153839
29820,"Las Vegas-Henderson-Paradise, NV Metro Area",29820,54882,883,59075,38679,61494,47092,W,0.1930688,0.2970289,0.1793652,0.2739471,0.1723095,0.2250064
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",30780,51362,632,58252,34213,58969,41828,S,0.1476578,0.2271658,0.130193,0.2216701,0.1286099,0.1813139
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",31080,65331,1282,72437,45246,84426,51326,W,0.2354778,0.3622735,0.2123777,0.340008,0.1822187,0.2997311
31140,"Louisville/Jefferson County, KY-IN Metro Area",31140,54624,637,59222,33103,59725,44734,S,0.1399385,0.21529,0.1290736,0.2309156,0.1279866,0.1708767
31540,"Madison, WI Metro Area",31540,66609,855,68906,32169,69611,44544,MW,0.1540332,0.2369742,0.1488985,0.3189406,0.1473905,0.23033410000000001
32580,"McAllen-Edinburg-Mission, TX Metro Area",32580,37097,541,37547,57632,50810,34956,S,0.1750007,0.2692318,0.1729033,0.1126458,0.1277701,0.1857192
32820,"Memphis, TN-MS-AR Metro Area",32820,50194,669,66868,35309,68083,38690,S,0.1599394,0.2460607,0.1200574,0.2273641,0.1179149,0.2074955
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",33100,51758,1098,55351,40349,65195,46197,S,0.2545694,0.3916451,0.2380445,0.3265508,0.2021014,0.2852133
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",33340,57531,732,66097,28928,67768,38970,MW,0.1526829,0.2348968,0.1328956,0.3036504,0.1296187,0.2254042
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",33460,73735,915,78706,34174,79412,48808,MW,0.1489116,0.2290948,0.1395065,0.3212969,0.1382663,0.2249631
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",34980,59365,791,63627,41188,64606,43518,S,0.1598922,0.245988,0.1491819,0.2304555,0.1469213,0.2181166
35300,"New Haven-Milford, CT Metro Area",35300,64872,917,72029,41396,76380,41436,NE,0.1696263,0.2609636,0.1527718,0.2658228,0.1440691,0.2655662
35380,"New Orleans-Metairie, LA Metro Area",35380,50154,794,63228,30851,64895,43619,S,0.1899749,0.2922691,0.1506927,0.3088393,0.1468218,0.2184369
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",35620,72205,1205,85078,48376,91806,47369,NE,0.2002631,0.3080971,0.1699617,0.2989086,0.157506,0.3052629
35840,"North Port-Sarasota-Bradenton, FL Metro Area",35840,54473,929,55733,36460,56877,42727,S,0.2046518,0.314849,0.2000251,0.3057597,0.1960019,0.2609123
36260,"Ogden-Clearfield, UT Metro Area",36260,68558,771,70126,45727,71770,47480,W,0.1349514,0.2076176,0.1319339,0.2023312,0.1289118,0.194861
36420,"Oklahoma City, OK Metro Area",36420,54946,650,59532,34085,61219,42314,S,0.1419576,0.2183962,0.131022,0.2288397,0.1274114,0.1843362
36540,"Omaha-Council Bluffs, NE-IA Metro Area",36540,62345,715,65932,31855,67596,45881,MW,0.1376213,0.2117251,0.1301341,0.2693455,0.1269306,0.1870055
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",36740,52261,928,55759,39525,61049,42506,S,0.2130843,0.327822,0.1997166,0.2817457,0.1824109,0.2619866
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",37100,81972,1540,80770,77813,91768,62943,W,0.2254428,0.3468351,0.2287978,0.2374925,0.2013774,0.293599
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",37340,51536,819,53337,35164,53836,46918,S,0.1907016,0.2933871,0.1842623,0.27949040000000003,0.1825544,0.2094719
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",37980,66285,900,77584,39646,79671,40629,NE,0.1629328,0.2506658,0.139204,0.2724108,0.1355575,0.26582
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",38060,57935,857,60124,42556,64423,44865,W,0.1775093,0.2730912,0.1710465,0.241658,0.1596324,0.229221
38300,"Pittsburgh, PA Metro Area",38300,56073,619,59044,30440,59089,48178,NE,0.1324702,0.2038003,0.1258045,0.244021,0.1257087,0.1541783
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",38900,66657,974,68413,36224,69970,48333,W,0.1753454,0.2697622,0.1708447,0.322659,0.167043,0.2418224
39300,"Providence-Warwick, RI-MA Metro Area",39300,61536,785,65366,40581,67001,33582,NE,0.1530811,0.2355094,0.1441116,0.2321283,0.1405949,0.2805074
39340,"Provo-Orem, UT Metro Area",39340,66742,822,67438,50765,69436,48584,W,0.147793,0.2273738,0.1462677,0.1943071,0.1420589,0.2030298
39580,"Raleigh, NC Metro Area",39580,68870,854,77127,47770,79495,43241,S,0.1488021,0.2289263,0.1328718,0.2145279,0.1289138,0.2369973
40060,"Richmond, VA Metro Area",40060,63599,871,74214,43559,75250,50953,S,0.1643422,0.2528342,0.140836,0.2399504,0.138897,0.2051302
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",40140,59173,1066,61190,48023,65325,52504,W,0.2161797,0.3325841,0.2090538,0.2663724,0.1958209,0.2436386
40380,"Rochester, NY Metro Area",40380,55256,727,60034,29084,61096,31235,NE,0.1578833,0.2428974,0.1453177,0.2999587,0.1427917,0.2793021
40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",40900,64407,1018,68637,42489,71323,52240,W,0.1896688,0.2917982,0.1779798,0.2875097,0.1712772,0.2338438
