cbsa_code,cbsa_name,i5hgc_density
10300,"Adrian, MI",59.5
10420,"Akron, OH",59.7
10580,"Albany-Schenectady-Troy, NY",65.4
10700,"Albertville, AL",42.6
10740,"Albuquerque, NM",32.8
10820,"Alexandria, MN",55
10900,"Allentown-Bethlehem-Easton, PA-NJ",58.4
11020,"Altoona, PA",7.9
11100,"Amarillo, TX",15.5
11180,"Ames, IA",44.8
11260,"Anchorage, AK",10.4
11460,"Ann Arbor, MI",120.8
11540,"Appleton, WI",57.5
11700,"Asheville, NC",81.5
11900,"Athens, OH",62.2
12020,"Athens-Clarke County, GA",41.8
12060,"Atlanta-Sandy Springs-Roswell, GA",193.9
12100,"Atlantic City-Hammonton, NJ",14.6
12180,"Auburn, NY",12.4
12220,"Auburn-Opelika, AL",40.7
12260,"Augusta-Richmond County, GA-SC",21.2
12420,"Austin-Round Rock, TX",289.5
12460,"Bainbridge, GA",36.5
12540,"Bakersfield, CA",28.9
12580,"Baltimore-Columbia-Towson, MD",124.1
12700,"Barnstable Town, MA",55.6
12860,"Batavia, NY",16.7
12940,"Baton Rouge, LA",72.3
13020,"Bay City, MI",18.7
13140,"Beaumont-Port Arthur, TX",12.4
13180,"Beaver Dam, WI",33.8
13220,"Beckley, WV",8
13380,"Bellingham, WA",84.2
13420,"Bemidji, MN",88.9
13460,"Bend-Redmond, OR",99.7
13740,"Billings, MT",6.1
13780,"Binghamton, NY",16
13820,"Birmingham-Hoover, AL",78
13900,"Bismarck, ND",44
13980,"Blacksburg-Christiansburg-Radford, VA",44.9
14010,"Bloomington, IL",5.4
14020,"Bloomington, IN",50.1
14100,"Bloomsburg-Berwick, PA",11.7
14140,"Bluefield, WV-VA",18.7
14260,"Boise City, ID",64.3
14380,"Boone, NC",38.6
14420,"Borger, TX",136
14460,"Boston-Cambridge-Newton, MA-NH",183.9
14500,"Boulder, CO",367
14540,"Bowling Green, KY",63.3
14580,"Bozeman, MT",230.8
14660,"Brainerd, MN",54.8
14720,"Breckenridge, CO",179.4
14740,"Bremerton-Silverdale, WA",4.1
14820,"Brevard, NC",30.5
14860,"Bridgeport-Stamford-Norwalk, CT",121
15180,"Brownsville-Harlingen, TX",2.5
15260,"Brunswick, GA",18.1
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",55.4
15420,"Burley, ID",45.9
15500,"Burlington, NC",26.2
15540,"Burlington-South Burlington, VT",80.6
15660,"Calhoun, GA",90.6
15680,"California-Lexington Park, MD",86.1
15940,"Canton-Massillon, OH",9.9
15980,"Cape Coral-Fort Myers, FL",60.1
16180,"Carson City, NV",55.1
16300,"Cedar Rapids, IA",154.7
16540,"Chambersburg-Waynesboro, PA",40
16580,"Champaign-Urbana, IL",25.9
16660,"Charleston-Mattoon, IL",46.3
16700,"Charleston-North Charleston, SC",165.2
16740,"Charlotte-Concord-Gastonia, NC-SC",114.4
16820,"Charlottesville, VA",150.5
16860,"Chattanooga, TN-GA",53
16940,"Cheyenne, WY",31.4
16980,"Chicago-Naperville-Elgin, IL-IN-WI",118.5
17020,"Chico, CA",18.3
17140,"Cincinnati, OH-KY-IN",104.9
17200,"Claremont-Lebanon, NH-VT",18.4
17220,"Clarksburg, WV",63.8
17460,"Cleveland-Elyria, OH",110.9
17660,"Coeur d'Alene, ID",121.9
17780,"College Station-Bryan, TX",35.4
17820,"Colorado Springs, CO",40.5
17860,"Columbia, MO",164.2
17900,"Columbia, SC",43.1
17980,"Columbus, GA-AL",20.2
18020,"Columbus, IN",103.7
18060,"Columbus, MS",67
18140,"Columbus, OH",117.2
18180,"Concord, NH",20.4
18260,"Cookeville, TN",9.6
18460,"Cornelia, GA",93.2
18580,"Corpus Christi, TX",11.6
18700,"Corvallis, OR",23.6
18880,"Crestview-Fort Walton Beach-Destin, FL",116.2
19100,"Dallas-Fort Worth-Arlington, TX",130.1
19180,"Danville, IL",12.2
19300,"Daphne-Fairhope-Foley, AL",42
19340,"Davenport-Moline-Rock Island, IA-IL",15.8
19380,"Dayton, OH",43.7
19460,"Decatur, AL",32.6
19660,"Deltona-Daytona Beach-Ormond Beach, FL",11.8
19740,"Denver-Aurora-Lakewood, CO",181.1
19780,"Des Moines-West Des Moines, IA",69.1
19820,"Detroit-Warren-Dearborn, MI",82.3
19860,"Dickinson, ND",35.2
20100,"Dover, DE",6.1
20260,"Duluth, MN-WI",25.1
20340,"Duncan, OK",66.9
20420,"Durango, CO",19.6
20500,"Durham-Chapel Hill, NC",137.4
20660,"Easton, MD",80.4
20700,"East Stroudsburg, PA",11.8
20780,"Edwards, CO",97.3
20820,"Effingham, IL",175.2
20900,"El Campo, TX",24.3
20940,"El Centro, CA",29.2
20980,"El Dorado, AR",24.6
21020,"Elizabeth City, NC",31.7
21060,"Elizabethtown-Fort Knox, KY",27.7
21120,"Elk City, OK",45.3
21140,"Elkhart-Goshen, IN",80.8
21340,"El Paso, TX",8.7
21460,"Enterprise, AL",19.9
21500,"Erie, PA",7.1
21660,"Eugene, OR",48.5
21780,"Evansville, IN-KY",25.6
21820,"Fairbanks, AK",21.1
21840,"Fairfield, IA",57.2
21860,"Fairmont, MN",97.3
22020,"Fargo, ND-MN",136
22180,"Fayetteville, NC",27
22220,"Fayetteville-Springdale-Rogers, AR-MO",59.5
22300,"Findlay, OH",80
22420,"Flint, MI",9.3
22500,"Florence, SC",34.2
22520,"Florence-Muscle Shoals, AL",13.7
22540,"Fond du Lac, WI",29.6
22580,"Forest City, NC",14.8
22660,"Fort Collins, CO",126.4
22700,"Fort Dodge, IA",26.5
22900,"Fort Smith, AR-OK",3.6
23060,"Fort Wayne, IN",66.9
23180,"Frankfort, KY",14.3
23420,"Fresno, CA",31.3
23460,"Gadsden, AL",9.6
23540,"Gainesville, FL",34.1
23580,"Gainesville, GA",27
23860,"Georgetown, SC",82.9
23900,"Gettysburg, PA",9.9
23940,"Gillette, WY",41.7
24020,"Glens Falls, NY",7.8
24060,"Glenwood Springs, CO",27.4
24220,"Grand Forks, ND-MN",20.3
24260,"Grand Island, NE",12.2
24300,"Grand Junction, CO",27.3
24340,"Grand Rapids-Wyoming, MI",94.2
24420,"Grants Pass, OR",24
24500,"Great Falls, MT",12.2
24540,"Greeley, CO",27.4
24580,"Green Bay, WI",13
24620,"Greeneville, TN",72.8
24660,"Greensboro-High Point, NC",66.3
24780,"Greenville, NC",54
24860,"Greenville-Anderson-Mauldin, SC",87.9
24940,"Greenwood, SC",21
25180,"Hagerstown-Martinsburg, MD-WV",35.5
25200,"Hailey, ID",181.3
25220,"Hammond, LA",8.6
25260,"Hanford-Corcoran, CA",6.6
25420,"Harrisburg-Carlisle, PA",54.6
25540,"Hartford-West Hartford-East Hartford, CT",47.2
25620,"Hattiesburg, MS",27.9
25720,"Heber, UT",84.6
