cbsa,cbsaname,measure,density2004,density2005,density2006,density2007,density2008,density2009,density2010,density2011,density2012,density2013,density2014,density2015,cbsa_code
10420,"Akron, OH",actual jobs per square mile,3442.67578125,3437.103759765625,3454.526611328125,3403.6806640625,3603.300537109375,2998.94384765625,3604.81298828125,3304.121826171875,3330.706787109375,3334.45361328125,3379.502197265625,2709.666015625,10420
10420,"Akron, OH",expected jobs per square mile,3442.67578125,3585.8935546875,3711.610107421875,3763.381591796875,3981.379150390625,3779.453369140625,3854.4833984375,3933.778564453125,3983.871337890625,3992.065185546875,4122.73779296875,3968.099365234375,10420
10580,"Albany, NY",actual jobs per square mile,5060.30126953125,5302.7265625,5373.1904296875,5687.82275390625,5826.2958984375,5967.34375,6249.6689453125,6283.81982421875,6599.6943359375,6666.98193359375,7029.77490234375,7253.47265625,10580
10580,"Albany, NY",expected jobs per square mile,5060.30126953125,5193.11328125,5262.654296875,5537.9609375,5514.56982421875,5759.72607421875,5761.7783203125,5906.70458984375,5785.33447265625,5760.203125,5981.8017578125,5986.88330078125,10580
10740,"Albuquerque, NM",actual jobs per square mile,6762.72509765625,6443.953125,6380.8779296875,5708.27392578125,5196.2431640625,4968.44091796875,4764.58544921875,5122.107421875,5156.876953125,5142.56005859375,4952.02099609375,5325.80078125,10740
10740,"Albuquerque, NM",expected jobs per square mile,6762.72509765625,6998.24853515625,6769.1416015625,7008.90283203125,7015.4384765625,7045.6728515625,6867.955078125,7034.39013671875,7207.1884765625,7272.3515625,7333.9970703125,7450.65380859375,10740
10900,"Allentown, PA-NJ",actual jobs per square mile,3963.07690429688,4027.4921875,4131.75146484375,4161.5244140625,4359.015625,4094.87890625,4153.17822265625,4296.19091796875,4121.8330078125,4069.200927734375,4048.229248046875,4153.99853515625,10900
10900,"Allentown, PA-NJ",expected jobs per square mile,3963.07690429688,3779.546630859375,4119.4697265625,4193.28857421875,4349.7392578125,4290.5771484375,4398.9755859375,4405.8095703125,4518.9208984375,4751.01318359375,4650.1904296875,4642.3369140625,10900
12060,"Atlanta, GA",actual jobs per square mile,7211.83837890625,7219.263671875,7316.609375,7064.42529296875,7434.19970703125,7733.19091796875,7419.99169921875,7645.298828125,7966.615234375,8218.234375,8343.0908203125,8640.875,12060
12060,"Atlanta, GA",expected jobs per square mile,7211.83837890625,7413.28759765625,7646.982421875,7796.123046875,7986.0830078125,7871.70361328125,7848.80517578125,8079.044921875,8295.1884765625,8523.265625,8728.958984375,8948.0751953125,12060
