cbsa_code,cbsa_name,naics2_code,naics2_name,year,cbsa_jobdensity
10420,"Akron, OH",00,Total,2004,3442.67578125
10420,"Akron, OH",11,Agriculture,2004,562.695251464844
10420,"Akron, OH",21,Mining,2004,840.7529296875
10420,"Akron, OH",22,Utilities,2004,5129.5322265625
10420,"Akron, OH",23,Construction,2004,1323.82470703125
10420,"Akron, OH",31,Manufacturing,2004,1729.28283691406
10420,"Akron, OH",42,Wholesale,2004,1908.27905273438
10420,"Akron, OH",44,Retail,2004,1993.48864746094
10420,"Akron, OH",48,Logistics,2004,1026.84313964844
10420,"Akron, OH",51,Information,2004,6948.3408203125
10420,"Akron, OH",52,Finance,2004,4123.88818359375
10420,"Akron, OH",53,Real Estate,2004,2468.537109375
10420,"Akron, OH",54,Professional,2004,5286.71142578125
10420,"Akron, OH",55,Headquarters,2004,8170.2109375
10420,"Akron, OH",61,Education,2004,3465.2080078125
10420,"Akron, OH",62,Health Care,2004,7089.40185546875
10420,"Akron, OH",71,Arts/Entertainment,2004,2521.98950195312
10420,"Akron, OH",72,Hospitality,2004,2461.06689453125
10420,"Akron, OH",81,Local Services,2004,2361.54418945312
10580,"Albany, NY",00,Total,2004,5060.30126953125
10580,"Albany, NY",11,Agriculture,2004,597.555297851562
10580,"Albany, NY",21,Mining,2004,330.074584960938
10580,"Albany, NY",22,Utilities,2004,1848.95068359375
10580,"Albany, NY",23,Construction,2004,1897.84533691406
10580,"Albany, NY",31,Manufacturing,2004,1892.10693359375
10580,"Albany, NY",42,Wholesale,2004,2218.4287109375
10580,"Albany, NY",44,Retail,2004,2457.35302734375
10580,"Albany, NY",48,Logistics,2004,1770.82214355469
10580,"Albany, NY",51,Information,2004,4649.3046875
10580,"Albany, NY",52,Finance,2004,4877.83837890625
10580,"Albany, NY",53,Real Estate,2004,3497.56884765625
10580,"Albany, NY",54,Professional,2004,4639.45166015625
10580,"Albany, NY",55,Headquarters,2004,4620.0615234375
10580,"Albany, NY",61,Education,2004,8709.0087890625
10580,"Albany, NY",62,Health Care,2004,12019.9404296875
10580,"Albany, NY",71,Arts/Entertainment,2004,2846.7841796875
10580,"Albany, NY",72,Hospitality,2004,3444.00927734375
10580,"Albany, NY",81,Local Services,2004,3798.03735351562
10740,"Albuquerque, NM",00,Total,2004,6762.72509765625
10740,"Albuquerque, NM",11,Agriculture,2004,2466.07666015625
10740,"Albuquerque, NM",21,Mining,2004,4308.8759765625
10740,"Albuquerque, NM",22,Utilities,2004,3971.28466796875
10740,"Albuquerque, NM",23,Construction,2004,3023.03076171875
10740,"Albuquerque, NM",31,Manufacturing,2004,13770.3544921875
10740,"Albuquerque, NM",42,Wholesale,2004,4251.14794921875
10740,"Albuquerque, NM",44,Retail,2004,4849.3974609375
10740,"Albuquerque, NM",48,Logistics,2004,4287.4873046875
10740,"Albuquerque, NM",51,Information,2004,10023.0224609375
10740,"Albuquerque, NM",52,Finance,2004,6794.388671875
10740,"Albuquerque, NM",53,Real Estate,2004,3855.60620117188
