cbsa,cbsaname,stco_code,county,type,naics,sector,measure,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,cbsa_code
10420,"Akron, OH",00000,Metro Total,TOTAL,00,Total,actual job density,3442.67578125,3437.103759765625,3454.526611328125,3403.6806640625,3603.300537109375,2998.94384765625,3604.81298828125,3304.121826171875,3330.706787109375,3334.45361328125,3379.502197265625,2709.666015625,10420
10420,"Akron, OH",39133,"Portage County, Ohio",ES,00,Total,actual job density,738.01202392578125,729.1865234375,715.85638427734375,754.4876708984375,753.7603759765625,611.4876708984375,654.3912353515625,639.9375,619.23272705078125,633.32305908203125,768.516357421875,762.29327392578125,10420
10420,"Akron, OH",39153,"Summit County, Ohio",MS,00,Total,actual job density,3901.052978515625,3898.193603515625,3923.749267578125,3876.828369140625,4107.77001953125,3403.47509765625,4100.42333984375,3773.39453125,3808.291015625,3810.151611328125,3854.153076171875,3070.490966796875,10420
10580,"Albany, NY",00000,Metro Total,TOTAL,00,Total,actual job density,5060.30126953125,5302.7265625,5373.1904296875,5687.82275390625,5826.2958984375,5967.34375,6249.6689453125,6283.81982421875,6599.6943359375,6666.98193359375,7029.77490234375,7253.47265625,10580
10580,"Albany, NY",36001,"Albany County, New York",MS,00,Total,actual job density,6433.400390625,6602.8017578125,6701.21875,7898.501953125,8081.51904296875,8163.7890625,8046.06640625,8192.744140625,9068.4267578125,9149.3857421875,10033.1767578125,10457.2548828125,10580
10580,"Albany, NY",36083,"Rensselaer County, New York",ES,00,Total,actual job density,3171.56787109375,4450.20166015625,4685.40771484375,4311.92578125,4628.1279296875,4805.580078125,5264.0654296875,4958.45703125,4501.69189453125,4900.34375,4386.48486328125,3903.782958984375,10580
10580,"Albany, NY",36091,"Saratoga County, New York",ES,00,Total,actual job density,2472.9072265625,2538.45166015625,2763.169189453125,2660.536865234375,2481.74560546875,2068.95947265625,2336.290771484375,2420.069580078125,2375.17138671875,2245.578857421875,2437.7998046875,2615.057373046875,10580
10580,"Albany, NY",36093,"Schenectady County, New York",MS,00,Total,actual job density,5572.166015625,5705.60107421875,5545.33837890625,4195.962890625,4365.76171875,5331.80517578125,6978.98876953125,6813.39013671875,6570.55859375,6487.88720703125,6499.0458984375,6838.52197265625,10580
10580,"Albany, NY",36095,"Schoharie County, New York",EX,00,Total,actual job density,755.635986328125,694.8612060546875,740.10491943359375,480.2552185058594,481.6030578613281,401.29486083984375,309.4015197753906,319.9975891113281,449.9552307128906,424.50689697265625,454.2662048339844,413.7716369628906,10580
10740,"Albuquerque, NM",00000,Metro Total,TOTAL,00,Total,actual job density,6762.72509765625,6443.953125,6380.8779296875,5708.27392578125,5196.2431640625,4968.44091796875,4764.58544921875,5122.107421875,5156.876953125,5142.56005859375,4952.02099609375,5325.80078125,10740
10740,"Albuquerque, NM",35001,"Bernalillo County, New Mexico",MS,00,Total,actual job density,6291.8974609375,6005.455078125,5792.27392578125,5353.74560546875,5650.900390625,5404.3876953125,5216.40771484375,5591.04931640625,5622.59033203125,5610.166015625,5425.998046875,5830.19580078125,10740
10740,"Albuquerque, NM",35043,"Sandoval County, New Mexico",ES,00,Total,actual job density,15998.5498046875,15157.7802734375,16142.5859375,12697.6650390625,2720.916259765625,2502.71484375,2395.580810546875,2712.552734375,2349.9912109375,2209.74560546875,1733.0882568359375,1582.336181640625,10740
10740,"Albuquerque, NM",35057,"Torrance County, New Mexico",EX,00,Total,actual job density,7.443090915679932,10.89780330657959,15.208259582519531,14.687581062316895,17.338918685913086,13.732162475585938,12.830050468444824,13.888160705566406,15.360394477844238,11.466877937316895,13.49608325958252,12.010247230529785,10740
10740,"Albuquerque, NM",35061,"Valencia County, New Mexico",EX,00,Total,actual job density,798.0413818359375,923.5966796875,417.439453125,1196.8836669921875,673.74591064453125,732.30389404296875,666.73089599609375,645.64178466796875,354.9107360839844,339.60797119140625,327.2733459472656,324.3037109375,10740
10900,"Allentown, PA-NJ",00000,Metro Total,TOTAL,00,Total,actual job density,3963.076904296875,4027.4921875,4131.75146484375,4161.5244140625,4359.015625,4094.87890625,4153.17822265625,4296.19091796875,4121.8330078125,4069.200927734375,4048.229248046875,4153.99853515625,10900
10900,"Allentown, PA-NJ",34041,"Warren County, New Jersey",ES,00,Total,actual job density,2306.77392578125,2370.411376953125,2106.779052734375,1762.7681884765625,1370.585205078125,1297.5201416015625,1025.337158203125,1111.1815185546875,993.26226806640625,1004.6595458984375,950.1700439453125,1024.890869140625,10900
10900,"Allentown, PA-NJ",42025,"Carbon County, Pennsylvania",ES,00,Total,actual job density,914.0167236328125,910.57098388671875,957.7364501953125,972.7464599609375,1067.2413330078125,932.1519775390625,969.2587890625,1146.1727294921875,996.12835693359375,989.350830078125,799.28692626953125,1031.9517822265625,10900
10900,"Allentown, PA-NJ",42077,"Lehigh County, Pennsylvania",MS,00,Total,actual job density,4945.99609375,5065.33447265625,5271.53759765625,5459.4404296875,5848.1669921875,5505.12890625,5618.775390625,5899.22314453125,5497.8544921875,5503.845703125,5504.3173828125,5702.8740234375,10900
10900,"Allentown, PA-NJ",42095,"Northampton County, Pennsylvania",MS,00,Total,actual job density,3214.818603515625,3174.249267578125,3265.293701171875,3079.589599609375,3109.857666015625,2917.894287109375,2960.94580078125,2892.319091796875,2993.09326171875,2839.119140625,2811.8349609375,2774.44775390625,10900
12060,"Atlanta, GA",00000,Metro Total,TOTAL,00,Total,actual job density,7211.83837890625,7219.263671875,7316.609375,7064.42529296875,7434.19970703125,7733.19091796875,7419.99169921875,7645.298828125,7966.615234375,8218.234375,8343.0908203125,8640.875,12060
