cbsa_code,cbsa_name,stco_code,stco_name,naics2_code,naics2_name,type,year,county_jobdensity
10420,"Akron, OH",00000,Metro Total,00,Total,TOTAL,2004,3442.67578125
10420,"Akron, OH",39133,"Portage County, Ohio",00,Total,ES,2004,738.012023925781
10420,"Akron, OH",39153,"Summit County, Ohio",00,Total,MS,2004,3901.05297851562
10580,"Albany, NY",00000,Metro Total,00,Total,TOTAL,2004,5060.30126953125
10580,"Albany, NY",36001,"Albany County, New York",00,Total,MS,2004,6433.400390625
10580,"Albany, NY",36083,"Rensselaer County, New York",00,Total,ES,2004,3171.56787109375
10580,"Albany, NY",36091,"Saratoga County, New York",00,Total,ES,2004,2472.9072265625
10580,"Albany, NY",36093,"Schenectady County, New York",00,Total,MS,2004,5572.166015625
10580,"Albany, NY",36095,"Schoharie County, New York",00,Total,EX,2004,755.635986328125
10740,"Albuquerque, NM",00000,Metro Total,00,Total,TOTAL,2004,6762.72509765625
10740,"Albuquerque, NM",35001,"Bernalillo County, New Mexico",00,Total,MS,2004,6291.8974609375
10740,"Albuquerque, NM",35043,"Sandoval County, New Mexico",00,Total,ES,2004,15998.5498046875
10740,"Albuquerque, NM",35057,"Torrance County, New Mexico",00,Total,EX,2004,7.44309091567993
10740,"Albuquerque, NM",35061,"Valencia County, New Mexico",00,Total,EX,2004,798.041381835938
10900,"Allentown, PA-NJ",00000,Metro Total,00,Total,TOTAL,2004,3963.07690429688
10900,"Allentown, PA-NJ",34041,"Warren County, New Jersey",00,Total,ES,2004,2306.77392578125
10900,"Allentown, PA-NJ",42025,"Carbon County, Pennsylvania",00,Total,ES,2004,914.016723632812
10900,"Allentown, PA-NJ",42077,"Lehigh County, Pennsylvania",00,Total,MS,2004,4945.99609375
10900,"Allentown, PA-NJ",42095,"Northampton County, Pennsylvania",00,Total,MS,2004,3214.81860351562
12060,"Atlanta, GA",00000,Metro Total,00,Total,TOTAL,2004,7211.83837890625
12060,"Atlanta, GA",13013,"Barrow County, Georgia",00,Total,EX,2004,655.89501953125
12060,"Atlanta, GA",13015,"Bartow County, Georgia",00,Total,EX,2004,779.915405273438
12060,"Atlanta, GA",13035,"Butts County, Georgia",00,Total,EX,2004,415.722381591797
12060,"Atlanta, GA",13045,"Carroll County, Georgia",00,Total,EX,2004,963.373657226562
