cbsa_code,rank_year_range,count,prosperity_rank,growth_rank,inclusion_rank,racial_inclusion_rank,value_year,average_annual_wage,output_per_job,output_per_person,employment_at_firms_0_5_years_old,jobs,real_gdp,employment_to_population_ratio,median_income,relative_income_poverty,gap_in_employment_to_population_ratio,gap_in_median_income,gap_in_relative_income_poverty
10420,2007-2017,3,44,78,89,35,2017,46101.8900159511,106451.226403224,50684.8692907776,27089,334961.467098031,35657058970.4085,0.7478428,31036.11,0.2835385,0.0957737,10365.46,0.1104397
10580,2007-2017,3,4,29,49,69,2017,53671.1132742332,136536.752956144,70669.3245098835,30575,458677.28646572,62626307348.7647,0.7404639,38976.86,0.2725071,0.1635771,12750.04,0.0965262
10740,2007-2017,3,84,85,67,42,2017,44505.4006523688,107619.345060463,46323.8623776084,33392,392014.519917467,42188345887.7098,0.6944837,30124.38,0.2536528,0.0014018,8849.066,0.038288
10900,2007-2017,3,36,36,85,53,2017,49228.129908721,118010.738491653,51456.2515086205,26936,366505.22451082,43251552205.5709,0.740391,35179.64,0.27369,0.0860617,11097.54,0.1106475
12060,2007-2017,3,58,33,64,57,2017,57690.355413422,138093.515260689,62563.8902011005,259336,2666106.19819069,368171976966.463,0.7434431,36005.05,0.2517715,0.0349653,15415.73,0.0604382
12260,2007-2017,3,23,65,99,72,2017,46163.5407115574,110180.907948794,44988.3491712199,15250,245049.73907099,26999802743.4568,0.6711519,26087.29,0.2618838,0.1032298,7172.486,0.0554599
12420,2007-2017,3,9,1,4,49,2017,58746.7727368283,132542.051673014,63756.8632804675,132354,1017778.81858145,134898492764.122,0.7681109,39978.28,0.2494142,0.0229335,16895.41,0.0677072
12540,2007-2017,3,87,46,77,10,2017,45030.5285434265,116068.426480475,42472.7663151437,39436,326817.85847244,37933234578.6148,0.6060863,27028.23,0.2618284,0.0029218,15952.81,0.0184163
12580,2007-2017,3,18,47,54,89,2017,58721.4541800801,137063.095169202,69657.8566250496,109946,1427163.53579036,195611451528.049,0.7512255,45406.8,0.2836629,0.071009,16237.95,0.096326
12940,2007-2017,3,26,34,72,77,2017,49759.3090967802,126885.787849413,61391.5711629272,40005,403593.9129012,51210331609.6962,0.6973029,32599.56,0.2869024,0.0949573,16149.07,0.1189867
13820,2007-2017,3,67,89,82,87,2017,50300.0227632303,118933.127502994,53863.1895785582,41359,520731.891273893,61932272419.7533,0.6844134,34033.48,0.2582413,0.0664253,14873.25,0.1104654
14260,2007-2017,3,72,58,97,12,2017,44708.4852931053,104873.396187684,47010.4031008109,33749,318194.13504427,33370099589.0951,0.7323381,29863.27,0.2618281,0.0562369,5318.766,0.0661563
14460,2007-2017,3,13,NA,41,70,2017,73749.5060763478,159925.77634535,91344.3261393587,247484,2762466.90898095,441789665047.119,0.777106,45460.22,0.2885796,0.0543764,18500.4,0.098704
14860,2007-2017,3,100,86,95,97,2017,83513.1107652609,208931.593281141,95121.7713063706,41778,432477.284560463,90358168121.1189,0.7452237,42030.76,0.2845792,0.0689253,20934.64,0.1171319
15380,2007-2017,3,6,63,2,55,2017,47393.8026420558,117815.309524545,57259.8438064526,40805,552527.48775291,65096196990.4284,0.7432311,34070.53,0.2560745,0.1378777,15929.09,0.1704209
15980,2007-2017,3,97,22,98,27,2017,43232.2949264213,104602.523908256,37096.0990196563,42207,262157.40956459,27422326701.7064,0.710991,29027.56,0.2466603,0.0246983,6285.387,0.0060998
16700,2007-2017,3,14,10,13,68,2017,47074.5325036645,113195.09090449,51927.5663871885,36900,355907.799850894,40287015757.7388,0.7486637,34992.69,0.2444853,0.0434651,15470.62,0.1142733
16740,2007-2017,3,41,14,80,56,2017,54888.1127983281,130605.945595565,62139.0313214131,109215,1201476.74576041,156920006491.121,0.7422186,35049.23,0.2571207,0.0292876,12081.74,0.0678258
16860,2007-2017,3,19,62,18,9,2017,45797.8365307495,110588.733724219,50414.4777073725,18378,253715.507847776,28058076739.0828,0.7171268,31981.91,0.263695,0.0609592,12784.84,0.0778192
16980,2007-2017,3,57,72,28,66,2017,60392.0122112446,142254.919020119,69244.8138060564,396065,4640356.7929509,660113579805.688,0.7416949,37927.94,0.2554511,0.0832655,18472.7,0.0652158
17140,2007-2017,3,20,45,38,14,2017,52085.6249509314,122749.245675875,60590.3343757933,83084,1075618.07231718,132031307012.272,0.7512118,35138.34,0.260336,0.034326,9060.615,0.0580142
17460,2007-2017,3,42,81,57,98,2017,51110.2972602772,119913.836505268,61075.8468357964,75415,1048633.28926411,125745640802.798,0.73359510000000006,33986.53,0.2743938,0.1331623,14768.21,0.1189853
17820,2007-2017,3,76,26,71,73,2017,49324.3239658828,108399.952961827,49705.9901943458,27460,331928.859623892,35981072769.9027,0.7583974,34666.4,0.2928631,0.0262204,6989.215,0.0570745
17900,2007-2017,3,66,39,94,58,2017,44120.5104034899,105653.445209041,51127.999308649,30366,399251.40699532,42182286653.6126,0.7275138,30078.15,0.2664193,0.0311881,11074.49,0.0644139
18140,2007-2017,3,27,20,62,62,2017,51226.3230896134,119994.397896313,61512.6718259991,84828,1065615.82026513,127867928741.5,0.7486285,35185.6,0.2610626,0.0745116,13722.09,0.0848934
19100,2007-2017,3,52,8,43,51,2017,59334.8910403596,139252.050394404,67340.5756195594,393114,3578385.35992003,498297498470.18,0.7543881,36923.83,0.242471,0.0351742,19484.04,0.0675401
19380,2007-2017,3,75,93,60,63,2017,46510.2286511654,106067.442571871,51562.2732990861,23482,390562.404074074,41425955364.8585,0.7222543,29994.39,0.2769731,0.0547968,13155.76,0.1047398
19660,2007-2017,3,88,76,29,5,2017,37973.9487728796,90682.1519557058,28034.9807073767,24598,200705.04672276,18200365545.1903,0.6653516,29084.89,0.2127566,0.0385636,5974.244,0.0275917
19740,2007-2017,3,24,6,11,20,2017,62105.8851939053,138884.504785457,72098.1265900957,159038,1499344.76987628,208235755866.932,0.7981136,40003.36,0.2401622,0.0478826,16798.4,0.0717043
19780,2007-2017,3,43,23,36,1,2017,53800.981993906,128505.348738597,74302.1480425413,26408,373467.52656912,47992574744.3059,0.806437,39777.94,0.2498385,0.0389404,10845.5,0.0747137
19820,2007-2017,3,65,74,30,41,2017,58196.1110752622,130784.440436083,58897.9104382904,182344,1942332.01341956,254026805516.167,0.7104578,35087.04,0.2720076,0.1086606,10017.37,0.0675169
20500,2007-2017,3,77,31,3,60,2017,58898.0194350016,138316.135270012,77339.8082597575,23191,317278.76603513,43884772721.2177,0.7318783,35129.74,0.2651098,0.0563467,17763.9,0.0795069
21340,2007-2017,3,48,24,1,2,2017,39802.6931073894,94508.2851769163,37800.2773870346,29787,337900.05481297,31934354741.5598,0.7045541,25075.81,0.233943,0.0137123,16872.97,0.0393721
23420,2007-2017,3,62,51,74,18,2017,42254.3552342043,100960.798175726,40540.7970957366,45592,397235.23343326,40105186230.9429,0.6677752,27944.24,0.2791285,0.0671407,16352.8,0.099727
24340,2007-2017,3,61,28,9,28,2017,46219.688032287,105079.638355868,56604.9674747629,45123,570529.72255258,59951056917.0986,0.8002883,30526.61,0.2731711,0.054689,9532.824,0.0470234
24660,2007-2017,3,69,90,65,17,2017,44324.5808090471,111444.847459262,53145.1485317358,25333,362988.847508345,40453236739.9807,0.7096683,30082.1,0.2464004,0.0496954,10165.54,0.0878629
24860,2007-2017,3,22,53,31,8,2017,43935.4225584719,101635.182015638,46330.0308782622,32868,408403.265791944,41508140254.5453,0.7144489,30006.41,0.2668028,0.0164316,6803.912,0.0253628
25420,2007-2017,3,49,83,75,16,2017,50599.4089743893,115240.376155919,67704.6266039273,21260,335997.506779026,38720479068.6658,0.7442368,35242.96,0.2635345,0.0745898,12249.46,0.0739589
25540,2007-2017,3,86,71,92,80,2017,63038.5424550653,156072.920095039,81945.7122662343,50482,635443.58445545,99175535781.6205,0.7417175,40985.78,0.2875968,0.1089457,19893.9,0.1100671
26420,2007-2017,3,74,9,59,39,2017,63783.3126490333,163034.878981123,71128.2531228975,331756,3007002.5221036,490246292287.093,0.7152673,36006.46,0.2507977,0.0216113,20569.83,0.0778408
26900,2007-2017,3,60,38,63,40,2017,50013.9231984155,119801.457761401,61433.0399829069,79126,1040253.8274625,124623924971.885,0.7517029,36021.33,0.2549747,0.0513009,11910.53,0.0569274
27140,2007-2017,3,55,75,70,76,2017,41729.6159946775,107058.024953767,50709.8765595571,22169,274118.32252498,29346566213.1641,0.6871545,31134.76,0.2581933,0.1100607,15035.26,0.095839
27260,2007-2017,3,95,35,76,46,2017,49283.3200463015,116367.133735338,53343.1283584032,74477,689888.44822299,80280341316.8297,0.7284275,32149.23,0.2283138,0.0200751,10866.21,0.0502824
28140,2007-2017,3,54,41,40,7,2017,51723.0809368758,116200.454690961,59058.4970227273,87595,1082012.48736963,125730343013.648,0.7743863,36029.08,0.2415131,0.0618871,11942.64,0.0570744
28940,2007-2017,3,15,44,19,15,2017,47284.3322622148,112633.405111165,50600.2553863435,28276,394036.6213432,44381686400.3834,0.7079064,29995.79,0.2493392,0.0318922,6613.449,0.0761244
29460,2007-2017,3,85,54,87,30,2017,41002.9487414532,99991.8840746554,32507.229516759,21955,223174.71709696,22315660440.3532,0.6601673,28000.92,0.2009964,0.0209208,5960.662,0.024042
29820,2007-2017,3,99,77,100,38,2017,47330.0292872924,111141.726681046,49987.2613023624,117969,991309.71053052,110175872904.05,0.7211272,31912.69,0.2239519,0.0115309,10900.45,0.0405476
30780,2007-2017,3,93,82,16,4,2017,45244.4931178386,104616.800280459,50070.8463186239,28378,353380.230088948,36969508954.2781,0.7278932,32938.48,0.2429504,0.0247905,9241.295,0.0619421
31080,2007-2017,3,34,59,46,22,2017,61577.9905031405,154341.577517052,71519.2516109302,833433,6187972.48341228,955061434721.962,0.721769,35005.88,0.2500715,0.0253929,20596.15,0.0760238
31140,2007-2017,3,31,13,32,34,2017,48990.869442713,115331.339295258,58974.7597472229,56492,661663.75735772,76310567299.1983,0.7473034,33464.43,0.2563787,0.0631454,9968.078,0.1153235
31540,2007-2017,3,10,25,51,48,2017,51481.5992719258,122098.245791033,74039.9155802669,25884,396722.60363986,48439133970.078,0.8166739,38644.18,0.2994731,0.1308448,9783.146,0.0691073
32580,2007-2017,3,53,12,5,93,2017,33246.1903166169,75756.0186611588,23159.4515972572,29552,263113.57332941,19932436771.147,0.6566091,20983.13,0.2370651,0.072202,24827.4,0.0383202
32820,2007-2017,3,63,80,53,13,2017,50078.2387822353,118159.198809877,55879.4495660782,49795,637614.56941821,75340026671.9605,0.7081569,30132.85,0.2295251,0.0670074,14158.83,0.0392297
33100,2007-2017,3,78,40,68,33,2017,52199.2830259935,128684.245321158,54117.8507210195,368891,2590078.6612783,333302317849.032,0.724694,29999.11,0.205865,0.0170305,12804.77,0.0137783
33340,2007-2017,3,56,66,37,25,2017,51011.7406219941,114729.538106346,62501.8140389026,70513,858694.37792127,98517609353.4237,0.7580451,36969.56,0.2741664,0.1427768,15631.07,0.1254478
33460,2007-2017,3,35,27,48,44,2017,59670.274683457,131197.848090259,71924.6112933286,157089,1973912.33038822,258973050065.762,0.8171431,39993.64,0.259133,0.0745908,17478.72,0.138703
34980,2007-2017,3,11,NA,35,24,2017,52968.1899124958,131529.94534777,67007.1711145045,NA,969495.28578029,127517661953.602,0.7693813,34492.7,0.2523152,0.0055096,9187.279,0.0385312
35300,2007-2017,3,79,68,66,99,2017,54435.9538394948,138836.294468099,62157.1607861568,31648,385217.6899847,53482196641.0368,0.7323822,40295.42,0.2645318,0.0609544,19902.78,0.0855572
35380,2007-2017,3,98,49,23,29,2017,49687.7814018593,127962.725858736,57409.7577416524,59525,572363.450876003,73241187356.006,0.690946,32034.37,0.252048,0.102918,12875.76,0.077484
