cbsa_code,year,cbsa_name,top100,keep,largest,large,midsized,Employment at firms 0-5 years old,Jobs,Real GDP,Average Annual Wage,Output per Job,Output per Person,Median Earnings,Employment Rate,Relative Income Poverty Rate
10420,2008,"Akron, OH Metropolitan Statistical Area",1,1,0,1,0,34322,325509.1708,34102910699,46324.63968,104767.8952,48489.84885,32435.43164,0.753892779,0.276305854
10420,2009,"Akron, OH Metropolitan Statistical Area",1,1,0,1,0,30824,304930.4331,32479722383,46453.07976,106515.1879,46177.88359,31573.74219,0.708555043,0.27868852
10420,2010,"Akron, OH Metropolitan Statistical Area",1,1,0,1,0,28264,302279.9354,33113169684,46767.48496,109544.716,47100.31461,31523.61328,0.691078544,0.288966894
10420,2011,"Akron, OH Metropolitan Statistical Area",1,1,0,1,0,25921,304891.0942,33379652007,46588.04552,109480.574,47473.41789,31146.6543,0.701231062,0.274204403
10420,2012,"Akron, OH Metropolitan Statistical Area",1,1,0,1,0,23693,307638.2728,33413651169,46980.71732,108613.4403,47592.37006,32361.78711,0.7091555,0.292470932
10420,2013,"Akron, OH Metropolitan Statistical Area",1,1,0,1,0,22274,308708.3942,33874786590,46611.56157,109730.6948,48143.23907,32002.29102,0.714655697,0.280422419
10420,2014,"Akron, OH Metropolitan Statistical Area",1,1,0,1,0,22504,313702.6285,35202962809,47226.98152,112217.6214,49938.87657,30131.65039,0.721811593,0.290692329
10420,2015,"Akron, OH Metropolitan Statistical Area",1,1,0,1,0,24120,318356.9853,35694094346,48215.86289,112119.7146,50669.59427,31462.85742,0.718160033,0.281098217
10420,2016,"Akron, OH Metropolitan Statistical Area",1,1,0,1,0,26219,320541.6031,35767327083,48165.39322,111584.0401,50828.24409,31120.39648,0.729654849,0.289795607
10420,2017,"Akron, OH Metropolitan Statistical Area",1,1,0,1,0,27582,321064.4646,36118021678,48186.3728,112494.6098,51277.27687,31906.89453,0.747842789,0.28353852
10420,2018,"Akron, OH Metropolitan Statistical Area",1,1,0,1,0,27456,321489.7455,36540009988,48242.60506,113658.3997,51841.19911,33885.98047,0.758657217,0.285668492
10580,2008,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",1,1,0,1,0,34514,429622.2058,50566635136,50432.87638,117700.2363,58372.02566,36971.97266,0.753915131,0.282013208
10580,2009,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",1,1,0,1,0,32863,420248.1153,54886976086,51841.14893,130606.1207,63134.84972,36268.41016,0.728390753,0.289470077
10580,2010,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",1,1,0,1,0,30773,413657.337,55569841594,51919.62555,134337.8604,63794.18836,36054.47656,0.727228224,0.291451931
10580,2011,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",1,1,0,1,0,29238,414352.3727,54997297969,51617.01457,132730.7422,63019.63441,37951.375,0.731629491,0.288201451
10580,2012,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",1,1,0,1,0,28376,419394.7975,56877559566,51430.72789,135618.181,65027.15248,37913.70703,0.726227522,0.286034912
10580,2013,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",1,1,0,1,0,28578,423108.0153,58457299119,52251.73573,138161.6443,66648.76566,36375.10938,0.720766068,0.283350557
10580,2014,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",1,1,0,1,0,29398,427102.9889,59288976983,52845.67883,138816.5818,67513.16009,36040.57813,0.739646733,0.289391518
10580,2015,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",1,1,0,1,0,28191,434136.8202,61748765705,54569.68096,142233.4223,70238.41237,36545.14844,0.734976113,0.28642159700000003
10580,2016,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",1,1,0,1,0,29436,440190.2448,62763026279,54875.42679,142581.5929,71338.64477,37009.07813,0.744861007,0.291756213
