cbsa_code,cbsa_name,year,topmetro,metrosize,Employment at firms 0-5 years old,Jobs,Real GDP,Average Annual Wage,Output per Job,Output per Person,Employment-to-Population Ratio,Median Earnings,Relative Income Poverty Rate
10420,"Akron, OH Metropolitan Statistical Area",2009,1,Large,25545,317661.16,32962392064,46190.172,103765.89,46864.117,0.708555043,32043.96875,0.27868852
10420,"Akron, OH Metropolitan Statistical Area",2010,1,Large,22662,315289.94,33596037120,46451.957,106556.01,47787.418,0.691078544,31993.09375,0.288966894
10420,"Akron, OH Metropolitan Statistical Area",2011,1,Large,23004,317587.94,33870467072,46279.469,106649.1,48166.191,0.701231062,31610.51953,0.274204403
10420,"Akron, OH Metropolitan Statistical Area",2012,1,Large,23032,320867.59,33917108224,46623.633,105704.37,48307.469,0.7091555,32843.75,0.292470932
10420,"Akron, OH Metropolitan Statistical Area",2013,1,Large,22368,322662.47,34380058624,46157.922,106551.16,48861.617,0.714655697,32478.90039,0.280422419
10420,"Akron, OH Metropolitan Statistical Area",2014,1,Large,23259,328220.34,35721670656,46776.531,108834.41,50675.648,0.721811593,30580.40039,0.290692329
10420,"Akron, OH Metropolitan Statistical Area",2015,1,Large,25932,332944.81,36278788096,48167.531,108963.37,51504.426,0.718160033,31931.43359,0.281098217
10420,"Akron, OH Metropolitan Statistical Area",2016,1,Large,26270,334724.19,36366725120,48231.621,108646.84,51692.23,0.729654849,31583.87109,0.289795607
10420,"Akron, OH Metropolitan Statistical Area",2017,1,Large,25388,335304.88,36740657152,48236.031,109573.88,52189.395,0.747842789,32382.08203,0.28353852
10420,"Akron, OH Metropolitan Statistical Area",2018,1,Large,25270,334924.91,37175988224,48442.191,110997.98,52817.68,0.758657217,34390.64453,0.285668492
10420,"Akron, OH Metropolitan Statistical Area",2019,1,Large,25701,335980.69,37439037440,48810.203,111432.11,53219.836,0.757998466,34024.23828,0.278047353
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2009,1,Large,29331,435929.78,55907078144,51730.898,128247.91,64308.246,0.728390753,36808.55469,0.289470077
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2010,1,Large,27772,430163.94,56606457856,52061.613,131592.75,64984.074,0.727228224,36591.43359,0.291451931
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2011,1,Large,27763,430508.22,56028651520,51650.57,130145.37,64195.766,0.731629491,38516.58203,0.288201451
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2012,1,Large,27001,436096.34,57925099520,51550.617,132826.38,66222.969,0.726227522,38478.35547,0.286034912
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2013,1,Large,29293,439059.16,59521904640,52324.48,135566.94,67864.875,0.720766068,36916.84375,0.283350557
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2014,1,Large,28015,442722.72,60343365632,53041.383,136300.59,68719.367,0.739646733,36577.32813,0.289391518
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2015,1,Large,28728,448946.59,62921977856,54809.172,140154.7,71576.672,0.734976113,37089.41406,0.28642159700000003
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2016,1,Large,26280,454526.38,63932088320,55163.363,140656.5,72667.273,0.744861007,37560.25391,0.291756213
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2017,1,Large,28581,458551.22,64675926016,55572.832,141044.06,73315.578,0.739236116,39575.00391,0.268871188
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2018,1,Large,30598,460052.53,66424393728,55966.441,144384.38,75288.656,0.751541018,40934.51953,0.276270419
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",2019,1,Large,33882,460417.03,66675867648,57188.84,144816.25,75735.242,0.76631242,40189.95703,0.277806878
10740,"Albuquerque, NM Metropolitan Statistical Area",2009,1,Large,36008,383362.81,42707554304,46581.523,111402.44,48727.996,0.713692069,32509.61719,0.247707114
10740,"Albuquerque, NM Metropolitan Statistical Area",2010,1,Large,35014,376533.19,42157346816,46221.973,111961.84,47391.34,0.685850441,33321.37891,0.263667524
10740,"Albuquerque, NM Metropolitan Statistical Area",2011,1,Large,34107,374411.22,41867100160,45921.063,111821.17,46621.777,0.660324454,32929.11328,0.279167801
10740,"Albuquerque, NM Metropolitan Statistical Area",2012,1,Large,30833,373154.47,42285568000,45689.734,113319.21,46882.957,0.665661335,32885.86328,0.263096392
10740,"Albuquerque, NM Metropolitan Statistical Area",2013,1,Large,33828,375218.47,40992604160,45038.836,109249.97,45298.051,0.66625607,30508.89258,0.273332655
10740,"Albuquerque, NM Metropolitan Statistical Area",2014,1,Large,33687,377629.31,41411104768,45381.25,109660.73,45781.5,0.668383002,29788.03711,0.260665894
10740,"Albuquerque, NM Metropolitan Statistical Area",2015,1,Large,33428,382102.78,41970200576,46134.496,109840.08,46323.395,0.678815544,29423.47852,0.245035738
10740,"Albuquerque, NM Metropolitan Statistical Area",2016,1,Large,33292,388394.47,43661553664,46269.996,112415.48,48019.992,0.692990541,31677.55078,0.255642295
10740,"Albuquerque, NM Metropolitan Statistical Area",2017,1,Large,30506,391980.59,43405410304,46179.301,110733.57,47577.426,0.692522407,31195.95508,0.255505502
10740,"Albuquerque, NM Metropolitan Statistical Area",2018,1,Large,30682,396338.44,43969613824,46560.117,110939.56,48057.008,0.707226574,30518.13477,0.244653404
