cbsa_code,age_017,age_1834,age_35plus,female,male,total,race
10100,8859,8532,21649,19821,19219,39040,white non-hispanic
10100,301,173,157,336,295,631,black
10100,271,370,351,523,469,992,asian
10100,385,386,249,539,481,1020,latino
10140,12359,11591,38930,30817,32063,62880,white non-hispanic
10140,51,224,442,25,692,717,black
10140,255,195,694,556,588,1144,asian
10140,3007,1844,2127,3180,3798,6978,latino
10180,29338,34422,68130,67462,64428,131890,white non-hispanic
10180,3389,4991,5149,5400,8129,13529,black
10180,471,965,1328,1651,1113,2764,asian
10180,12857,11934,14101,18472,20420,38892,latino
10220,5143,6375,15295,13822,12991,26813,white non-hispanic
10220,154,355,320,402,427,829,black
10220,0,203,95,155,143,298,asian
10220,757,607,580,896,1048,1944,latino
10260,3051,3256,8089,7174,7222,14396,white non-hispanic
10260,24,11,85,51,69,120,black
10260,0,0,0,0,0,0,asian
10260,4129,4072,10258,9189,9270,18459,latino
10300,19140,18360,53853,45936,45417,91353,white non-hispanic
10300,562,963,1124,594,2055,2649,black
10300,17,61,190,189,79,268,asian
10300,2601,2061,2998,3758,3902,7660,latino
10380,43764,47208,129128,113740,106360,220100,white non-hispanic
10380,1308,2111,5897,4451,4865,9316,black
10380,340,357,361,827,231,1058,asian
10380,64358,66008,176969,157514,149821,307335,latino
10420,109391,128133,338367,294268,281623,575891,white non-hispanic
10420,22320,21928,40782,44942,40088,85030,black
10420,4298,6445,8439,9823,9359,19182,asian
10420,4590,4049,4679,6717,6601,13318,latino
10460,11169,12393,27330,24428,26464,50892,white non-hispanic
10460,376,810,1013,941,1258,2199,black
10460,215,141,520,471,405,876,asian
10460,7865,6507,10043,12139,12276,24415,latino
10500,13698,12833,39900,33836,32595,66431,white non-hispanic
10500,21971,21539,37734,43716,37528,81244,black
10500,384,364,859,858,749,1607,asian
10500,1630,1000,1427,1974,2083,4057,latino
10540,24525,22884,63601,56263,54747,111010,white non-hispanic
10540,144,75,246,209,256,465,black
10540,287,453,761,891,610,1501,asian
10540,4279,2834,3370,4996,5487,10483,latino
10580,133161,166383,435476,375128,359892,735020,white non-hispanic
10580,17996,20782,29882,35853,32807,68660,black
10580,9036,12920,15805,19258,18503,37761,asian
10580,14256,14203,14540,21615,21384,42999,latino
