cbsa_code,year_range,cbsa_name,st_name,cbsa_patents_invented,cbsa_inventors_per_patent,cbsa_patent_applications,cbsa_applicants_per_patent
"Aberdeen, SD",2008-2012,10100,South Dakota,3.26666665077209,10,3.08333349227905,5
"Aberdeen, WA",2008-2012,10140,Washington,9.16666698455811,19,9.5,10
"Abilene, TX",2008-2012,10180,Texas,10.1499996185303,17,5,5
"Ada, OK",2008-2012,10220,Oklahoma,4.25,5,3.25,4
"Adrian, MI",2008-2012,10300,Michigan,51.9726181030273,140,35.6136360168457,42
"Akron, OH",2008-2012,10420,Ohio,721.381896972656,1944,619.396850585938,724
"Alamogordo, NM",2008-2012,10460,New Mexico,5,7,3,4
"Albany, GA",2008-2012,10500,Georgia,2.21230173110962,7,0.5,1
"Albany, OR",2008-2012,10540,Oregon,26.7063503265381,69,58.3333320617676,61
"Albany-Schenectady-Troy, NY",2008-2012,10580,New York,1143.08764648438,4312,2466.51391601562,2603
"Albemarle, NC",2008-2012,10620,North Carolina,8.36904811859131,28,3,3
"Albert Lea, MN",2008-2012,10660,Minnesota,5.06666660308838,12,2,2
"Albertville, AL",2008-2012,10700,Alabama,6.38333320617676,17,14,14
"Albuquerque, NM",2008-2012,10740,New Mexico,376.211730957031,1122,346.795623779297,461
"Alexandria, LA",2008-2012,10780,Louisiana,9.06666660308838,15,4,4
"Alexandria, MN",2008-2012,10820,Minnesota,24.2063503265381,60,27.375,30
"Alice, TX",2008-2012,10860,Texas,1.25,2,2,2
"Allentown-Bethlehem-Easton, PA-NJ",2008-2012,10900,Pennsylvania,725.136779785156,2290,487.879974365234,540
"Alma, MI",2008-2012,10940,Michigan,4.44090938568115,15,0.25,1
"Alpena, MI",2008-2012,10980,Michigan,3.86666679382324,7,NA,NA
"Altoona, PA",2008-2012,11020,Pennsylvania,14.7178573608398,32,7,7
"Altus, OK",2008-2012,11060,Oklahoma,0.25,1,NA,NA
"Amarillo, TX",2008-2012,11100,Texas,18.7857151031494,40,11.1999998092651,15
"Americus, GA",2008-2012,11140,Georgia,0.333333343267441,1,NA,NA
"Ames, IA",2008-2012,11180,Iowa,125.780502319336,349,71.033332824707,97
"Amsterdam, NY",2008-2012,11220,New York,6.34166669845581,18,16.5,17
"Anchorage, AK",2008-2012,11260,Alaska,32.7463188171387,72,25.5595245361328,34
"Andrews, TX",2008-2012,11380,Texas,0.5,1,1,1
"Angola, IN",2008-2012,11420,Indiana,9.78333377838135,15,1,1
"Ann Arbor, MI",2008-2012,11460,Michigan,1187.78540039062,3375,761.442504882812,975
"Anniston-Oxford-Jacksonville, AL",2008-2012,11500,Alabama,9.33333301544189,13,1.5,2
"Appleton, WI",2008-2012,11540,Wisconsin,249.399368286133,899,39.283332824707,48
"Arcadia, FL",2008-2012,11580,Florida,1.66666674613953,3,3,3
"Ardmore, OK",2008-2012,11620,Oklahoma,9.14999961853027,27,5,5
"Arkansas City-Winfield, KS",2008-2012,11680,Kansas,1.08333337306976,3,1,1
"Asheville, NC",2008-2012,11700,North Carolina,149.077774047852,326,40.5833320617676,46
"Ashland, OH",2008-2012,11740,Ohio,13.1500005722046,28,7.83333349227905,12
"Ashtabula, OH",2008-2012,11780,Ohio,13.0174875259399,43,7.19999980926514,9
"Astoria, OR",2008-2012,11820,Oregon,3.66666674613953,6,4,4
"Atchison, KS",2008-2012,11860,Kansas,3.08333349227905,8,2.40000009536743,4
"Athens, OH",2008-2012,11900,Ohio,67.3666687011719,122,73.1333312988281,80
"Athens, TN",2008-2012,11940,Tennessee,2.90000009536743,6,3,3
"Athens, TX",2008-2012,11980,Texas,11.5166664123535,24,2.75,4
"Athens-Clarke County, GA",2008-2012,12020,Georgia,147.775405883789,399,132.930953979492,197
"Atlanta-Sandy Springs-Roswell, GA",2008-2012,12060,Georgia,3104.37060546875,8590,3355.18090820312,3837
"Atlantic City-Hammonton, NJ",2008-2012,12100,New Jersey,27.4194450378418,59,30.5,32
"Auburn, IN",2008-2012,12140,Indiana,11.4857149124146,29,14,14
"Auburn, NY",2008-2012,12180,New York,36.1492080688477,113,12.4583330154419,17
"Auburn-Opelika, AL",2008-2012,12220,Alabama,65.88134765625,218,69.1666641235352,94
"Augusta-Richmond County, GA-SC",2008-2012,12260,Georgia,95.8026351928711,243,71.4404754638672,96
"Augusta-Waterville, ME",2008-2012,12300,Maine,9.89166641235352,24,5.83333349227905,7
"Austin, MN",2008-2012,12380,Minnesota,12.2630958557129,35,13,14
"Austin-Round Rock, TX",2008-2012,12420,Texas,2294.58129882812,6563,2544.26953125,2867
"Bainbridge, GA",2008-2012,12460,Georgia,4.27777767181396,9,4,4
"Bakersfield, CA",2008-2012,12540,California,95.8040390014648,221,53.8095245361328,65
"Baltimore-Columbia-Towson, MD",2008-2012,12580,Maryland,1739.22827148438,5030,1652.58508300781,2048
"Bangor, ME",2008-2012,12620,Maine,45.1916656494141,142,52,69
"Baraboo, WI",2008-2012,12660,Wisconsin,23.5345249176025,66,5,6
"Bardstown, KY",2008-2012,12680,Kentucky,2.27261900901794,9,NA,NA
"Barnstable Town, MA",2008-2012,12700,Massachusetts,94.3172988891602,229,56.8011894226074,68
"Barre, VT",2008-2012,12740,Vermont,31.5038967132568,75,33.3095245361328,36
"Bartlesville, OK",2008-2012,12780,Oklahoma,157.090087890625,568,25.3603172302246,107
"Bastrop, LA",2008-2012,12820,Louisiana,1,2,NA,NA
"Batavia, NY",2008-2012,12860,New York,15.9452381134033,39,9.59090900421143,11
"Batesville, AR",2008-2012,12900,Arkansas,10.25,17,0.25,1
"Baton Rouge, LA",2008-2012,12940,Louisiana,237.867462158203,677,210.080947875977,270
"Battle Creek, MI",2008-2012,12980,Michigan,82.7883529663086,171,32.283332824707,37
"Bay City, MI",2008-2012,13020,Michigan,60.5893936157227,192,49,55
"Bay City, TX",2008-2012,13060,Texas,2.8901515007019,10,1,1
"Beatrice, NE",2008-2012,13100,Nebraska,2.33333325386047,5,1,1
"Beaumont-Port Arthur, TX",2008-2012,13140,Texas,81.061653137207,212,62.033332824707,67
"Beaver Dam, WI",2008-2012,13180,Wisconsin,28.695671081543,69,9.61666679382324,15
"Beckley, WV",2008-2012,13220,West Virginia,13.7790040969849,35,9.36666679382324,14
"Bedford, IN",2008-2012,13260,Indiana,9.81071472167969,23,1,1
"Beeville, TX",2008-2012,13300,Texas,0.833333373069763,2,NA,NA
"Bellefontaine, OH",2008-2012,13340,Ohio,2.33730149269104,8,1,1
"Bellingham, WA",2008-2012,13380,Washington,80.1484146118164,192,71.5666656494141,137
"Bemidji, MN",2008-2012,13420,Minnesota,5.58333349227905,24,4.33333349227905,5
"Bend-Redmond, OR",2008-2012,13460,Oregon,91.8851165771484,246,63.5095252990723,70
"Bennettsville, SC",2008-2012,13500,South Carolina,0.5,1,2,2
"Bennington, VT",2008-2012,13540,Vermont,28.9373016357422,64,13.5,14
"Berlin, NH-VT",2008-2012,13620,New Hampshire,3.2261905670166,8,5.33333349227905,9
"Big Rapids, MI",2008-2012,13660,Michigan,1.55952382087708,5,3.25,4
"Big Spring, TX",2008-2012,13700,Texas,3.45000004768372,7,1,1
"Big Stone Gap, VA",2008-2012,13720,Virginia,1.41666674613953,4,NA,NA
"Billings, MT",2008-2012,13740,Montana,17.0107135772705,37,19,21
"Binghamton, NY",2008-2012,13780,New York,112.062805175781,331,39.9136924743652,81
"Birmingham-Hoover, AL",2008-2012,13820,Alabama,305.0703125,800,239.101379394531,313
"Bismarck, ND",2008-2012,13900,North Dakota,13.3000001907349,35,2.33333325386047,4
"Blackfoot, ID",2008-2012,13940,Idaho,8.08333301544189,15,2,2
"Blacksburg-Christiansburg-Radford, VA",2008-2012,13980,Virginia,240.823455810547,708,142.116668701172,167
"Bloomington, IL",2008-2012,14010,Illinois,28.460765838623,72,11.3333330154419,13
"Bloomington, IN",2008-2012,14020,Indiana,211.269485473633,550,450.966674804688,483
"Bloomsburg-Berwick, PA",2008-2012,14100,Pennsylvania,6.92619037628174,11,5.5,6
"Bluefield, WV-VA",2008-2012,14140,West Virginia,7.5,12,6,6
"Blytheville, AR",2008-2012,14180,Arkansas,4.4404764175415,20,0.75,6
"Bogalusa, LA",2008-2012,14220,Louisiana,0.833333373069763,2,NA,NA
"Boise City, ID",2008-2012,14260,Idaho,612.4052734375,1377,740.905517578125,802
"Boone, IA",2008-2012,14340,Iowa,3.23333334922791,8,2.33333325386047,3
"Boone, NC",2008-2012,14380,North Carolina,7.38035726547241,44,8.75,21
"Borger, TX",2008-2012,14420,Texas,0.900000035762787,3,NA,NA
"Boston-Cambridge-Newton, MA-NH",2008-2012,14460,Massachusetts,13938.892578125,45383,14861.478515625,17755
"Boulder, CO",2008-2012,14500,Colorado,1143.66003417969,3417,947.638732910156,1225
"Bowling Green, KY",2008-2012,14540,Kentucky,29.2785720825195,82,10,10
"Bozeman, MT",2008-2012,14580,Montana,90.5625915527344,215,56,73
"Bradford, PA",2008-2012,14620,Pennsylvania,5.4761905670166,11,3,3
"Brainerd, MN",2008-2012,14660,Minnesota,31.1595249176025,64,24,25
"Branson, MO",2008-2012,14700,Missouri,2.86858987808228,7,1,1
"Breckenridge, CO",2008-2012,14720,Colorado,14.2968254089355,27,10,11
"Bremerton-Silverdale, WA",2008-2012,14740,Washington,100.799026489258,253,44.9345245361328,68
"Brenham, TX",2008-2012,14780,Texas,2.3575758934021,8,1,1
"Brevard, NC",2008-2012,14820,North Carolina,6.54285717010498,31,2,2
"Bridgeport-Stamford-Norwalk, CT",2008-2012,14860,Connecticut,1069.05859375,3281,1087.19909667969,1232
"Brookhaven, MS",2008-2012,15020,Mississippi,0.583333373069763,2,NA,NA
"Brookings, OR",2008-2012,15060,Oregon,NA,NA,1.25,3
"Brookings, SD",2008-2012,15100,South Dakota,30.1166667938232,79,25.4166660308838,38
"Brownsville-Harlingen, TX",2008-2012,15180,Texas,13.5440483093262,27,7.125,8
"Brownwood, TX",2008-2012,15220,Texas,0.5,1,NA,NA
"Brunswick, GA",2008-2012,15260,Georgia,15.2944450378418,32,12.6666669845581,15
"Bucyrus, OH",2008-2012,15340,Ohio,1,3,NA,NA
"Buffalo-Cheektowaga-Niagara Falls, NY",2008-2012,15380,New York,677.804260253906,1859,451.504364013672,535
"Burley, ID",2008-2012,15420,Idaho,3.58730149269104,7,2,3
"Burlington, IA-IL",2008-2012,15460,Iowa,3.58333325386047,10,4,6
"Burlington, NC",2008-2012,15500,North Carolina,64.6133499145508,174,75.2916641235352,78
"Burlington-South Burlington, VT",2008-2012,15540,Vermont,303.403869628906,904,105.297622680664,135
"Butte-Silver Bow, MT",2008-2012,15580,Montana,11.6000003814697,30,10.6666669845581,23
"Cadillac, MI",2008-2012,15620,Michigan,6.08333349227905,15,2,2
"Calhoun, GA",2008-2012,15660,Georgia,8.7261905670166,21,6.4761905670166,10
"California-Lexington Park, MD",2008-2012,15680,Maryland,7.96709966659546,18,2.75757575035095,5
"Cambridge, MD",2008-2012,15700,Maryland,3.50952386856079,8,7.125,8
"Cambridge, OH",2008-2012,15740,Ohio,4.19696950912476,10,4.16666650772095,6
"Ca�on City, CO",2008-2012,15860,Colorado,4.08333349227905,11,4,5
"Canton, IL",2008-2012,15900,Illinois,25.5690479278564,95,NA,NA
"Canton-Massillon, OH",2008-2012,15940,Ohio,181.396881103516,481,123.816665649414,136
"Cape Coral-Fort Myers, FL",2008-2012,15980,Florida,93.7857131958008,198,91.9499969482422,111
"Cape Girardeau, MO-IL",2008-2012,16020,Missouri,7,11,4,4
"Carbondale-Marion, IL",2008-2012,16060,Illinois,18.7373008728027,39,15.4761905670166,18
"Carlsbad-Artesia, NM",2008-2012,16100,New Mexico,1.62467539310455,8,1,1
"Carson City, NV",2008-2012,16180,Nevada,35.4258651733398,71,108.916664123535,124
"Casper, WY",2008-2012,16220,Wyoming,17.1083335876465,33,10,10
"Cedar City, UT",2008-2012,16260,Utah,11.2666664123535,23,12,15
"Cedar Rapids, IA",2008-2012,16300,Iowa,94.6012268066406,235,43.1111106872559,49
"Celina, OH",2008-2012,16380,Ohio,11.2989177703857,43,1,1
"Centralia, IL",2008-2012,16460,Illinois,1.33333337306976,4,0.5,1
"Centralia, WA",2008-2012,16500,Washington,7.08333349227905,14,3,3
"Chambersburg-Waynesboro, PA",2008-2012,16540,Pennsylvania,31.9859657287598,65,7.04453802108765,11
"Champaign-Urbana, IL",2008-2012,16580,Illinois,227.998153686523,760,178.329544067383,241
"Charleston, WV",2008-2012,16620,West Virginia,85.6545104980469,318,18.2055549621582,28
"Charleston-Mattoon, IL",2008-2012,16660,Illinois,4.91666650772095,12,NA,NA
"Charleston-North Charleston, SC",2008-2012,16700,South Carolina,194.38117980957,480,153.969055175781,210
"Charlotte-Concord-Gastonia, NC-SC",2008-2012,16740,North Carolina,1002.14849853516,2949,1037.927734375,1135
"Charlottesville, VA",2008-2012,16820,Virginia,261.399475097656,711,292.302459716797,398
"Chattanooga, TN-GA",2008-2012,16860,Tennessee,91.2194442749023,209,44.7000007629395,63
"Cheyenne, WY",2008-2012,16940,Wyoming,18.2000007629395,32,35,38
"Chicago-Naperville-Elgin, IL-IN-WI",2008-2012,16980,Illinois,9451.236328125,28034,11026.548828125,12400
"Chico, CA",2008-2012,17020,California,15.5507936477661,39,12.1666669845581,15
"Chillicothe, OH",2008-2012,17060,Ohio,3.3511905670166,9,1.5,2
"Cincinnati, OH-KY-IN",2008-2012,17140,Ohio,3298.87622070312,12125,3721.47387695312,3911
"Claremont-Lebanon, NH-VT",2008-2012,17200,New Hampshire,428.732452392578,1188,387.532531738281,469
"Clarksburg, WV",2008-2012,17220,West Virginia,3.36666679382324,9,NA,NA
"Clarksdale, MS",2008-2012,17260,Mississippi,0.583333373069763,2,NA,NA
"Clarksville, TN-KY",2008-2012,17300,Tennessee,14.6333332061768,30,11,11
"Clearlake, CA",2008-2012,17340,California,3.14285707473755,9,2.08333325386047,4
"Cleveland, MS",2008-2012,17380,Mississippi,0.583333373069763,2,NA,NA
"Cleveland, TN",2008-2012,17420,Tennessee,6.96666669845581,21,NA,NA
"Cleveland-Elyria, OH",2008-2012,17460,Ohio,2298.44311523438,6385,3213.14013671875,3481
"Clewiston, FL",2008-2012,17500,Florida,0.333333373069763,1,NA,NA
"Clinton, IA",2008-2012,17540,Iowa,2.79999995231628,11,2,2
"Coeur d'Alene, ID",2008-2012,17660,Idaho,44.3504333496094,111,26.2666664123535,44
"Coffeyville, KS",2008-2012,17700,Kansas,1.14285719394684,3,0.625,2
"Coldwater, MI",2008-2012,17740,Michigan,4.83730173110962,11,NA,NA
"College Station-Bryan, TX",2008-2012,17780,Texas,154.602554321289,469,153.078567504883,213
"Colorado Springs, CO",2008-2012,17820,Colorado,246.39680480957,557,159.884918212891,189
"Columbia, MO",2008-2012,17860,Missouri,123.504638671875,355,145.800003051758,185
"Columbia, SC",2008-2012,17900,South Carolina,165.485229492188,487,107.226188659668,121
"Columbus, GA-AL",2008-2012,17980,Georgia,40.3440475463867,93,37.25,40
"Columbus, IN",2008-2012,18020,Indiana,187.790435791016,632,164.247619628906,189
"Columbus, MS",2008-2012,18060,Mississippi,11.4833335876465,22,3.79523825645447,8
"Columbus, NE",2008-2012,18100,Nebraska,15.6666669845581,48,15,15
"Columbus, OH",2008-2012,18140,Ohio,1301.53747558594,3853,858.930541992188,1057
"Concord, NH",2008-2012,18180,New Hampshire,213.528427124023,593,229.050003051758,250
"Connersville, IN",2008-2012,18220,Indiana,10.2575759887695,21,6,8
"Cookeville, TN",2008-2012,18260,Tennessee,54.7845230102539,179,6.91666698455811,13
"Coos Bay, OR",2008-2012,18300,Oregon,3.58333349227905,5,4,4
"Corinth, MS",2008-2012,18420,Mississippi,3.02857160568237,11,1,1
"Cornelia, GA",2008-2012,18460,Georgia,6.21904754638672,18,1.33333337306976,2
"Corning, NY",2008-2012,18500,New York,825.726928710938,2624,1357.69641113281,2247
"Corpus Christi, TX",2008-2012,18580,Texas,34.1972236633301,73,27.5,31
"Corsicana, TX",2008-2012,18620,Texas,2.58333325386047,5,2,2
"Cortland, NY",2008-2012,18660,New York,35.9023818969727,81,8.625,10
"Corvallis, OR",2008-2012,18700,Oregon,491.135406494141,1468,56.5142860412598,74
"Coshocton, OH",2008-2012,18740,Ohio,3,3,3,3
"Crawfordsville, IN",2008-2012,18820,Indiana,39.4841995239258,113,14.25,16
"Crescent City, CA",2008-2012,18860,California,10,20,10,19
"Crestview-Fort Walton Beach-Destin, FL",2008-2012,18880,Florida,11.3547620773315,27,9.5,10
"Crossville, TN",2008-2012,18900,Tennessee,2.60000014305115,5,2,2
"Cullman, AL",2008-2012,18980,Alabama,9.6801586151123,18,6,9
"Cullowhee, NC",2008-2012,19000,North Carolina,2,7,1.66666674613953,3
"Cumberland, MD-WV",2008-2012,19060,Maryland,2.5,4,2,2
"Dallas-Fort Worth-Arlington, TX",2008-2012,19100,Texas,4097.43896484375,10678,3920.91870117188,4372
"Dalton, GA",2008-2012,19140,Georgia,19.3261909484863,52,38,43
"Danville, IL",2008-2012,19180,Illinois,2,4,0.5,1
"Danville, KY",2008-2012,19220,Kentucky,3.41666674613953,8,1.25,2
"Danville, VA",2008-2012,19260,Virginia,9.16904735565186,29,0.416666686534882,3
"Daphne-Fairhope-Foley, AL",2008-2012,19300,Alabama,17.1805553436279,48,5,8
"Davenport-Moline-Rock Island, IA-IL",2008-2012,19340,Iowa,86.4077911376953,214,208.888885498047,234
"Dayton, OH",2008-2012,19380,Ohio,302.085418701172,814,252.749206542969,278
"Dayton, TN",2008-2012,19420,Tennessee,2.96666669845581,10,NA,NA
"Decatur, AL",2008-2012,19460,Alabama,28.3062267303467,80,19.2119045257568,29
"Decatur, IL",2008-2012,19500,Illinois,89.3896865844727,243,107.833335876465,117
"Decatur, IN",2008-2012,19540,Indiana,8.09404754638672,22,0.0909090936183929,1
"Defiance, OH",2008-2012,19580,Ohio,4.00952386856079,11,NA,NA
"Deltona-Daytona Beach-Ormond Beach, FL",2008-2012,19660,Florida,109.34765625,235,43.033332824707,47
"Denver-Aurora-Lakewood, CO",2008-2012,19740,Colorado,1721.36804199219,4570,1807.19995117188,2083
"DeRidder, LA",2008-2012,19760,Louisiana,3.53333330154419,6,2.70000004768372,4
"Des Moines-West Des Moines, IA",2008-2012,19780,Iowa,298.813781738281,1132,303.172241210938,644
"Detroit-Warren-Dearborn, MI",2008-2012,19820,Michigan,3117.88623046875,7963,3704.82446289062,4250
"Dickinson, ND",2008-2012,19860,North Dakota,5.30952405929565,18,5,6
"Dixon, IL",2008-2012,19940,Illinois,5.83333349227905,10,2.83333325386047,4
"Dodge City, KS",2008-2012,19980,Kansas,4.47380971908569,24,2,2
"Dothan, AL",2008-2012,20020,Alabama,3.97543287277222,12,2.5,3
"Douglas, GA",2008-2012,20060,Georgia,1,1,1,1
"Dover, DE",2008-2012,20100,Delaware,24.9464282989502,67,97.3095245361328,103
"Dublin, GA",2008-2012,20140,Georgia,4.58333349227905,11,1,1
"DuBois, PA",2008-2012,20180,Pennsylvania,2.66666674613953,8,NA,NA
"Dubuque, IA",2008-2012,20220,Iowa,39.100830078125,140,15,16
"Duluth, MN-WI",2008-2012,20260,Minnesota,53.9633712768555,155,29.466667175293,40
"Duncan, OK",2008-2012,20340,Oklahoma,284.048522949219,868,216.66667175293,221
"Dunn, NC",2008-2012,20380,North Carolina,9.98333358764648,27,3,3
"Durango, CO",2008-2012,20420,Colorado,19.5928573608398,49,15,16
"Durant, OK",2008-2012,20460,Oklahoma,2.26666665077209,6,1,2
"Durham-Chapel Hill, NC",2008-2012,20500,North Carolina,1586.23547363281,5150,1697.61804199219,1975
"Dyersburg, TN",2008-2012,20540,Tennessee,0.5,2,NA,NA
"Eagle Pass, TX",2008-2012,20580,Texas,0.200000002980232,1,NA,NA
"Easton, MD",2008-2012,20660,Maryland,7.04166650772095,16,1.25,2
"East Stroudsburg, PA",2008-2012,20700,Pennsylvania,17.5528869628906,51,7.25,9
"Eau Claire, WI",2008-2012,20740,Wisconsin,22.8470249176025,64,11.0833330154419,13
"Edwards, CO",2008-2012,20780,Colorado,16.8833332061768,38,15.4952383041382,24
"Effingham, IL",2008-2012,20820,Illinois,11.0714282989502,25,11.3333330154419,12
"El Campo, TX",2008-2012,20900,Texas,7.74563503265381,20,3.5,4
"El Centro, CA",2008-2012,20940,California,2.52083325386047,6,NA,NA
"El Dorado, AR",2008-2012,20980,Arkansas,0.666666686534882,2,NA,NA
"Elizabeth City, NC",2008-2012,21020,North Carolina,2.58333325386047,5,2,7
"Elizabethtown-Fort Knox, KY",2008-2012,21060,Kentucky,24.3511905670166,42,2,2
"Elk City, OK",2008-2012,21120,Oklahoma,2.5,3,NA,NA
"Elkhart-Goshen, IN",2008-2012,21140,Indiana,76.5829391479492,182,96.4464263916016,109
"Elkins, WV",2008-2012,21180,West Virginia,4.03333330154419,6,4,4
"Elko, NV",2008-2012,21220,Nevada,6.33333349227905,13,1.5,2
"Ellensburg, WA",2008-2012,21260,Washington,1.51666665077209,5,0.333333343267441,1
"Elmira, NY",2008-2012,21300,New York,302.27880859375,989,74.4878082275391,314
"El Paso, TX",2008-2012,21340,Texas,68.337890625,174,32.3333320617676,35
"Emporia, KS",2008-2012,21380,Kansas,0.333333343267441,1,7,7
"Enid, OK",2008-2012,21420,Oklahoma,1.83333337306976,3,3,3
"Enterprise, AL",2008-2012,21460,Alabama,1.5,9,3,3
"Erie, PA",2008-2012,21500,Pennsylvania,185.035720825195,560,39.783332824707,67
"Escanaba, MI",2008-2012,21540,Michigan,2,2,2,2
"Espa�ola, NM",2008-2012,21580,New Mexico,3.11666679382324,7,2,2
"Eugene, OR",2008-2012,21660,Oregon,169.860305786133,489,104.326927185059,120
"Eureka-Arcata-Fortuna, CA",2008-2012,21700,California,13.966667175293,36,5.30952405929565,12
"Evanston, WY",2008-2012,21740,Wyoming,3.33333349227905,8,3,7
"Evansville, IN-KY",2008-2012,21780,Indiana,181.790832519531,594,81.976188659668,95
"Fairbanks, AK",2008-2012,21820,Alaska,4.23333358764648,9,4,4
"Fairfield, IA",2008-2012,21840,Iowa,5.90000009536743,10,5.5,8
"Fairmont, WV",2008-2012,21900,West Virginia,2.76666665077209,10,1.20000004768372,2
"Fallon, NV",2008-2012,21980,Nevada,2.95000004768372,5,1.5,2
"Fargo, ND-MN",2008-2012,22020,North Dakota,120.444046020508,312,109.380950927734,130
"Faribault-Northfield, MN",2008-2012,22060,Minnesota,40.363094329834,112,46.4952392578125,57
"Farmington, MO",2008-2012,22100,Missouri,5.91666650772095,10,3,3
"Farmington, NM",2008-2012,22140,New Mexico,13.4499998092651,22,6.16666698455811,10
"Fayetteville, NC",2008-2012,22180,North Carolina,25.5166664123535,56,18.8333339691162,21
"Fayetteville-Springdale-Rogers, AR-MO",2008-2012,22220,Arkansas,180.039031982422,511,125.416664123535,172
"Fergus Falls, MN",2008-2012,22260,Minnesota,4.5944447517395,13,1.93333339691162,5
"Fernley, NV",2008-2012,22280,Nevada,4.84999990463257,10,1.33333337306976,2
"Findlay, OH",2008-2012,22300,Ohio,30.1666660308838,66,23.8333339691162,26
"Flagstaff, AZ",2008-2012,22380,Arizona,125.538803100586,385,42.9722213745117,56
"Flint, MI",2008-2012,22420,Michigan,110.214126586914,294,26.9357147216797,36
"Florence, SC",2008-2012,22500,South Carolina,56.7762908935547,148,67,69
"Florence-Muscle Shoals, AL",2008-2012,22520,Alabama,12.8325757980347,36,5.58333349227905,7
"Fond du Lac, WI",2008-2012,22540,Wisconsin,21.3555564880371,48,18.5,22
"Forest City, NC",2008-2012,22580,North Carolina,3.11904764175415,9,2,4
"Fort Collins, CO",2008-2012,22660,Colorado,738.367553710938,1865,425.201599121094,514
"Fort Dodge, IA",2008-2012,22700,Iowa,2.45000004768372,5,NA,NA
"Fort Leonard Wood, MO",2008-2012,22780,Missouri,0.200000002980232,2,1,1
"Fort Madison-Keokuk, IA-IL-MO",2008-2012,22800,Iowa,6.9761905670166,21,10.8333330154419,14
"Fort Smith, AR-OK",2008-2012,22900,Arkansas,17.4099216461182,48,31.5,38
"Fort Wayne, IN",2008-2012,23060,Indiana,232.292892456055,592,80.2511901855469,100
"Frankfort, IN",2008-2012,23140,Indiana,4.16071462631226,17,0.0588235333561897,1
"Frankfort, KY",2008-2012,23180,Kentucky,4.09999990463257,10,NA,NA
"Fredericksburg, TX",2008-2012,23240,Texas,3.01715683937073,7,1.5,2
"Freeport, IL",2008-2012,23300,Illinois,8.00833320617676,22,3,4
"Fremont, NE",2008-2012,23340,Nebraska,3.16666674613953,4,5,5
"Fremont, OH",2008-2012,23380,Ohio,6.92619037628174,16,NA,NA
"Fresno, CA",2008-2012,23420,California,81.8796005249023,205,85.2916641235352,100
"Gadsden, AL",2008-2012,23460,Alabama,4.83333349227905,9,3,3
"Gaffney, SC",2008-2012,23500,South Carolina,1.16666662693024,2,0.5,1
