cbsa_code,CBSA,CBSA.Title,Metropolitan.Division.Code,Metropolitan.Division.Title,Level,SOC.code,Occupation.title,Good.sub.BA.jobs,Promising.sub.BA.jobs,Good.and.promising.sub.BA.jobs,Good.high.skill.jobs,Promising.high.skill.jobs,Good.and.promising.high.skill.jobs,Other.jobs,Quality.unknown,Opportunity.jobs..sub.BA.,Opportunity.jobs..high.skill.,cbsa_name
99998,99998,Top 100 Metro Areas,NA,NA,1,NA,Total,0.113374049,0.093270788,0.206644837,0.173998329,0.05398569,0.22798402,0.562866088,0.002505207,0.190413834,0.219211096,Top 100 Metro Areas
41940,41940,"San Jose-Sunnyvale-Santa Clara, CA",NA,NA,1,NA,Total,0.060856408,0.065873333,0.126729741,0.279547895,0.072413327,0.351961222,0.51913905,0.002169987,0.117469344,0.344214176,"San Jose-Sunnyvale-Santa Clara, CA"
20500,20500,"Durham-Chapel Hill, NC",NA,NA,1,NA,Total,0.099926175,0.077896912,0.177823087,0.277411405,0.068209641,0.345621045,0.467837731,0.008718137,0.163473627,0.336716169,"Durham-Chapel Hill, NC"
14460,14460,"Boston-Cambridge-Newton, MA-NH",NA,NA,1,NA,Total,0.083399533,0.068434471,0.151834004,0.220146187,0.077360737,0.297506923,0.548998029,0.001661044,0.139191863,0.286356426,"Boston-Cambridge-Newton, MA-NH"
47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,NA,1,NA,Total,0.049092705,0.043702214,0.092794919,0.222223907,0.074295141,0.296519049,0.609300862,0.00138517,0.083342468,0.28465578,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
14860,14860,"Bridgeport-Stamford-Norwalk, CT",NA,NA,1,NA,Total,0.081624465,0.076003837,0.157628302,0.219859949,0.071704822,0.291564771,0.545810395,0.004996533,0.143276039,0.280034456,"Bridgeport-Stamford-Norwalk, CT"
31540,31540,"Madison, WI",NA,NA,1,NA,Total,0.11424482,0.092679261,0.206924081,0.221360405,0.06967553,0.291035935,0.491471659,0.010568325,0.190014939,0.281688812,"Madison, WI"
41860,41860,"San Francisco-Oakland-Hayward, CA",NA,NA,1,NA,Total,0.065535221,0.064397808,0.129933029,0.209200431,0.078248643,0.287449075,0.58106547,0.001552426,0.118576178,0.276530674,"San Francisco-Oakland-Hayward, CA"
39580,39580,"Raleigh, NC",NA,NA,1,NA,Total,0.094048376,0.084605528,0.178653903,0.207726666,0.061408353,0.269135019,0.549221994,0.002989084,0.161654119,0.259280837,"Raleigh, NC"
35620,35620,"New York-Newark-Jersey City, NY-NJ-PA",NA,NA,1,NA,Total,0.076559531,0.07205649,0.148616021,0.182050903,0.072941739,0.254992642,0.595028596,0.00136298,0.136086804,0.24394144,"New York-Newark-Jersey City, NY-NJ-PA"
42660,42660,"Seattle-Tacoma-Bellevue, WA",NA,NA,1,NA,Total,0.098832866,0.082607116,0.181439982,0.188615999,0.063891061,0.25250706,0.56468592,0.001367038,0.168510125,0.243071157,"Seattle-Tacoma-Bellevue, WA"
41740,41740,"San Diego-Carlsbad, CA",NA,NA,1,NA,Total,0.117553948,0.101428362,0.21898230900000001,0.196752335,0.055100355,0.25185269,0.528003355,0.001161645,0.19966999,0.242843272,"San Diego-Carlsbad, CA"
18140,18140,"Columbus, OH",NA,NA,1,NA,Total,0.140444414,0.109260223,0.249704637,0.193409257,0.057645468,0.251054725,0.496741941,0.002499236,0.229660853,0.241918918,"Columbus, OH"
19740,19740,"Denver-Aurora-Lakewood, CO",NA,NA,1,NA,Total,0.093578978,0.076913725,0.170492703,0.187702364,0.063018755,0.250721119,0.577266004,0.001520174,0.157962929,0.24157984,"Denver-Aurora-Lakewood, CO"
25540,25540,"Hartford-West Hartford-East Hartford, CT",NA,NA,1,NA,Total,0.093516653,0.075647269,0.169163922,0.191949909,0.058735174,0.250685083,0.576256259,0.003894735,0.15699151,0.242204687,"Hartford-West Hartford-East Hartford, CT"
38900,38900,"Portland-Vancouver-Hillsboro, OR-WA",NA,NA,1,NA,Total,0.133675058,0.109197941,0.242873,0.191929492,0.057357257,0.249286749,0.506180103,0.001660163,0.226221709,0.240681443,"Portland-Vancouver-Hillsboro, OR-WA"
12420,12420,"Austin-Round Rock, TX",NA,NA,1,NA,Total,0.093547002,0.083334734,0.176881736,0.186891269,0.061201914,0.248093183,0.573031,0.00199408,0.164615145,0.238710115,"Austin-Round Rock, TX"
12060,12060,"Atlanta-Sandy Springs-Roswell, GA",NA,NA,1,NA,Total,0.110033854,0.089954533,0.199988387,0.195030303,0.053019149,0.248049453,0.549940299,0.002021861,0.184332047,0.238677808,"Atlanta-Sandy Springs-Roswell, GA"
10580,10580,"Albany-Schenectady-Troy, NY",NA,NA,1,NA,Total,0.119216467,0.093418506,0.212634973,0.187293838,0.057577741,0.244871579,0.536779281,0.005714167,0.194656019,0.234046949,"Albany-Schenectady-Troy, NY"
31080,31080,"Los Angeles-Long Beach-Anaheim, CA",NA,NA,1,NA,Total,0.121887921,0.111234798,0.23312272,0.191151272,0.052111978,0.243263251,0.522117578,0.001496556,0.2161758,0.234655848,"Los Angeles-Long Beach-Anaheim, CA"
28140,28140,"Kansas City, MO-KS",NA,NA,1,NA,Total,0.126827216,0.099100831,0.225928047,0.184447986,0.052968357,0.237416343,0.532278299,0.004377313,0.207742158,0.228828131,"Kansas City, MO-KS"
16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI",NA,NA,1,NA,Total,0.094356475,0.080402756,0.174759231,0.174590557,0.0626292,0.237219757,0.586117363,0.00190365,0.160697475,0.227682512,"Chicago-Naperville-Elgin, IL-IN-WI"
44140,44140,"Springfield, MA",NA,NA,1,NA,Total,0.130788698,0.098588921,0.229377619,0.187965062,0.048797526,0.236762588,0.52886657,0.004993222,0.212642654,0.229310968,"Springfield, MA"
40900,40900,"Sacramento--Roseville--Arden-Arcade, CA",NA,NA,1,NA,Total,0.120405816,0.106409774,0.226815591,0.189993889,0.04603649,0.236030378,0.535211842,0.001942189,0.205681073,0.227871722,"Sacramento--Roseville--Arden-Arcade, CA"
17820,17820,"Colorado Springs, CO",NA,NA,1,NA,Total,0.116080827,0.100509345,0.216590172,0.178502926,0.05722113,0.235724057,0.544055946,0.003629826,0.199584898,0.226482508,"Colorado Springs, CO"
33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",NA,NA,1,NA,Total,0.094657184,0.080058898,0.174716082,0.171425588,0.063587809,0.235013397,0.587921761,0.002352781,0.16328733,0.225733816,"Minneapolis-St. Paul-Bloomington, MN-WI"
40380,40380,"Rochester, NY",NA,NA,1,NA,Total,0.145704421,0.109227006,0.254931427,0.18169519,0.052410094,0.234105284,0.507157541,0.003806029,0.237107545,0.224517735,"Rochester, NY"
49340,49340,"Worcester, MA-CT",NA,NA,1,NA,Total,0.109850596,0.082045601,0.191896197,0.176245905,0.056817237,0.233063142,0.570536089,0.004504572,0.178685509,0.224535028,"Worcester, MA-CT"
26900,26900,"Indianapolis-Carmel-Anderson, IN",NA,NA,1,NA,Total,0.150574763,0.105961677,0.25653644,0.179042612,0.052412875,0.231455487,0.508465458,0.003542825,0.237446392,0.222883614,"Indianapolis-Carmel-Anderson, IN"
