stco_code,jurisdiction,young_less_educated_and_diverse,less_educated_prime_age_people,diverse_less_educated_and_eyeing_retirement,motivated_and_moderately_educated_younger_people,moderately_educated_older_people,highly_educated_and_engaged_younger_people,highly_educated_high_income_older_people
06001,"Alameda County, CA",0,0.35,0.11,0.19,0.06,0.08,0.2
42003,"Allegheny County, PA",0.11,0.34,0,0.07,0.21,0.15,0.11
24003,"Anne Arundel County, MD",0,0.49,0,0.21,0.09,0.05,0.15
24005,"Baltimore County, MD",0.18,0.35,0,0.09,0.19,0.1,0.1
34003,"Bergen County, NJ",0.09,0.33,0,0.12,0.1,0.12,0.23
48029,"Bexar County, TX",0.29,0.29,0,0.16,0.12,0.04,0.11
12009,"Brevard County, FL",0,0.46,0,0.24,0.14,0,0.16
25005,"Bristol County, MA",0.15,0.23,0.2,0.28,0,0.03,0.11
12011,"Broward County, FL",0.13,0.38,0,0.12,0.16,0.05,0.17
42017,"Bucks County, PA",0.09,0.24,0.16,0.06,0.17,0.05,0.23
34007,"Camden County, NJ",0.21,0.34,0,0.21,0.05,0.12,0.07
13067,"Cobb County, GA",0.19,0.26,0,0.13,0.13,0.06,0.22
48085,"Collin County, TX",0,0.27,0.11,0.06,0.21,0.15,0.21
06013,"Contra Costa County, CA",0.13,0.34,0,0.21,0.07,0.17,0.09
39035,"Cuyahoga County, OH",0,0.39,0.14,0.11,0.2,0.03,0.13
48113,"Dallas County, TX",0.19,0.35,0.12,0.09,0.11,0.04,0.1
13089,"DeKalb County, GA",0.24,0.26,0,0.17,0.12,0.05,0.16
42045,"Delaware County, PA",0,0.43,0.11,0.26,0,0.11,0.09
48121,"Denton County, TX",0.18,0.22,0,0.24,0.15,0.2,0
31055,"Douglas County, NE",0.14,0.3,0.09,0.1,0.17,0.06,0.14
17043,"DuPage County, IL",0.11,0.26,0,0.23,0.03,0.22,0.15
08041,"El Paso County, CO",0,0.31,0.08,0.28,0.11,0.13,0.09
36029,"Erie County, NY",0.22,0.28,0,0.24,0.08,0.04,0.14
25009,"Essex County, MA",0.18,0.31,0,0.06,0.18,0.04,0.21
34013,"Essex County, NJ",0.16,0.3,0.12,0.07,0.16,0.11,0.07
51059,"Fairfax County, VA",0,0.24,0.12,0.13,0.08,0.23,0.2
09001,"Fairfield County, CT",0,0.34,0.1,0.21,0,0.21,0.14
48157,"Fort Bend County, TX",0.1,0.32,0,0.12,0.16,0.18,0.12
39049,"Franklin County, OH",0,0.56,0,0.08,0.18,0.05,0.13
06019,"Fresno County, CA",0.25,0.42,0,0.2,0.05,0.06,0.03
13121,"Fulton County, GA",0,0.38,0.1,0.11,0.14,0.05,0.22
13135,"Gwinnett County, GA",0,0.44,0.09,0.13,0.16,0.07,0.11
39061,"Hamilton County, OH",0,0.4,0.12,0.21,0.07,0.09,0.11
48201,"Harris County, TX",0.18,0.42,0,0.11,0.16,0.07,0.06
09003,"Hartford County, CT",0.14,0.28,0.12,0.09,0.17,0.06,0.14
27053,"Hennepin County, MN",0,0.3,0.11,0.1,0.16,0.07,0.27
48215,"Hidalgo County, TX",0,0.73,0,0.14,0.04,0.07,0.02
12057,"Hillsborough County, FL",0.19,0.36,0,0.08,0.19,0.04,0.14
15003,"Honolulu County, HI",0.14,0.34,0,0.12,0.19,0,0.21
34017,"Hudson County, NJ",0.16,0.41,0,0.14,0.04,0.2,0.05
29095,"Jackson County, MO",0,0.56,0,0.09,0.21,0.04,0.1
01073,"Jefferson County, AL",0.21,0.24,0.12,0.13,0.17,0.02,0.12
20091,"Johnson County, KS",0,0.21,0.09,0.18,0.1,0.22,0.2
17089,"Kane County, IL",0.11,0.5,0,0.17,0.07,0.03,0.12
26081,"Kent County, MI",0,0.54,0,0.14,0.14,0,0.18
06029,"Kern County, CA",0.18,0.39,0.1,0.2,0.06,0,0.06
17097,"Lake County, IL",0.15,0.25,0.1,0.09,0.14,0.14,0.13
42071,"Lancaster County, PA",0,0.51,0.21,0.16,0,0.03,0.09
12071,"Lee County, FL",0.17,0.38,0,0.06,0.21,0.1,0.08
26099,"Macomb County, MI",0.16,0.38,0,0.14,0.15,0.09,0.07
37119,"Mecklenburg County, NC",0.14,0.32,0,0.22,0.07,0.09,0.16
12086,"Miami-Dade County, FL",0.14,0.45,0,0.07,0.16,0.04,0.13
34023,"Middlesex County, NJ",0.14,0.34,0,0.13,0.05,0.1,0.24
34025,"Monmouth County, NJ",0.1,0.31,0,0.07,0.2,0.21,0.12
36055,"Monroe County, NY",0.27,0.23,0,0.13,0.15,0.11,0.09
24031,"Montgomery County, MD",0.11,0.27,0,0.1,0.11,0.23,0.17
39113,"Montgomery County, OH",0,0.41,0.13,0.09,0.25,0.03,0.09
42091,"Montgomery County, PA",0,0.25,0.15,0.09,0.16,0.07,0.28
36059,"Nassau County, NY",0.11,0.33,0,0.16,0.08,0.21,0.12
10003,"New Castle County, DE",0.19,0.3,0.11,0.11,0.12,0.03,0.14
09009,"New Haven County, CT",0.19,0.38,0,0.19,0.05,0.13,0.06
26125,"Oakland County, MI",0,0.39,0,0.22,0.11,0.17,0.11
34029,"Ocean County, NJ",0,0.39,0.13,0.16,0.14,0.11,0.07
40109,"Oklahoma County, OK",0.19,0.41,0,0.1,0.15,0.05,0.1
06059,"Orange County, CA",0.11,0.38,0,0.06,0.2,0.16,0.09
12095,"Orange County, FL",0.22,0.26,0,0.11,0.19,0.07,0.16
12099,"Palm Beach County, FL",0.13,0.25,0.14,0.06,0.19,0.04,0.2
34031,"Passaic County, NJ",0.18,0.37,0.1,0.15,0.05,0.09,0.06
53053,"Pierce County, WA",0.17,0.31,0,0.1,0.25,0.11,0.06
04019,"Pima County, AZ",0,0.51,0,0.1,0.22,0.04,0.14
12103,"Pinellas County, FL",0.13,0.26,0.12,0.08,0.22,0.03,0.17
12105,"Polk County, FL",0.2,0.31,0.13,0.13,0.13,0.07,0.04
24033,"Prince George's County, MD",0,0.43,0.11,0.09,0.17,0.14,0.05
44007,"Providence County, RI",0.12,0.38,0.12,0.19,0.09,0.1,0
27123,"Ramsey County, MN",0,0.39,0.13,0.26,0,0.05,0.17
06065,"Riverside County, CA",0.2,0.41,0,0.08,0.2,0.03,0.09
06067,"Sacramento County, CA",0,0.52,0,0.23,0.11,0.1,0.04
49035,"Salt Lake County, UT",0.16,0.33,0,0.09,0.22,0.02,0.19
06071,"San Bernardino County, CA",0.18,0.33,0.12,0.21,0.06,0.06,0.04
06073,"San Diego County, CA",0.14,0.34,0,0.08,0.21,0.15,0.08
06077,"San Joaquin County, CA",0.13,0.33,0.18,0.21,0.05,0.05,0.03
06081,"San Mateo County, CA",0.09,0.3,0,0.05,0.22,0.22,0.12
06085,"Santa Clara County, CA",0,0.28,0.15,0.06,0.18,0.22,0.12
47157,"Shelby County, TN",0.19,0.3,0.1,0.15,0.1,0.1,0.06
53061,"Snohomish County, WA",0,0.34,0.1,0.25,0.1,0.13,0.07
29189,"St. Louis County, MO",0.09,0.28,0,0.25,0.08,0.16,0.13
