pl_code,stco_name,cbsa_name,population,unweighted_total,total,ptotal,pemployed,punemployed,pnilf,plw1,plw5,plw5plus,pmale,med_age,pa1821,pa2224,pwhiteNH,pblackNH,platino,pasianNH,potherNH,pinsch,plths,phs,psc,paa,pbaplus,pdis,pdiss,pdish,pdisv,pdisi,pdisw,pdisc,pfb,plep,pmar_1,pnospouse_kids,pchildren,pwparents,pgroupquarters,med_fam_income_adj,ppoor,psafetynet,psnap,pmedicaid,occ1,pocc1,occ2,pocc2,occ3,pocc3,ind1,pind1,ind2,pind2,ind3,pind3,fb1,pfb1,fb2,pfb2,fb3,pfb3,lsh1,plsh1,lsh2,plsh2,lsh3,plsh3,stco_code,cbsa_code
10003c,"New Castle County, DE","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Out-of-work population,157,7661.37495338971,NA,0,0.489860057830811,0.510139942169189,0.455536633729935,0.21391424536705,0.3305491507053375,0.589728772640228,22,0.491391181945801,0.508608818054199,0.337895542383194,0.352826178073883,0.265795469284058,0.0171110257506371,0.0263717733323574,0.13011609017849,0.162842214107513,0.499146223068237,0.255425333976746,0.00284557905979455,0.0797406286001205,0.109776958823204,0.00324060674756765,0.0292858220636845,0.00923805963248014,0.0221379846334457,0.0387259013950825,0.0505364798009396,0.108133435249329,0.0413128025829792,0.0938861593604088,0.0753474608063698,0.109642125666142,0.722704350948334,0.018518153578043,64581.8464522594,0.255766719579697,0.425877243280411,0.32382702827453613,0.3393423557281494,(None reported),0.412614405155182,Service,0.17550653219223022,Sales and Related,0.17534565925598145,(None reported),0.248832359910011,"Trade, Transportation, and Utilities",0.24072271585464478,Leisure and Hospitality,0.17858609557151794,United States,0.889576554298401,Mexico,0.036284543573856354,Kenya,0.01601104997098446,English,0.721002995967865,Spanish,0.20302778482437134,"Kru, Ibo, Yoruba",0.02132941409945488,10003,37980
10003c,"New Castle County, DE","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Universe population,1351,54836.80712886,NA,0.54373037815094,0.0836087912321091,0.372660845518112,0.738190770149231,0.0621667541563511,0.19964244961738586,0.505013644695282,21,0.601567447185516,0.398432582616806,0.553179800510406,0.250916719436646,0.114838659763336,0.0559961907565594,0.0250686444342136,0.596549153327942,0.136546954512596,0.309912145137787,0.379453539848328,0.0446347258985043,0.129452645778656,0.0612085796892643,0.0064618457108736,0.00909350160509348,0.00817335583269596,0.0214535556733608,0.0131679978221655,0.0390466339886189,0.0844425335526466,0.0412401035428047,0.0358053334057331,0.0411092899739742,0.0545993559062481,0.569103240966797,0.131849631667137,86676.0466811818,0.305885285139084,0.23908044397831,0.15574045479297638,0.1741601824760437,Service,0.264568567276001,(None reported),0.25546836853027344,Sales and Related,0.1474267989397049,"Trade, Transportation, and Utilities",0.212596654891968,Leisure and Hospitality,0.20887304842472076,(None reported),0.1864781677722931,United States,0.904605865478516,Mexico,0.021028749644756317,China,0.017236970365047455,English,0.836221158504486,Spanish,0.09190044552087784,Chinese,0.01992933638393879,10003,37980
10003c,"New Castle County, DE","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Cluster 2,46,2286.58215971774,0.29845584815112897,0,0.338705807924271,0.661294162273407,0.393194824457169,0.257739871740341,0.34906530380249023,0.674217462539673,23,0,1,0.189493954181671,0.311686038970947,0.42248722910881,0,0.0763327851891518,0.0144320204854012,0.320572286844254,0.679427742958069,0,0,0,0.141858503222466,0,0.0374649427831173,0.0309528522193432,0.0231786984950304,0.0634253546595573,0.0812148675322533,0.0919769480824471,0.0372064411640167,0.0712380185723305,0.0769068226218224,0.0931776240468025,0.666139006614685,0.06204654276371,50481.0988242177,0.377461820840836,0.511817872524261,0.3705366849899292,0.41416630148887634,(None reported),0.432333469390869,Service,0.1613023281097412,Sales and Related,0.12428451329469681,(None reported),0.323440611362457,"Trade, Transportation, and Utilities",0.2513047158718109,Leisure and Hospitality,0.14656375348567963,United States,0.900350093841553,Mexico,0.07769070565700531,Pakistan,0.014286242425441742,English,0.671465575695038,Spanish,0.31424811482429504,Pashto,0.014286242425441742,10003,37980
10003c,"New Castle County, DE","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Cluster 3,20,979.572603929662,0.12785859064321847,0,0.73385763168335,0.266142338514328,0.45495480298996,0.276122242212296,0.26892295479774475,0.509903490543365,20,1,0,0.431801706552505,0.429087996482849,0.0549640767276287,0.0841462016105652,0,0.499503493309021,0,0,0.915853798389435,0,0.0841462016105652,0.0400602146983147,0,0,0,0.0400602146983147,0.0400602146983147,0,0.24101734161377,0.0841462016105652,0.0841462016105652,0.0573437213897705,0.122056372463703,0.579144895076752,0,67385.0672,0.143529519438744,0.435608863830566,0.21145476400852203,0.3753785192966461,Sales and Related,0.334163755178452,(None reported),0.26892292499542236,Service,0.19337742030620575,Leisure and Hospitality,0.299677670001984,"Trade, Transportation, and Utilities",0.20353209972381592,Unclassified,0.18477672338485718,United States,0.75898265838623,Kenya,0.12522467970848083,India,0.08414620161056519,English,0.626338541507721,Swahili,0.12522467970848083,"Kru, Ibo, Yoruba",0.12052303552627563,10003,37980
10003c,"New Castle County, DE","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Cluster 4,27,1610.06059187695,0.21015295579086496,0,0.686660468578339,0.313339531421661,0.78338348865509,0.100264757871628,0.11635173112154007,0.5210981965065,23,0,1,0.40103080868721,0.40408331155777,0.19488587975502,0,0,0.189531728625298,0,0,0.65821373462677,0.0135405147448182,0.328245759010315,0.0670266002416611,0,0,0,0,0,0.0670266002416611,0.0427654385566711,0,0.144390359520912,0.129089429974556,0.196491628885269,0.69226062297821,0,85313.0570129279,0.130960881710052,0.31481796503067,0.2720525562763214,0.15559762716293335,Sales and Related,0.269830077886581,(None reported),0.26057934761047363,Service,0.24058417975902557,"Trade, Transportation, and Utilities",0.354037344455719,Professional and Business Services,0.24372656643390656,Leisure and Hospitality,0.13511575758457184,United States,0.957234621047974,Liberia,0.042765434831380844,.,NA,English,0.824954211711884,Spanish,0.1322804093360901,French Creole,0.042765434831380844,10003,37980
10003c,"New Castle County, DE","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Cluster 1,64,2785.15959786535,0.363532605414787,0,0.414371579885483,0.585628390312195,0.317399531602859,0.221753776073456,0.4608466625213623,0.588114500045776,20,1,0,0.390206009149551,0.330148547887802,0.252297103404999,0.0174735654145479,0.0098747881129384,0.0608262121677399,0.184757962822914,0.815242052078247,0,0,0,0.13267195224762,0.00891421269625425,0.0498007349669933,0,0.0277777668088675,0.0403655432164669,0.0335914567112923,0.112449213862419,0.0535014122724533,0.0867099016904831,0.0493318997323513,0.0685865953564644,0.837234497070312,0,46240.6865229834,0.267480045557022,0.416100054979324,0.35493162274360657,0.37145867943763733,(None reported),0.534852504730225,Service,0.14326214790344238,Office and Administrative Support,0.11591482162475586,(None reported),0.328190833330154,Leisure and Hospitality,0.18741638958454132,"Trade, Transportation, and Utilities",0.17960983514785767,United States,0.887550830841064,Mexico,0.03602784872055054,Guyana,0.02878139540553093,English,0.734874606132507,Spanish,0.21748539805412292,Chinese,0.01747356541454792,10003,37980
1073c,"Jefferson County, AL","Birmingham-Hoover, AL",Out-of-work population,210,10385.0951767297,NA,0,0.605311810970306,0.394688189029694,0.396675616502762,0.226853400468826,0.37647098302841187,0.492260485887527,21,0.548955738544464,0.451044261455536,0.238585844635963,0.691835343837738,0.0307609923183918,0.00237519899383187,0.036442618817091,0.153575927019119,0.158761978149414,0.439615488052368,0.352860569953918,0,0.048761960119009,0.100234895944595,0.00708374008536339,0.00619477545842528,0.0199003033339977,0.0265496019273996,0.0206608902662992,0.0599690861999989,0.0300430376082659,0.0052203293889761,0.0845366045832634,0.157166957855225,0.211146771907806,0.638411819934845,0.0145241534337401,25422.6951113656,0.449356913566589,0.481918305158615,0.381095826625824,0.2696835696697235,(None reported),0.447303861379623,Service,0.21833926439285278,Sales and Related,0.2083754539489746,"Trade, Transportation, and Utilities",0.221059039235115,(None reported),0.20258505642414093,Leisure and Hospitality,0.19912026822566986,United States,0.964736700057983,Mexico,0.01473265327513218,Ghana,0.012935185804963112,English,0.944579601287842,Spanish,0.04188694804906845,Arabic,0.011158318258821964,01073,13820
1073c,"Jefferson County, AL","Birmingham-Hoover, AL",Universe population,1440,59919.9605285739,NA,0.55776834487915,0.13214185833931,0.310089766979218,0.708720564842224,0.0681111216545105,0.22316831350326538,0.489988148212433,21,0.556529760360718,0.443470239639282,0.450116097927094,0.459434628486633,0.042811818420887,0.014078033156693,0.033559437841177,0.494975656270981,0.121866308152676,0.316006898880005,0.42997607588768,0.0249759871512651,0.107174701988697,0.0634286403656006,0.00561263551935554,0.00477598421275616,0.0142786921933293,0.0236564837396145,0.00944081880152225,0.0414756201207638,0.0435612909495831,0.0238190162926912,0.0685295611619949,0.0777846202254295,0.108292929828167,0.555459678173065,0.095161646604538,53066.992,0.340994089841843,0.290863513946533,0.21038031578063965,0.16690783202648163,(None reported),0.308981329202652,Service,0.23196758329868317,Sales and Related,0.16073839366436005,"Trade, Transportation, and Utilities",0.196440294384956,Leisure and Hospitality,0.1894853413105011,(None reported),0.18560823798179626,United States,0.950325071811676,Mexico,0.014100681059062481,Honduras,0.0064252279698848724,English,0.93711519241333,Spanish,0.042600300163030624,Hindi,0.004157670773565769,01073,13820
1073c,"Jefferson County, AL","Birmingham-Hoover, AL",Cluster 2,45,2356.58187000783,0.22691962181418546,0,0.561803221702576,0.438196808099747,0.293545097112656,0.217882424592972,0.48857247829437256,0.433581739664078,23,0,1,0.264337062835693,0.702190637588501,0,0.0104671372100711,0.0230051930993795,0,0.235035970807076,0.764964044094086,0,0,0,0.191123962402344,0.0194767881184816,0.00127303029876202,0.0243290215730667,0.0759854689240456,0.0194767881184816,0.133060589432716,0.0104671372100711,0.0230051930993795,0.128697469830513,0.166165500879288,0.242456302046776,0.599475562572479,0.0203684847801924,25031.6,0.476242631673813,0.634257793426514,0.5624530911445618,0.2819373905658722,(None reported),0.548080205917358,Service,0.27433162927627563,Sales and Related,0.0941755473613739,(None reported),0.257383942604065,Unclassified,0.23118853569030762,Leisure and Hospitality,0.17014911770820618,United States,0.966527760028839,Yemen,0.02300519309937954,Thailand,0.010467138141393661,English,0.966527760028839,Arabic,0.02300519309937954,Thai,0.010467138141393661,01073,13820
1073c,"Jefferson County, AL","Birmingham-Hoover, AL",Cluster 4,46,2327.55578556199,0.2241246465200847,0,0.64193457365036,0.35806542634964,0.429360866546631,0.297362565994263,0.27327656745910645,0.445901155471802,23,0,1,0.200639247894287,0.767209112644196,0.0321516469120979,0,0,0.229025080800056,0,0,0.782433748245239,0,0.217566266655922,0.0585287995636463,0.0118865752592683,0.026350961998105,0,0,0.0118865752592683,0.0321778357028961,0,0,0.126768484711647,0.200162336230278,0.303904980421066,0.561026334762573,0.0321516469120979,40551.192,0.396724700927734,0.501343071460724,0.39179807901382446,0.2934776544570923,(None reported),0.328502327203751,Sales and Related,0.29499492049217224,Service,0.19895313680171967,"Trade, Transportation, and Utilities",0.320081830024719,Leisure and Hospitality,0.16094712913036346,Unclassified,0.13869702816009521,United States,1,.,NA,.,NA,English,1,English,NA,English,NA,01073,13820
