"","county_name","cbsa_code","county_code","young_less_educated_and_diverse_perc","less_educated_prime_age_people_perc","diverse_less_educated_and_eyeing_retirement_perc","moderately_educated_older_people_perc","highly_educated_and_engaged_younger_people_perc","highly_educated_high_income_older_people_perc"
"1","Alameda County, CA","41860","06001",0.01,418.6,60.01,0.01,0.17,0.03
"2","Allegheny County, PA","38300","42003",0.03,383,420.03,0.03,0.16,0.01
"3","Anne Arundel County, MD","12580","24003",0.04,125.8,240.03,0.01,0.3,0.01
"4","Baltimore County, MD","12580","24005",0.05,125.8,240.05,0.1,0.17,0.01
"5","Bergen County, NJ","35620","34003",0.07,356.2,340.03,0.21,0.15,0.01
"6","Bexar County, TX","41700","48029",0.08,417,480.29,0.19,0.11,0.01
"7","Brevard County, FL","37340","12009",0.1,373.4,120.09,0.01,0.28,0.01
"8","Bristol County, MA","39300","25005",0.11,393,250.05,0.07,0.05,0.11
"9","Broward County, FL","33100","12011",0.13,331,120.11,0.05,0.2,0.01
"10","Bucks County, PA","37980","42017",0.14,379.8,420.17,0.21,0.06,0.08
"11","Camden County, NJ","37980","34007",0.15,379.8,340.07,0.13,0.16,0.01
"12","Cobb County, GA","12060","13067",0.18,120.6,130.67,0.11,0.08,0.01
"13","Collin County, TX","19100","48085",0.19,191,480.85,0.01,0.09,0.03
"14","Contra Costa County, CA","41860","06013",0.2,418.6,60.13,0.05,0.16,0.01
"15","Cuyahoga County, OH","17460","39035",0.22,174.6,390.35,0.01,0.21,0.06
"16","Dallas County, TX","19100","48113",0.23,191,481.13,0.11,0.17,0.04
"17","DeKalb County, GA","12060","13089",0.24,120.6,130.89,0.16,0.08,0.01
"18","Delaware County, PA","37980","42045",0.25,379.8,420.45,0.01,0.25,0.03
"19","Denton County, TX","19100","48121",0.26,191,481.21,0.1,0.04,0.01
"20","Douglas County, NE","36540","31055",0.29,365.4,310.55,0.06,0.12,0.16
"21","DuPage County, IL","16980","17043",0.3,169.8,170.43,0.03,0.08,0.01
"22","El Paso County, CO","17820","08041",0.31,178.2,80.41,0.01,0.13,0.15
"23","Erie County, NY","15380","36029",0.33,153.8,360.29,0.14,0.1,0.01
"24","Essex County, MA","14460","25009",0.34,144.6,250.09,0.1,0.13,0.01
"25","Essex County, NJ","35620","34013",0.35,356.2,340.13,0.08,0.12,0.04
"26","Fairfax County, VA","47900","51059",0.36,479,510.59,0.01,0.06,0.04
"27","Fairfield County, CT","14860","09001",0.37,148.6,90.01,0.01,0.16,0.02
"28","Fort Bend County, TX","26420","48157",0.38,264.2,481.57,0.02,0.14,0.01
"29","Franklin County, OH","18140","39049",0.39,181.4,390.49,0.01,0.35,0.01
"30","Fresno County, CA","23420","06019",0.4,234.2,60.19,0.17,0.24,0.01
"31","Fulton County, GA","12060","13121",0.41,120.6,131.21,0.01,0.2,0.02
"32","Gwinnett County, GA","12060","13135",0.42,120.6,131.35,0.01,0.26,0.16
"33","Hamilton County, OH","17140","39061",0.43,171.4,390.61,0.01,0.22,0.04
"34","Harris County, TX","26420","48201",0.44,264.2,482.01,0.1,0.24,0.01
"35","Hartford County, CT","25540","09003",0.45,255.4,90.03,0.06,0.1,0.04
"36","Hennepin County, MN","33460","27053",0.46,334.6,270.53,0.01,0.12,0.03
"37","Hidalgo County, TX","32580","48215",0.47,325.8,482.15,0.01,0.38,0.01
"38","Hillsborough County, FL","45300","12057",0.48,453,120.57,0.11,0.18,0.01
"39","Honolulu County, HI","46520","15003",0.49,465.2,150.03,0.06,0.16,0.01
"40","Hudson County, NJ","35620","34017",0.5,356.2,340.17,0.08,0.23,0.01
"41","Jackson County, MO","28140","29095",0.52,281.4,290.95,0.01,0.35,0.01
"42","Jefferson County, AL","13820","01073",0.54,138.2,10.73,0.13,0.06,0.04
"43","Johnson County, KS","28140","20091",0.55,281.4,200.91,0.01,0.03,0.16
"44","Kane County, IL","16980","17089",0.56,169.8,170.89,0.03,0.31,0.01
"45","Kent County, MI","24340","26081",0.57,243.4,260.81,0.01,0.34,0.01
"46","Kern County, CA","12540","06029",0.58,125.4,60.29,0.1,0.21,0.02
"47","Lake County, IL","16980","17097",0.6,169.8,170.97,0.07,0.07,0.02
"48","Lancaster County, PA","29540","42071",0.61,295.4,420.71,0.01,0.32,0.12
