"","young_less_educated_and_diverse_perc","less_educated_prime_age_people_perc","diverse_less_educated_and_eyeing_retirement_perc","moderately_educated_older_people_perc","highly_educated_and_engaged_younger_people_perc","highly_educated_high_income_older_people_perc","stco_code","co_name"
"1",0.01,0.17,0.03,0.2,0.22,0.13,"06001","Alameda County, CA"
"2",0.03,0.16,0.01,0.13,0.07,0.03,"42003","Allegheny County, PA"
"3",0.01,0.3,0.01,0.23,0.19,0.07,"24003","Anne Arundel County, MD"
"4",0.1,0.17,0.01,0.11,0.02,0.02,"24005","Baltimore County, MD"
"5",0.21,0.15,0.01,0.02,0.04,0.16,"34003","Bergen County, NJ"
"6",0.19,0.11,0.01,0.04,0.18,0.03,"48029","Bexar County, TX"
"7",0.01,0.28,0.01,0.06,0.01,0.08,"12009","Brevard County, FL"
"8",0.07,0.05,0.11,0.01,0.17,0.03,"25005","Bristol County, MA"
"9",0.05,0.2,0.01,0.08,0.19,0.09,"12011","Broward County, FL"
"10",0.21,0.06,0.08,0.09,0.19,0.16,"42017","Bucks County, PA"
"11",0.13,0.16,0.01,0.19,0.04,0.27,"34007","Camden County, NJ"
"12",0.11,0.08,0.01,0.05,0.2,0.15,"13067","Cobb County, GA"
"13",0.01,0.09,0.03,0.13,0.07,0.14,"48085","Collin County, TX"
"14",0.05,0.16,0.01,0.21,0.09,0.29,"06013","Contra Costa County, CA"
"15",0.01,0.21,0.06,0.12,0.17,0.05,"39035","Cuyahoga County, OH"
"16",0.11,0.17,0.04,0.03,0.18,0.02,"48113","Dallas County, TX"
"17",0.16,0.08,0.01,0.04,0.19,0.08,"13089","DeKalb County, GA"
"18",0.01,0.25,0.03,0.01,0.03,0.29,"42045","Delaware County, PA"
"19",0.1,0.04,0.01,0.07,0.12,0.01,"48121","Denton County, TX"
"20",0.06,0.12,0.16,0.09,0.2,0.06,"31055","Douglas County, NE"
"21",0.03,0.08,0.01,0.17,0.14,0.07,"17043","DuPage County, IL"
"22",0.01,0.13,0.15,0.03,0.05,0.29,"08041","El Paso County, CO"
"23",0.14,0.1,0.01,0.22,0.18,0.06,"36029","Erie County, NY"
"24",0.1,0.13,0.01,0.1,0.18,0.14,"25009","Essex County, MA"
"25",0.08,0.12,0.04,0.08,0.03,0.27,"34013","Essex County, NJ"
"26",0.01,0.06,0.04,0.22,0.15,0.13,"51059","Fairfax County, VA"
"27",0.01,0.16,0.02,0.01,0.13,0.06,"09001","Fairfield County, CT"
"28",0.02,0.14,0.01,0.08,0.1,0.04,"48157","Fort Bend County, TX"
"29",0.01,0.35,0.01,0.1,0.19,0.05,"39049","Franklin County, OH"
"30",0.17,0.24,0.01,0.19,0.2,0.22,"06019","Fresno County, CA"
"31",0.01,0.2,0.02,0.06,0.19,0.15,"13121","Fulton County, GA"
"32",0.01,0.26,0.16,0.08,0.21,0.03,"13135","Gwinnett County, GA"
"33",0.01,0.22,0.04,0.21,0.23,0.03,"39061","Hamilton County, OH"
"34",0.1,0.24,0.01,0.08,0.21,0.26,"48201","Harris County, TX"
"35",0.06,0.1,0.04,0.09,0.2,0.06,"09003","Hartford County, CT"
"36",0.01,0.12,0.03,0.08,0.21,0.2,"27053","Hennepin County, MN"
"37",0.01,0.38,0.01,0.18,0.21,0.12,"48215","Hidalgo County, TX"
"38",0.11,0.18,0.01,0.11,0.18,0.06,"12057","Hillsborough County, FL"
"39",0.06,0.16,0.01,0.11,0.01,0.14,"15003","Honolulu County, HI"
"40",0.08,0.23,0.01,0.18,0.12,0.25,"34017","Hudson County, NJ"
"41",0.01,0.35,0.01,0.13,0.18,0.02,"29095","Jackson County, MO"
"42",0.13,0.06,0.04,0.09,0.11,0.04,"01073","Jefferson County, AL"
"43",0.01,0.03,0.16,0.02,0.14,0.13,"20091","Johnson County, KS"
"44",0.03,0.31,0.01,0.21,0.17,0.04,"17089","Kane County, IL"
"45",0.01,0.34,0.01,0.06,0.01,0.1,"26081","Kent County, MI"
"46",0.1,0.21,0.02,0.2,0.01,0.26,"06029","Kern County, CA"
"47",0.07,0.07,0.02,0.06,0.06,0.05,"17097","Lake County, IL"
"48",0.01,0.32,0.12,0.01,0.17,0.29,"42071","Lancaster County, PA"
"49",0.09,0.2,0.01,0.13,0.02,0.28,"12071","Lee County, FL"
"50",0.08,0.2,0.01,0.07,0.23,0.27,"26099","Macomb County, MI"
"51",0.06,0.14,0.01,0.21,0.23,0.08,"37119","Mecklenburg County, NC"
"52",0.06,0.27,0.01,0.08,0.18,0.05,"12086","Miami-Dade County, FL"
"53",0.06,0.16,0.01,0.19,0.02,0.17,"34023","Middlesex County, NJ"
"54",0.02,0.13,0.01,0.12,0.13,0.04,"34025","Monmouth County, NJ"
"55",0.18,0.05,0.01,0.07,0.03,0.29,"36055","Monroe County, NY"
"56",0.03,0.09,0.01,0.03,0.15,0.09,"24031","Montgomery County, MD"
"57",0.01,0.23,0.05,0.16,0.17,0.29,"39113","Montgomery County, OH"
"58",0.01,0.07,0.07,0.08,0.21,0.21,"42091","Montgomery County, PA"
"59",0.03,0.15,0.01,0.22,0.13,0.04,"36059","Nassau County, NY"
"60",0.11,0.12,0.03,0.04,0.17,0.06,"10003","New Castle County, DE"
"61",0.11,0.2,0.01,0.19,0.05,0.26,"09009","New Haven County, CT"
"62",0.01,0.21,0.01,0.03,0.09,0.03,"26125","Oakland County, MI"
"63",0.01,0.21,0.05,0.06,0.03,0.27,"34029","Ocean County, NJ"
"64",0.11,0.23,0.01,0.07,0.19,0.02,"40109","Oklahoma County, OK"
"65",0.03,0.2,0.01,0.12,0.08,0.29,"06059","Orange County, CA"
"66",0.14,0.08,0.01,0.11,0.21,0.08,"12095","Orange County, FL"
"67",0.05,0.07,0.06,0.11,0.18,0.13,"12099","Palm Beach County, FL"
"68",0.1,0.19,0.02,0.19,0.23,0.26,"34031","Passaic County, NJ"
"69",0.09,0.13,0.01,0.16,0.03,0.26,"53053","Pierce County, WA"
"70",0.01,0.32,0.01,0.14,0.18,0.06,"04019","Pima County, AZ"
"71",0.05,0.08,0.04,0.14,0.17,0.09,"12103","Pinellas County, FL"
"72",0.12,0.13,0.05,0.05,0.21,0.24,"12105","Polk County, FL"
"73",0.01,0.25,0.03,0.09,0.06,0.25,"24033","Prince George's County, MD"
