"","complex","msa","msa_name"
"1",1,"41940","San Jose-Sunnyvale-Santa Clara, CA"
"2",0.775543906,"12420","Austin-Round Rock, TX"
"3",0.761257279,"41860","San Francisco-Oakland-Hayward, CA"
"4",0.700168821,"41740","San Diego-Carlsbad, CA"
"5",0.634912529,"14460","Boston-Cambridge-Newton, MA-NH"
"6",0.613465503,"15540","Burlington-South Burlington, VT"
"7",0.590971769,"14260","Boise City, ID"
"8",0.575225667,"35620","New York-Newark-Jersey City, NY-NJ-PA"
"9",0.567338013,"38900","Portland-Vancouver-Hillsboro, OR-WA"
"10",0.544435406,"40140","Riverside-San Bernardino-Ontario, CA"
"11",0.5312064,"42100","Santa Cruz-Watsonville, CA"
"12",0.525231587,"19100","Dallas-Fort Worth-Arlington, TX"
"13",0.521343862,"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"14",0.512318634,"14500","Boulder, CO"
"15",0.501372117,"42660","Seattle-Tacoma-Bellevue, WA"
"16",0.501346857,"40340","Rochester, MN"
"17",0.498707607,"20500","Durham-Chapel Hill, NC"
"18",0.497078278,"31080","Los Angeles-Long Beach-Anaheim, CA"
"19",0.477383665,"45940","Trenton, NJ"
"20",0.475683995,"40380","Rochester, NY"
"21",0.473831227,"18700","Corvallis, OR"
"22",0.469740049,"25500","Harrisonburg, VA"
"23",0.463540516,"39580","Raleigh, NC"
"24",0.442902885,"10740","Albuquerque, NM"
"25",0.441391589,"42200","Santa Maria-Santa Barbara, CA"
"26",0.429539775,"17820","Colorado Springs, CO"
"27",0.425742078,"49340","Worcester, MA-CT"
"28",0.422730823,"16580","Champaign-Urbana, IL"
"29",0.421674079,"16940","Cheyenne, WY"
"30",0.418905293,"16300","Cedar Rapids, IA"
"31",0.414044366,"28740","Kingston, NY"
"32",0.413732245,"10580","Albany-Schenectady-Troy, NY"
"33",0.399185656,"23540","Gainesville, FL"
"34",0.399014263,"38060","Phoenix-Mesa-Scottsdale, AZ"
"35",0.395474035,"46060","Tucson, AZ"
"36",0.393586488,"27060","Ithaca, NY"
"37",0.391916303,"22660","Fort Collins, CO"
"38",0.388585307,"12060","Atlanta-Sandy Springs-Roswell, GA"
"39",0.386137137,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"40",0.379913329,"28140","Kansas City, MO-KS"
"41",0.368136979,"12580","Baltimore-Columbia-Towson, MD"
"42",0.36364619,"37100","Oxnard-Thousand Oaks-Ventura, CA"
"43",0.361280354,"40900","Sacramento--Roseville--Arden-Arcade, CA"
"44",0.359569456,"31700","Manchester-Nashua, NH"
"45",0.356999592,"14860","Bridgeport-Stamford-Norwalk, CT"
"46",0.350565805,"41500","Salinas, CA"
"47",0.3455448,"42220","Santa Rosa, CA"
"48",0.345057963,"26420","Houston-The Woodlands-Sugar Land, TX"
"49",0.338904675,"13780","Binghamton, NY"
"50",0.336919717,"44700","Stockton-Lodi, CA"
"51",0.327032338,"25980","Hinesville, GA"
"52",0.325497748,"45300","Tampa-St. Petersburg-Clearwater, FL"
"53",0.32313483,"25540","Hartford-West Hartford-East Hartford, CT"
"54",0.323088802,"42140","Santa Fe, NM"
"55",0.322643672,"37340","Palm Bay-Melbourne-Titusville, FL"
"56",0.319785087,"19180","Danville, IL"
"57",0.319178468,"19740","Denver-Aurora-Lakewood, CO"
"58",0.31742997,"17780","College Station-Bryan, TX"
"59",0.31732311,"16980","Chicago-Naperville-Elgin, IL-IN-WI"
"60",0.315446527,"28420","Kennewick-Richland, WA"
"61",0.315363347,"33460","Minneapolis-St. Paul-Bloomington, MN-WI"
"62",0.312850846,"36740","Orlando-Kissimmee-Sanford, FL"
"63",0.311518281,"24660","Greensboro-High Point, NC"
"64",0.310597298,"38300","Pittsburgh, PA"
"65",0.307884762,"10900","Allentown-Bethlehem-Easton, PA-NJ"
"66",0.307334634,"38860","Portland-South Portland, ME"
"67",0.305122676,"26620","Huntsville, AL"
"68",0.303525112,"16820","Charlottesville, VA"
"69",0.302347561,"39300","Providence-Warwick, RI-MA"
"70",0.30091418,"14740","Bremerton-Silverdale, WA"
"71",0.300202655,"39900","Reno, NV"
"72",0.299323104,"27980","Kahului-Wailuku-Lahaina, HI"
"73",0.298580527,"39340","Provo-Orem, UT"
"74",0.298461036,"29940","Lawrence, KS"
"75",0.297206624,"33100","Miami-Fort Lauderdale-West Palm Beach, FL"
"76",0.297070154,"12220","Auburn-Opelika, AL"
"77",0.296505223,"34060","Morgantown, WV"
"78",0.291173182,"29200","Lafayette-West Lafayette, IN"
"79",0.290011247,"45060","Syracuse, NY"
"80",0.288843287,"31540","Madison, WI"
"81",0.287122001,"35300","New Haven-Milford, CT"
"82",0.286749029,"41700","San Antonio-New Braunfels, TX"
"83",0.285980656,"22380","Flagstaff, AZ"
"84",0.28569939,"41180","St. Louis, MO-IL"
"85",0.285678544,"44300","State College, PA"
"86",0.28545093,"29820","Las Vegas-Henderson-Paradise, NV"
"87",0.282883722,"13980","Blacksburg-Christiansburg-Radford, VA"
"88",0.279325182,"41620","Salt Lake City, UT"
"89",0.279154985,"42680","Sebastian-Vero Beach, FL"
"90",0.278392362,"28940","Knoxville, TN"
"91",0.277139145,"30460","Lexington-Fayette, KY"
"92",0.275081385,"27740","Johnson City, TN"
"93",0.2716818,"21660","Eugene, OR"
"94",0.271486999,"49180","Winston-Salem, NC"
"95",0.270959717,"29740","Las Cruces, NM"
"96",0.270909203,"38540","Pocatello, ID"
"97",0.270450072,"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA"
"98",0.270113725,"17140","Cincinnati, OH-KY-IN"
"99",0.270109386,"31460","Madera, CA"
"100",0.268331882,"28700","Kingsport-Bristol-Bristol, TN-VA"
"101",0.264231222,"31340","Lynchburg, VA"
"102",0.264214905,"19060","Cumberland, MD-WV"
"103",0.263033186,"24540","Greeley, CO"
"104",0.262932409,"44420","Staunton-Waynesboro, VA"
"105",0.262073141,"36500","Olympia-Tumwater, WA"
"106",0.261511904,"17900","Columbia, SC"
"107",0.260942784,"19380","Dayton, OH"
"108",0.260876076,"15380","Buffalo-Cheektowaga-Niagara Falls, NY"
"109",0.260540274,"12700","Barnstable Town, MA"
"110",0.260164042,"30340","Lewiston-Auburn, ME"
"111",0.259526824,"16180","Carson City, NV"
