stco_code,ALL_TOTAL_passed_H,ALL_TOTAL_passed_L,ALL_TOTAL_total,MAM_TOTAL_passed_H,MAM_TOTAL_passed_L,MAM_TOTAL_total,MAS_TOTAL_passed_H,MAS_TOTAL_passed_L,MAS_TOTAL_total,MBL_TOTAL_passed_H,MBL_TOTAL_passed_L,MBL_TOTAL_total,MHI_TOTAL_passed_H,MHI_TOTAL_passed_L,MHI_TOTAL_total,MWH_TOTAL_passed_H,MWH_TOTAL_passed_L,MWH_TOTAL_total,stco_name,ALL_pass,MBL_pass,MWH_pass,MHI_pass,MAS_pass,MAM_pass
01001,3394.52,3184.79,7074,0,0,17,124.14,64.7,162,562.98,375.06,1764,125.96000000000001,57.4,215,2628.6,2464.8,4770,"Autauga County, Alabama",0.479858637263217,0.319149659863946,0.551069182389937,0.585860465116279,0.766296296296296,0
01003,12744.61,11934.869999999999,23860,0,0,102,100,45.5,249,925.8,499.62,2875,968.7,498.21,2056,10530.04,9710.4,17584,"Baldwin County, Alabama",0.534141240569992,0.322017391304348,0.598842129208371,0.471157587548638,0.401606425702811,0
01005,1063.22,970.65,3682,0,0,12,16,3,46,362.14,271.27,1800,125.06,50.36,275,622.05,549.25,1533,"Barbour County, Alabama",0.28876154263987,0.201188888888889,0.405772994129158,0.454763636363636,0.347826086956522,0
01007,835.3100000000001,716.31,2422,0,0,0,0,0,10,143.15,50.959999999999994,530,8,0,69,688.07,583.49,1783,"Bibb County, Alabama",0.344884393063584,0.270094339622642,0.385905776780707,0.115942028985507,0,NA
01009,3561.58,3231.5,7052,0,0,13,0,0,30,18,4,152,550.27,259.89,1156,3002.4,2684.41,5615,"Blount County, Alabama",0.505045377197958,0.118421052631579,0.534710596616207,0.476012110726644,0,0
01011,186.23000000000002,142.36,1072,0,0,0,0,0,0,161.35000000000002,124.23,910,50.040000000000006,3.36,145,0,0,17,"Bullock County, Alabama",0.173722014925373,0.177307692307692,0,0.345103448275862,NA,NA
01013,607.62,451.25,2163,0,0,2,0,0,16,275.16999999999996,165.04000000000002,1404,0,0,19,309.62,211.43,698,"Butler County, Alabama",0.280915395284327,0.195990028490028,0.443581661891117,0,0,0
01015,6076.64,5573.38,13021,0,0,30,19.5,4.5,124,1105.63,695.38,3290,348.96999999999997,178.27,734,4618.2,4208.71,8651,"Calhoun County, Alabama",0.466679978496275,0.336057750759878,0.533834238816322,0.475435967302452,0.157258064516129,0
01017,1200.27,955.25,3401,0,0,4,0,0,30,509.07,305.94,1798,34,9,124,685.11,539.15,1419,"Chambers County, Alabama",0.352916789179653,0.283131256952169,0.482811839323467,0.274193548387097,0,0
01019,1385.4,1201.46,2952,114.5,49.55,204,0,0,12,48,7,126,0,0,36,1231.57,1030.63,2558,"Cherokee County, Alabama",0.469308943089431,0.380952380952381,0.481458170445661,0,0,0.561274509803922
01021,2228.86,1894.83,5856,0,0,2,9,3,30,179.84,60.92,690,310.79,185.09,861,1757.42,1487.41,4133,"Chilton County, Alabama",0.380611338797814,0.26063768115942,0.425216549721752,0.360963995354239,0.3,0
01023,256.59,171.04999999999998,1047,0,0,4,0,0,0,176.20999999999998,95.69,709,0,0,6,148.11,47.8,322,"Choctaw County, Alabama",0.245071633237822,0.248533145275035,0.459968944099379,0,NA,0
01025,969.31,846.75,2794,0,0,6,0,0,34,454.96999999999997,343.87,1674,0,0,30,543.92,423.5,1034,"Clarke County, Alabama",0.3469255547602,0.271786140979689,0.526034816247582,0,0,0
01027,525.61,458.55,1384,0,0,0,0,0,4,95.8,7,228,27,3,77,435.78999999999996,372.5,1011,"Clay County, Alabama",0.379776011560694,0.420175438596491,0.431048466864491,0.350649350649351,0,NA
01029,973.92,834.71,1902,0,0,0,0,0,0,30,0,94,7.5,0,56,905.15,775.16,1724,"Cleburne County, Alabama",0.51205047318612,0.319148936170213,0.525029002320186,0.133928571428571,NA,NA
01031,3765.29,3415.75,7358,0,0,74,65,27,148,502.58,259.66,1378,302.22,146.39000000000001,713,2810.65,2477.79,4767,"Coffee County, Alabama",0.511727371568361,0.364716981132075,0.589605621984477,0.423870967741936,0.439189189189189,0
01033,2967.07,2648.23,5894,0,0,28,42,21,66,358.27,169.62,1070,140.3,70.4,280,2442.24,2133.28,4344,"Colbert County, Alabama",0.503405157787581,0.334831775700935,0.562209944751381,0.501071428571429,0.636363636363636,0
01035,429.14,230.69,1020,0,0,4,0,0,2,364.04,162.54,807,0,0,18,59,19,183,"Conecuh County, Alabama",0.420725490196078,0.451102850061958,0.322404371584699,0,0,0
01037,256.2,220.95,740,0,0,2,0,0,0,90.89,54.790000000000006,298,7,0,38,156.48,115.88999999999999,392,"Coosa County, Alabama",0.346216216216216,0.305,0.399183673469388,0.184210526315789,NA,0
01039,2101.29,1807.81,4718,0,0,10,0,0,52,204.3,98.71,756,0,0,72,1812.61,1559.81,3764,"Covington County, Alabama",0.445377278507842,0.270238095238095,0.481564824654623,0,0,0
01041,643.15,528.96,1640,0,0,4,0,0,12,171.46,47.12,518,0,0,40,499.9,376.27,1040,"Crenshaw County, Alabama",0.392164634146341,0.331003861003861,0.480673076923077,0,0,0
01043,5160.87,4637.49,9615,0,0,24,16,8,74,20,0,80,371.98,108.02,807,4602.7699999999995,4108.05,8218,"Cullman County, Alabama",0.536751950078003,0.25,0.560083962034558,0.46094175960347,0.216216216216216,0
01045,2210.32,1974,4763,0,0,24,0,0,56,403.09000000000003,270.62,1426,88.5,12,259,1648.93,1436,2892,"Dale County, Alabama",0.464060466092799,0.282671809256662,0.570169432918396,0.341698841698842,0,0
01047,1185.82,835.5699999999999,4879,0,0,0,0,0,8,931.13,605.97,4259,0,0,14,266.72,162.89999999999998,582,"Dallas County, Alabama",0.243045706087313,0.218626438131017,0.458281786941581,0,0,NA
01049,3634.48,3089.81,9244,644.9,303.08,1087,0,0,42,15,5,104,816.0699999999999,503.42,3088,2329.5099999999998,1807.22,4829,"DeKalb County, Alabama",0.393171787105149,0.144230769230769,0.482400082832885,0.264271373056995,0,0.593284268629255
