year,cbsa_2013_fips,cbsa_2013_name,naics2_code,naics2_name,indicator,2006_ls_share,2006_im_share,2006_ns_share,2011_ls_share,2011_im_share,2011_ns_share,2015_ls_share,2015_im_share,2015_ns_share,value
2016,10420,Akron; OH Metropolitan Statistical Area,21,"Mining, quarrying, and oil and gas extraction",Aggregate Wage,-0.4616216,0.0657177,0.1082674,-0.0152165,-0.2738257,0.1401297,0.0301219,-0.2268927,0.0167614,21700000
2016,10420,Akron; OH Metropolitan Statistical Area,21,"Mining, quarrying, and oil and gas extraction",Employment,-0.5411034,0.1093109,0.0233206,0.1397908,-0.1790485,0.0988783,0.0495907,-0.1553785,0.0172098,391
2016,10420,Akron; OH Metropolitan Statistical Area,21,"Mining, quarrying, and oil and gas extraction",GDP,4.900665,0.4313695,0.1729697,8.818469,0.4808823,0.25761,0.6856394,-0.0174226,0.0172899,1320000000
2016,10420,Akron; OH Metropolitan Statistical Area,22,Utilities,Aggregate Wage,-0.2902476,0.0189002,0.1004431,0.0106885,-0.0660127,0.1406454,-0.005842,-0.0165761,0.0167614,103000000
2016,10420,Akron; OH Metropolitan Statistical Area,22,Utilities,Employment,-0.2190439,-0.029927,0.042441,-0.0432013,-0.0842315,0.0879108,-0.0022762,-0.0158896,0.0172098,1045
2016,10420,Akron; OH Metropolitan Statistical Area,22,Utilities,GDP,-0.0011784,-0.0759099,0.1350243,0.0351573,-0.1210776,0.1156572,-0.0352225,0.0322891,0.0172899,607000000
2016,10420,Akron; OH Metropolitan Statistical Area,23,Construction,Aggregate Wage,0.0557649,-0.1029778,0.1261938,-0.0265006,0.1698367,0.1560691,-0.0205594,0.0402297,0.0167614,782000000
2016,10420,Akron; OH Metropolitan Statistical Area,23,Construction,Employment,0.0056507,-0.1588331,0.0480304,-0.0569434,0.1227776,0.0952617,-0.0120295,0.0222137,0.0172098,12714
2016,10420,Akron; OH Metropolitan Statistical Area,23,Construction,GDP,0.0782041,-0.2179787,0.1022759,-7.364e-4,0.0693906,0.1093395,-0.0256368,0.0153514,0.0172899,1330000000
2016,10420,Akron; OH Metropolitan Statistical Area,31,Manufacturing,Aggregate Wage,-0.089189,-0.1934485,0.1100913,-0.0635136,-0.0644712,0.1381862,-0.0113775,-0.0250751,0.0167614,2380000000
2016,10420,Akron; OH Metropolitan Statistical Area,31,Manufacturing,Employment,-0.0600495,-0.1630746,0.0481252,-0.033854,-0.042781,0.0925011,-0.0049857,-0.0296382,0.0172098,39441
2016,10420,Akron; OH Metropolitan Statistical Area,31,Manufacturing,GDP,-0.0456937,-0.1858508,0.0959801,-0.0252239,-0.0979597,0.098457,-0.0208605,-0.0177341,0.0172899,5470000000
2016,10420,Akron; OH Metropolitan Statistical Area,42,Wholesale trade,Aggregate Wage,-0.0206121,-0.0645822,0.1357753,0.0096625,-0.0426668,0.1483425,-0.0192332,-0.0219099,0.0167614,1310000000
2016,10420,Akron; OH Metropolitan Statistical Area,42,Wholesale trade,Employment,0.0229253,-0.0643787,0.0630608,-0.0208801,-0.0323872,0.0936565,-0.0181313,-0.0177532,0.0172098,18392
2016,10420,Akron; OH Metropolitan Statistical Area,42,Wholesale trade,GDP,-0.0314163,-0.0467322,0.1110935,-0.0614886,0.0293146,0.1045981,-0.0340594,-0.0109884,0.0172899,2910000000
2016,10420,Akron; OH Metropolitan Statistical Area,44,Retail Trade,Aggregate Wage,-0.0902959,-0.0747753,0.1213813,-0.0682912,0.0106713,0.143499,-0.0182041,0.0051353,0.0167614,1070000000
2016,10420,Akron; OH Metropolitan Statistical Area,44,Retail Trade,Employment,-0.0448231,-0.0311056,0.0560359,-0.0153057,-0.0061381,0.0932157,-0.008693,-0.0024576,0.0172098,37691
2016,10420,Akron; OH Metropolitan Statistical Area,44,Retail Trade,GDP,0.0246161,-0.0457456,0.1108218,0.0240632,0.053928,0.1067306,-0.014848,0.0028318,0.0172899,2590000000
2016,10420,Akron; OH Metropolitan Statistical Area,48,Transportation and Warehousing,Aggregate Wage,-0.0961269,-0.0227148,0.1192089,0.0548787,0.0521664,0.1550342,0.0069921,-0.0026683,0.0167614,515000000
2016,10420,Akron; OH Metropolitan Statistical Area,48,Transportation and Warehousing,Employment,-0.0907948,0.0220363,0.0553507,-0.0191457,0.0562093,0.0953836,0.0106619,0.0027947,0.0172098,9713
2016,10420,Akron; OH Metropolitan Statistical Area,48,Transportation and Warehousing,GDP,-0.0914247,-0.1083369,0.1032791,-0.0260644,-0.0790685,0.0999579,0.0070586,-0.0054634,0.0172899,900000000
2016,10420,Akron; OH Metropolitan Statistical Area,51,Information,Aggregate Wage,0.0176607,-0.2116176,0.1164569,-0.0014368,-0.0780659,0.1374954,0.0483621,-9.05e-4,0.0167614,242000000
2016,10420,Akron; OH Metropolitan Statistical Area,51,Information,Employment,0.2104644,-0.2579058,0.0505291,0.2187035,-0.1316282,0.0929973,0.0792277,-0.0197329,0.0172098,4548
2016,10420,Akron; OH Metropolitan Statistical Area,51,Information,GDP,0.3856725,0.0491508,0.172553,-0.1062127,0.0226877,0.0933638,0.0760367,0.0231841,0.0172899,1210000000
2016,10420,Akron; OH Metropolitan Statistical Area,52,Finance and insurance,Aggregate Wage,0.1387122,-0.0596006,0.1493472,0.0901873,-0.0400593,0.1498895,0.0244949,-0.01489,0.0167614,763000000
2016,10420,Akron; OH Metropolitan Statistical Area,52,Finance and insurance,Employment,0.041019,-0.0611533,0.0577455,0.0613751,-0.039854,0.0904419,0.0504227,-0.0033803,0.0172098,11313
2016,10420,Akron; OH Metropolitan Statistical Area,52,Finance and insurance,GDP,0.1122699,-0.0552786,0.1200869,0.1141137,-0.0449042,0.1015153,0.0599393,-0.00277,0.0172899,2300000000
2016,10420,Akron; OH Metropolitan Statistical Area,53,Real estate and rental and leasing,Aggregate Wage,0.0459377,-0.081242,0.1361072,0.0156655,0.0456866,0.1519499,-0.0064231,-0.0030571,0.0167614,144000000
2016,10420,Akron; OH Metropolitan Statistical Area,53,Real estate and rental and leasing,Employment,0.0279555,-0.1024628,0.0500553,0.0196901,-0.0051531,0.0898219,0.0514031,0.0026834,0.0172098,3471
2016,10420,Akron; OH Metropolitan Statistical Area,53,Real estate and rental and leasing,GDP,-0.0453462,0.0903299,0.1234365,-0.0400055,-0.0240538,0.0964118,0.0408286,-0.0083888,0.0172899,3380000000
2016,10420,Akron; OH Metropolitan Statistical Area,54,"Professional, scientific, and technical services",Aggregate Wage,-0.126339,0.1712774,0.1490317,-0.0713721,0.0708908,0.1488056,-0.0166797,0.0087187,0.0167614,1090000000
2016,10420,Akron; OH Metropolitan Statistical Area,54,"Professional, scientific, and technical services",Employment,0.0160239,0.0999237,0.0657004,-0.0017242,0.0458635,0.0944086,0.0219614,0.0075584,0.0172098,16419
2016,10420,Akron; OH Metropolitan Statistical Area,54,"Professional, scientific, and technical services",GDP,-0.0301388,0.1322265,0.1250822,-0.0488781,0.050805,0.100491,0.0224162,0.0160631,0.0172899,2050000000
2016,10420,Akron; OH Metropolitan Statistical Area,55,Management of companies and enterprises,Aggregate Wage,-0.0549908,0.189057,0.1619431,-0.0465233,0.0645807,0.1524644,0.0385975,-0.0244845,0.0167614,1710000000
2016,10420,Akron; OH Metropolitan Statistical Area,55,Management of companies and enterprises,Employment,0.0363256,0.1374337,0.0730125,-0.0010616,0.0338406,0.0957241,0.0156238,-0.0051358,0.0172098,17476
2016,10420,Akron; OH Metropolitan Statistical Area,55,Management of companies and enterprises,GDP,-0.0119928,0.1307092,0.1279505,0.0326777,0.1588387,0.1226932,0.007062,-0.0044119,0.0172899,2720000000
2016,10420,Akron; OH Metropolitan Statistical Area,56,Administrative and support and waste management and remediation services,Aggregate Wage,-0.1425689,0.0148659,0.1271194,-0.1298543,0.0597556,0.1464081,-0.0732029,0.0076045,0.0167614,623000000
2016,10420,Akron; OH Metropolitan Statistical Area,56,Administrative and support and waste management and remediation services,Employment,-0.1568143,0.0132479,0.0487192,-0.1062884,0.0626644,0.0914492,-0.018775,2.571e-4,0.0172098,19850
2016,10420,Akron; OH Metropolitan Statistical Area,56,Administrative and support and waste management and remediation services,GDP,-0.1235854,0.1164197,0.1194018,-0.0781813,0.0413651,0.1040441,-0.0422682,-4.536e-4,0.0172899,1250000000
2016,10420,Akron; OH Metropolitan Statistical Area,61,Educational services,Aggregate Wage,-0.24012,0.1516526,0.1354786,-0.1024052,-0.0324843,0.1318229,0.026669000000000002,-1.799e-4,0.0167614,149000000
2016,10420,Akron; OH Metropolitan Statistical Area,61,Educational services,Employment,0.1045768,0.1927881,0.081411,0.0124545,0.0467408,0.0959544,-0.0044155,0.0130021,0.0172098,5249
2016,10420,Akron; OH Metropolitan Statistical Area,61,Educational services,GDP,-0.0938093,0.019854,0.1210753,-0.0280361,-0.089884,0.0980461,-0.0019599,-0.0201603,0.0172899,208000000
2016,10420,Akron; OH Metropolitan Statistical Area,62,Health care and social assistance,Aggregate Wage,-0.066081,0.1595927,0.1576208,-0.0436893,0.0068876,0.1436173,-0.0184727,0.0100561,0.0167614,2340000000
2016,10420,Akron; OH Metropolitan Statistical Area,62,Health care and social assistance,Employment,-0.0186332,0.154622,0.0723375,-0.0140059,0.009139,0.0929797,-0.0113898,0.0090615,0.0172098,50125
2016,10420,Akron; OH Metropolitan Statistical Area,62,Health care and social assistance,GDP,-0.0841135,0.1194437,0.1231905,-0.0244609,0.0257057,0.1035669,-0.0156058,0.0092827,0.0172899,3310000000
2016,10420,Akron; OH Metropolitan Statistical Area,71,Arts; entertainment; and recreation,Aggregate Wage,-0.2056979,0.0672144,0.1223537,0.008581,0.0877689,0.1609289,-0.0568165,0.0287638,0.0167614,99900000
2016,10420,Akron; OH Metropolitan Statistical Area,71,Arts; entertainment; and recreation,Employment,-0.1061314,0.0835627,0.0570378,0.0697568,0.0730624,0.0992861,-0.0095998,0.0186798,0.0172098,5192
2016,10420,Akron; OH Metropolitan Statistical Area,71,Arts; entertainment; and recreation,GDP,-0.0991305,0.1379571,0.1274128,-0.0595239,0.0789607,0.1047939,-6.518e-4,0.0122733,0.0172899,395000000
2016,10420,Akron; OH Metropolitan Statistical Area,72,Accommodation and food services,Aggregate Wage,-0.149627,0.1805924,0.1436326,-0.1095428,0.1455277,0.1482641,-0.0367667,0.0323676,0.0167614,482000000
2016,10420,Akron; OH Metropolitan Statistical Area,72,Accommodation and food services,Employment,-0.1286054,0.1294464,0.0623417,-0.0669285,0.0796476,0.0943377,-0.0132068,0.0135651,0.0172098,28034
2016,10420,Akron; OH Metropolitan Statistical Area,72,Accommodation and food services,GDP,0.0105839,-0.0535739,0.1150673,0.0104688,-0.001701,0.1067839,-0.0099133,-0.0129927,0.0172899,827000000
