cbsa,CMA_CBSA_name,complex
41940,"San Jose-Sunnyvale-Santa Clara, CA",1
12420,"Austin-Round Rock, TX",0.775543906
41860,"San Francisco-Oakland-Hayward, CA",0.761257279
41740,"San Diego-Carlsbad, CA",0.700168821
14460,"Boston-Cambridge-Newton, MA-NH",0.634912529
15540,"Burlington-South Burlington, VT",0.613465503
14260,"Boise City, ID",0.590971769
35620,"New York-Newark-Jersey City, NY-NJ-PA",0.575225667
38900,"Portland-Vancouver-Hillsboro, OR-WA",0.567338013
40140,"Riverside-San Bernardino-Ontario, CA",0.544435406
42100,"Santa Cruz-Watsonville, CA",0.5312064
19100,"Dallas-Fort Worth-Arlington, TX",0.525231587
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.521343862
14500,"Boulder, CO",0.512318634
42660,"Seattle-Tacoma-Bellevue, WA",0.501372117
40340,"Rochester, MN",0.501346857
20500,"Durham-Chapel Hill, NC",0.498707607
31080,"Los Angeles-Long Beach-Anaheim, CA",0.497078278
45940,"Trenton, NJ",0.477383665
40380,"Rochester, NY",0.475683995
18700,"Corvallis, OR",0.473831227
25500,"Harrisonburg, VA",0.469740049
39580,"Raleigh, NC",0.463540516
10740,"Albuquerque, NM",0.442902885
42200,"Santa Maria-Santa Barbara, CA",0.441391589
17820,"Colorado Springs, CO",0.429539775
49340,"Worcester, MA-CT",0.425742078
16580,"Champaign-Urbana, IL",0.422730823
16940,"Cheyenne, WY",0.421674079
16300,"Cedar Rapids, IA",0.418905293
28740,"Kingston, NY",0.414044366
10580,"Albany-Schenectady-Troy, NY",0.413732245
23540,"Gainesville, FL",0.399185656
38060,"Phoenix-Mesa-Scottsdale, AZ",0.399014263
46060,"Tucson, AZ",0.395474035
27060,"Ithaca, NY",0.393586488
22660,"Fort Collins, CO",0.391916303
12060,"Atlanta-Sandy Springs-Roswell, GA",0.388585307
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.386137137
28140,"Kansas City, MO-KS",0.379913329
12580,"Baltimore-Columbia-Towson, MD",0.368136979
37100,"Oxnard-Thousand Oaks-Ventura, CA",0.36364619
40900,"Sacramento--Roseville--Arden-Arcade, CA",0.361280354
31700,"Manchester-Nashua, NH",0.359569456
14860,"Bridgeport-Stamford-Norwalk, CT",0.356999592
41500,"Salinas, CA",0.350565805
42220,"Santa Rosa, CA",0.3455448
26420,"Houston-The Woodlands-Sugar Land, TX",0.345057963
13780,"Binghamton, NY",0.338904675
44700,"Stockton-Lodi, CA",0.336919717
25980,"Hinesville, GA",0.327032338
45300,"Tampa-St. Petersburg-Clearwater, FL",0.325497748
25540,"Hartford-West Hartford-East Hartford, CT",0.32313483
42140,"Santa Fe, NM",0.323088802
37340,"Palm Bay-Melbourne-Titusville, FL",0.322643672
19180,"Danville, IL",0.319785087
19740,"Denver-Aurora-Lakewood, CO",0.319178468
17780,"College Station-Bryan, TX",0.31742997
16980,"Chicago-Naperville-Elgin, IL-IN-WI",0.31732311
28420,"Kennewick-Richland, WA",0.315446527
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0.315363347
36740,"Orlando-Kissimmee-Sanford, FL",0.312850846
24660,"Greensboro-High Point, NC",0.311518281
38300,"Pittsburgh, PA",0.310597298
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.307884762
38860,"Portland-South Portland, ME",0.307334634
26620,"Huntsville, AL",0.305122676
16820,"Charlottesville, VA",0.303525112
39300,"Providence-Warwick, RI-MA",0.302347561
14740,"Bremerton-Silverdale, WA",0.30091418
