CBSA,Name,Size_Category,I5HGC_Density
10300,"Adrian, MI",Micro,59.5
10420,"Akron, OH",Medium,59.7
10580,"Albany-Schenectady-Troy, NY",Medium,65.4
10700,"Albertville, AL",Micro,42.6
10740,"Albuquerque, NM",Medium,32.8
10820,"Alexandria, MN",Micro,55.0
10900,"Allentown-Bethlehem-Easton, PA-NJ",Medium,58.4
11020,"Altoona, PA",Small,7.9
11100,"Amarillo, TX",Medium,15.5
11180,"Ames, IA",Small,44.8
11260,"Anchorage, AK",Medium,10.4
11460,"Ann Arbor, MI",Medium,120.8
11540,"Appleton, WI",Small,57.5
11700,"Asheville, NC",Medium,81.5
11900,"Athens, OH",Micro,62.2
12020,"Athens-Clarke County, GA",Small,41.8
12060,"Atlanta-Sandy Springs-Roswell, GA",Large,193.9
12100,"Atlantic City-Hammonton, NJ",Medium,14.6
12180,"Auburn, NY",Micro,12.4
12220,"Auburn-Opelika, AL",Small,40.7
12260,"Augusta-Richmond County, GA-SC",Medium,21.2
12420,"Austin-Round Rock, TX",Large,289.5
12460,"Bainbridge, GA",Micro,36.5
12540,"Bakersfield, CA",Medium,28.9
12580,"Baltimore-Columbia-Towson, MD",Large,124.1
12700,"Barnstable Town, MA",Small,55.6
12860,"Batavia, NY",Micro,16.7
12940,"Baton Rouge, LA",Medium,72.3
13020,"Bay City, MI",Small,18.7
13140,"Beaumont-Port Arthur, TX",Medium,12.4
13180,"Beaver Dam, WI",Micro,33.8
13220,"Beckley, WV",Small,8.0
13380,"Bellingham, WA",Small,84.2
13420,"Bemidji, MN",Micro,88.9
13460,"Bend-Redmond, OR",Small,99.7
13740,"Billings, MT",Small,6.1
13780,"Binghamton, NY",Medium,16.0
13820,"Birmingham-Hoover, AL",Large,78.0
13900,"Bismarck, ND",Small,44.0
13980,"Blacksburg-Christiansburg-Radford, VA",Small,44.9
14010,"Bloomington, IL",Small,5.4
14020,"Bloomington, IN",Small,50.1
14100,"Bloomsburg-Berwick, PA",Small,11.7
14140,"Bluefield, WV-VA",Micro,18.7
14260,"Boise City, ID",Medium,64.3
14380,"Boone, NC",Micro,38.6
14420,"Borger, TX",Micro,136.0
14460,"Boston-Cambridge-Newton, MA-NH",Large,183.9
14500,"Boulder, CO",Medium,367.0
14540,"Bowling Green, KY",Small,63.3
14580,"Bozeman, MT",Micro,230.8
14660,"Brainerd, MN",Micro,54.8
14720,"Breckenridge, CO",Micro,179.4
14740,"Bremerton-Silverdale, WA",Small,4.1
14820,"Brevard, NC",Micro,30.5
14860,"Bridgeport-Stamford-Norwalk, CT",Medium,121.0
15180,"Brownsville-Harlingen, TX",Medium,2.5
15260,"Brunswick, GA",Small,18.1
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Large,55.4
15420,"Burley, ID",Micro,45.9
15500,"Burlington, NC",Small,26.2
15540,"Burlington-South Burlington, VT",Small,80.6
15660,"Calhoun, GA",Micro,90.6
15680,"California-Lexington Park, MD",Small,86.1
15940,"Canton-Massillon, OH",Medium,9.9
