"","Year","Academic.Institution..Campus.Level..survey.specific.","RDINST","fice","CITY","state","Zip","Total.R.D.Expenditures.in.All.Fields.Sum.","Total.R.D.Expenditures.in.All.Fields.Sum..Flag","Deflated.Total.R.D.Expenditures.in.All.Fields.Sum.","Deflated.Total.R.D.Expenditures.in.All.Fields.Sum..Flag","Business.Financed.R.D.Expenditures.Sum.","Business.Financed.R.D.Expenditures.Sum..Flag","Deflated.Business.Financed.R.D.Expenditures.Sum.","Deflated.Business.Financed.R.D.Expenditures.Sum..Flag","county","fips","cbsacode"
"1",2012,"A.T. Still University",2477,2477,"Kirksville","Missouri","63501",3247,"i",3097.99,"i","0","i","0.00","i","29001","29001",28860
"2",2012,"Air Force Institute of Technology",3009,3009,"Dayton","Ohio","45433",32746,"",31243.2,"","33","","31.49","","39113","39113",19380
"3",2012,"Air Force Institute of Technology",3009,3009,"Dayton","Ohio","45433",32746,"",31243.2,"","33","","31.49","","39057","39057",19380
"4",2012,"Alabama A&M University",1002,1002,"Normal","Alabama","35762",29979,"i",28603.19,"i","173","i","165.06","i","1089","01089",26620
"5",2012,"Alabama State University",1005,1005,"Montgomery","Alabama","36101",13607,"",12982.54,"","0","","0.00","","1101","01101",33860
"6",2012,"Albany College of Pharmacy and Health Sciences",2885,2885,"Albany","New York","12208",2639,"",2517.89,"","591","","563.88","","36001","36001",10580
"7",2012,"Albany Medical College",2887,2887,"Albany","New York","12208",17735,"",16921.1,"","1529","","1458.83","","36001","36001",10580
"8",2012,"Albany State University",1544,1544,"Albany","Georgia","31705",2225,"",2122.89,"","188","","179.37","","13095","13095",10500
"9",2012,"Albany State University",1544,1544,"Albany","Georgia","31705",2225,"",2122.89,"","188","","179.37","","13321","13321",10500
"10",2012,"Albany State University",1544,1544,"Albany","Georgia","31705",2225,"",2122.89,"","188","","179.37","","13205","13205",NA
"11",2012,"Alcorn State University",2396,2396,"Lorman","Mississippi","39096",11515,"",10986.55,"","159","","151.70","","28063","28063",NA
"12",2012,"Alcorn State University",2396,2396,"Lorman","Mississippi","39096",11515,"",10986.55,"","159","","151.70","","28021","28021",46980
"13",2012,"Alfred University",8775,8775,"Alfred","New York","14802",5451,"",5200.84,"","894","","852.97","","36003","36003",NA
"14",2012,"Alliant International University",10301,10301,"San Francisco","California","94109",732,"",698.41,"","0","","0.00","","6075","06075",41860
"15",2012,"American University",1434,1434,"Washington","District of Columbia","20016",43526,"",41528.48,"","50","","47.71","","11001","11001",47900
"16",2012,"Amherst College",2115,2115,"Amherst","Massachusetts","01002",5448,"i",5197.98,"i","0","i","0.00","i","25015","25015",44140
"17",2012,"Amherst College",2115,2115,"Amherst","Massachusetts","01002",5448,"i",5197.98,"i","0","i","0.00","i","25011","25011",24640
"18",2012,"Angelo State University",3541,3541,"San Angelo","Texas","76901",954,"",910.22,"","4","","3.82","","48235","48235",41660
"19",2012,"Angelo State University",3541,3541,"San Angelo","Texas","76901",954,"",910.22,"","4","","3.82","","48451","48451",41660
"20",2012,"Appalachian State University",2906,2906,"Boone","North Carolina","28608",4438,"",4234.33,"","625","","596.32","","37189","37189",14380
