Jurisdiction,Young..less.educated..and.diverse,Less.educated..prime.age.people,Diverse..less.educated..and.eyeing.retirement,Motivated.and.moderately.educated.younger.people,Moderately.educated.older.people,Highly.educated.and.engaged.younger.people,Highly.educated..high.income.older.people,fips,cbsacode
"Alameda County, CA",0.00,0.35,0.11,0.19,0.06,0.08,0.20,6001,41860
"Allegheny County, PA",0.11,0.34,0.00,0.07,0.21,0.15,0.11,42003,38300
"Anne Arundel County, MD",0.00,0.49,0.00,0.21,0.09,0.05,0.15,24003,12580
"Baltimore County, MD",0.18,0.35,0.00,0.09,0.19,0.10,0.10,24005,12580
"Bergen County, NJ",0.09,0.33,0.00,0.12,0.10,0.12,0.23,34003,35620
"Bexar County, TX",0.29,0.29,0.00,0.16,0.12,0.04,0.11,48029,41700
"Brevard County, FL",0.00,0.46,0.00,0.24,0.14,0.00,0.16,12009,37340
"Bristol County, MA",0.15,0.23,0.20,0.28,0.00,0.03,0.11,25005,39300
"Broward County, FL",0.13,0.38,0.00,0.12,0.16,0.05,0.17,12011,33100
"Bucks County, PA",0.09,0.24,0.16,0.06,0.17,0.05,0.23,42017,37980
"Camden County, NJ",0.21,0.34,0.00,0.21,0.05,0.12,0.07,34007,37980
"Cobb County, GA",0.19,0.26,0.00,0.13,0.13,0.06,0.22,13067,12060
"Collin County, TX",0.00,0.27,0.11,0.06,0.21,0.15,0.21,48085,19100
"Contra Costa County, CA",0.13,0.34,0.00,0.21,0.07,0.17,0.09,6013,41860
"Cuyahoga County, OH",0.00,0.39,0.14,0.11,0.20,0.03,0.13,39035,17460
"Dallas County, TX",0.19,0.35,0.12,0.09,0.11,0.04,0.10,48113,19100
"DeKalb County, GA",0.24,0.26,0.00,0.17,0.12,0.05,0.16,13089,12060
"Delaware County, PA",0.00,0.43,0.11,0.26,0.00,0.11,0.09,42045,37980
"Denton County, TX",0.18,0.22,0.00,0.24,0.15,0.20,0.00,48121,19100
"Douglas County, NE",0.14,0.30,0.09,0.10,0.17,0.06,0.14,31055,36540
"DuPage County, IL",0.11,0.26,0.00,0.23,0.03,0.22,0.15,17043,16980
"El Paso County, CO",0.00,0.31,0.08,0.28,0.11,0.13,0.09,8041,17820
"Erie County, NY",0.22,0.28,0.00,0.24,0.08,0.04,0.14,36029,15380
"Essex County, MA",0.18,0.31,0.00,0.06,0.18,0.04,0.21,25009,14460
"Essex County, NJ",0.16,0.30,0.12,0.07,0.16,0.11,0.07,34013,35620
"Fairfax County, VA",0.00,0.24,0.12,0.13,0.08,0.23,0.20,51059,47900
"Fairfield County, CT",0.00,0.34,0.10,0.21,0.00,0.21,0.14,9001,14860
"Fort Bend County, TX",0.10,0.32,0.00,0.12,0.16,0.18,0.12,48157,26420
"Franklin County, OH",0.00,0.56,0.00,0.08,0.18,0.05,0.13,39049,18140
"Fresno County, CA",0.25,0.42,0.00,0.20,0.05,0.06,0.03,6019,23420
