"Appendix Table 1: Average price-income ratios in U.S. metro areas, 2012-16",,,,,,,,,,
Note: Figures include only tracts where at least 10% of homes are owner-occupied,,,,,,,,,,
Source: Brookings Institution analysis of 2012-16 American Community Survey data,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,% of tracts where the price-income ratio is…,,
CBSA,Metro Name,# Tracts,# Households,Average price,Average income,Average price-income rato,Map category,Under 10th percentile,Between 10th-90th percentile,Above the 90th percentile
10180,"Abilene, TX",42,"59,679",91840,45737,1.99,Low,0.48,0.52,0.00
10420,"Akron, OH",166,"280,385",133435,53793,2.51,Normal range,0.14,0.85,0.01
10500,"Albany, GA",43,"57,795",98126,39060,2.7,Normal range,0.16,0.81,0.02
10540,"Albany, OR",21,"45,378",183543,46947,4.01,Normal range,0.00,1.00,0.00
10580,"Albany-Schenectady-Troy, NY",209,"336,748",194008,65371,3.04,Normal range,0.01,0.98,0.01
10740,"Albuquerque, NM",197,"337,909",188549,52540,3.71,Normal range,0.02,0.94,0.05
10780,"Alexandria, LA",37,"55,436",115316,40277,2.92,Normal range,0.05,0.95,0.00
10900,"Allentown-Bethlehem-Easton, PA-NJ",178,"313,959",193361,62315,3.15,Normal range,0.01,0.98,0.01
11020,"Altoona, PA",33,"49,964",110806,44914,2.44,Normal range,0.15,0.85,0.00
11100,"Amarillo, TX",64,"93,745",120436,53497,2.25,Low,0.36,0.64,0.00
11180,"Ames, IA",17,"35,348",159494,54110,3.56,Normal range,0.12,0.76,0.12
11260,"Anchorage, AK",77,"132,429",271178,79757,3.57,Normal range,0.00,0.97,0.03
11460,"Ann Arbor, MI",86,"125,232",226690,73810,3.23,Normal range,0.10,0.86,0.03
11500,"Anniston-Oxford-Jacksonville, AL",28,"45,067",99525,38731,2.7,Normal range,0.07,0.89,0.04
11540,"Appleton, WI",51,"90,033",158243,62016,2.59,Normal range,0.02,0.98,0.00
11700,"Asheville, NC",103,"183,799",202080,47228,4.4,High,0.00,0.94,0.06
12020,"Athens-Clarke County, GA",42,"69,979",166883,43393,4.37,High,0.00,0.88,0.12
