year,cbsa,cbsatitle,indicator,topmetro,metrosize,value,overallrank,rankbysize
2009-2019,10100,"Aberdeen, SD Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.082015,,
2009-2019,10140,"Aberdeen, WA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.142027,,
2009-2019,10180,"Abilene, TX Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.061142,,
2009-2019,10220,"Ada, OK Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.047566,,
2009-2019,10300,"Adrian, MI Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.092693,,
2009-2019,10420,"Akron, OH Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,0.00897,140,45
2009-2019,10460,"Alamogordo, NM Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.18315,,
2009-2019,10500,"Albany, GA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.003387,,
2009-2019,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.039317,,
2009-2019,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.015585,75,23
2009-2019,10620,"Albemarle, NC Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.014782,,
2009-2019,10660,"Albert Lea, MN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.003674,,
2009-2019,10700,"Albertville, AL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.012901,,
2009-2019,10740,"Albuquerque, NM Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.022775,52,17
2009-2019,10760,"Alexander City, AL Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.024254,,
2009-2019,10780,"Alexandria, LA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.061696,,
2009-2019,10820,"Alexandria, MN Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.043236,,
2009-2019,10860,"Alice, TX Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.200758,,
2009-2019,10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Large,-0.026125,44,13
2009-2019,10940,"Alma, MI Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.219086,,
2009-2019,10980,"Alpena, MI Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.014452,,
2009-2019,11020,"Altoona, PA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.041193,,
2009-2019,11060,"Altus, OK Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,-0.064876,,
2009-2019,11100,"Amarillo, TX Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,0.052207,183,75
2009-2019,11140,"Americus, GA Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.014782,,
2009-2019,11180,"Ames, IA Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.082341,,
2009-2019,11220,"Amsterdam, NY Micropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,0,,0.01828,,
2009-2019,11260,"Anchorage, AK Metropolitan Statistical Area",Change in Top/Bottom Tract Employment Rate Gap,1,Midsized,0.039788,178,70
