year,cbsa,cbsatitle,topmetro,metrosize,indicator,tractlevel,value
2009,10100,"Aberdeen, SD Micropolitan Statistical Area",0,,Employment Rate,bottom,0.728541
2009,10140,"Aberdeen, WA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.475022
2009,10180,"Abilene, TX Metropolitan Statistical Area",0,,Employment Rate,bottom,0.391709
2009,10220,"Ada, OK Micropolitan Statistical Area",0,,Employment Rate,bottom,0.643382
2009,10300,"Adrian, MI Micropolitan Statistical Area",0,,Employment Rate,bottom,0.636153
2009,10420,"Akron, OH Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.588
2009,10460,"Alamogordo, NM Micropolitan Statistical Area",0,,Employment Rate,bottom,0.566544
2009,10500,"Albany, GA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.463057
2009,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",0,,Employment Rate,bottom,0.60716
2009,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.593066
2009,10620,"Albemarle, NC Micropolitan Statistical Area",0,,Employment Rate,bottom,0.559231
2009,10660,"Albert Lea, MN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.721501
2009,10700,"Albertville, AL Micropolitan Statistical Area",0,,Employment Rate,bottom,0.597607
2009,10740,"Albuquerque, NM Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.57274
2009,10760,"Alexander City, AL Micropolitan Statistical Area",0,,Employment Rate,bottom,0.502788
2009,10780,"Alexandria, LA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.525145
2009,10820,"Alexandria, MN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.776445
2009,10860,"Alice, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,0.429402
2009,10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",1,Large,Employment Rate,bottom,0.597765
2009,10940,"Alma, MI Micropolitan Statistical Area",0,,Employment Rate,bottom,0.445788
2009,10980,"Alpena, MI Micropolitan Statistical Area",0,,Employment Rate,bottom,0.618504
2009,11020,"Altoona, PA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.602774
2009,11060,"Altus, OK Micropolitan Statistical Area",0,,Employment Rate,bottom,0.470058
2009,11100,"Amarillo, TX Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.598169
2009,11140,"Americus, GA Micropolitan Statistical Area",0,,Employment Rate,bottom,0.61069
2009,11180,"Ames, IA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.687679
2009,11220,"Amsterdam, NY Micropolitan Statistical Area",0,,Employment Rate,bottom,0.662579
2009,11260,"Anchorage, AK Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.596085
2009,11380,"Andrews, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,
2009,11420,"Angola, IN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.713149
2009,11460,"Ann Arbor, MI Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.48805
2009,11500,"Anniston-Oxford, AL Metropolitan Statistical Area",0,,Employment Rate,bottom,0.477182
2009,11540,"Appleton, WI Metropolitan Statistical Area",0,,Employment Rate,bottom,0.740496
2009,11580,"Arcadia, FL Micropolitan Statistical Area",0,,Employment Rate,bottom,0.49136
2009,11620,"Ardmore, OK Micropolitan Statistical Area",0,,Employment Rate,bottom,0.58383
2009,11660,"Arkadelphia, AR Micropolitan Statistical Area",0,,Employment Rate,bottom,
2009,11700,"Asheville, NC Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.619809
2009,11740,"Ashland, OH Micropolitan Statistical Area",0,,Employment Rate,bottom,0.622522
2009,11780,"Ashtabula, OH Micropolitan Statistical Area",0,,Employment Rate,bottom,0.476732
2009,11820,"Astoria, OR Micropolitan Statistical Area",0,,Employment Rate,bottom,0.643975
2009,11860,"Atchison, KS Micropolitan Statistical Area",0,,Employment Rate,bottom,
2009,11900,"Athens, OH Micropolitan Statistical Area",0,,Employment Rate,bottom,0.445329
2009,11940,"Athens, TN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.523244
2009,11980,"Athens, TX Micropolitan Statistical Area",0,,Employment Rate,bottom,0.580982
2009,12020,"Athens-Clarke County, GA Metropolitan Statistical Area",0,,Employment Rate,bottom,0.507698
2009,12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",1,Very Large,Employment Rate,bottom,0.583603
2009,12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",1,Midsized,Employment Rate,bottom,0.569138
2009,12140,"Auburn, IN Micropolitan Statistical Area",0,,Employment Rate,bottom,0.684642
