year,cbsa,cbsa_name,indicator,value,topmetro,metrosize,overallrank,sizerank
2009-2019,10180,"Abilene, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.10415249,0,,,
2014-2019,10180,"Abilene, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.018203521,0,,,
2018-2019,10180,"Abilene, TX Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.041633688,0,,,
2009-2019,10420,"Akron, OH Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.0061068698,1,Large,97,27
2014-2019,10420,"Akron, OH Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.10499161,1,Large,113,33
2018-2019,10420,"Akron, OH Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.017055796,1,Large,120,34
2009-2019,10500,"Albany, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.18543752,0,,,
2014-2019,10500,"Albany, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,,0,,,
2018-2019,10500,"Albany, GA Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.05052169,0,,,
2009-2019,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.10877863,0,,,
2014-2019,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.35068691,0,,,
2018-2019,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.027220236,0,,,
2009-2019,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.15516007,1,Large,27,8
2014-2019,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.20942353,1,Large,49,14
2018-2019,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,.10732727,1,Large,24,7
2009-2019,10740,"Albuquerque, NM Metropolitan Statistical Area",Percent Change in Employment at firms 0-5 years old,-.17676628,1,Large,162,48
