year,cbsa,cbsa_name,indicator,value,topmetro,metrosize
2009,10100,"Aberdeen, SD Micropolitan Statistical Area",Jobs,22344.74,0,
2010,10100,"Aberdeen, SD Micropolitan Statistical Area",Jobs,22588.77,0,
2011,10100,"Aberdeen, SD Micropolitan Statistical Area",Jobs,22664.752,0,
2012,10100,"Aberdeen, SD Micropolitan Statistical Area",Jobs,22973.861,0,
2013,10100,"Aberdeen, SD Micropolitan Statistical Area",Jobs,23217.701,0,
2014,10100,"Aberdeen, SD Micropolitan Statistical Area",Jobs,23329.895,0,
2015,10100,"Aberdeen, SD Micropolitan Statistical Area",Jobs,23499.955,0,
2016,10100,"Aberdeen, SD Micropolitan Statistical Area",Jobs,23548.287,0,
2017,10100,"Aberdeen, SD Micropolitan Statistical Area",Jobs,23367.027,0,
2018,10100,"Aberdeen, SD Micropolitan Statistical Area",Jobs,23294.76,0,
2019,10100,"Aberdeen, SD Micropolitan Statistical Area",Jobs,23083.418,0,
2009,10100,"Aberdeen, SD Micropolitan Statistical Area",Real GDP,2523828736,0,
2010,10100,"Aberdeen, SD Micropolitan Statistical Area",Real GDP,2560253696,0,
2011,10100,"Aberdeen, SD Micropolitan Statistical Area",Real GDP,2692305152,0,
2012,10100,"Aberdeen, SD Micropolitan Statistical Area",Real GDP,2808970240,0,
2013,10100,"Aberdeen, SD Micropolitan Statistical Area",Real GDP,2752340480,0,
2014,10100,"Aberdeen, SD Micropolitan Statistical Area",Real GDP,2909680128,0,
2015,10100,"Aberdeen, SD Micropolitan Statistical Area",Real GDP,2891503872,0,
2016,10100,"Aberdeen, SD Micropolitan Statistical Area",Real GDP,2972895232,0,
2017,10100,"Aberdeen, SD Micropolitan Statistical Area",Real GDP,2952184832,0,
2018,10100,"Aberdeen, SD Micropolitan Statistical Area",Real GDP,3037387776,0,
2019,10100,"Aberdeen, SD Micropolitan Statistical Area",Real GDP,3040605184,0,
2009,10140,"Aberdeen, WA Micropolitan Statistical Area",Jobs,23697.055,0,
2010,10140,"Aberdeen, WA Micropolitan Statistical Area",Jobs,23291.355,0,
2011,10140,"Aberdeen, WA Micropolitan Statistical Area",Jobs,23088.861,0,
2012,10140,"Aberdeen, WA Micropolitan Statistical Area",Jobs,23183.693,0,
2013,10140,"Aberdeen, WA Micropolitan Statistical Area",Jobs,22547.338,0,
2014,10140,"Aberdeen, WA Micropolitan Statistical Area",Jobs,22602.287,0,
2015,10140,"Aberdeen, WA Micropolitan Statistical Area",Jobs,22664.641,0,
2016,10140,"Aberdeen, WA Micropolitan Statistical Area",Jobs,23011.113,0,
2017,10140,"Aberdeen, WA Micropolitan Statistical Area",Jobs,23603.844,0,
2018,10140,"Aberdeen, WA Micropolitan Statistical Area",Jobs,24043.32,0,
2019,10140,"Aberdeen, WA Micropolitan Statistical Area",Jobs,24068.895,0,
2009,10140,"Aberdeen, WA Micropolitan Statistical Area",Real GDP,2386091264,0,
2010,10140,"Aberdeen, WA Micropolitan Statistical Area",Real GDP,2316493312,0,
2011,10140,"Aberdeen, WA Micropolitan Statistical Area",Real GDP,2253453824,0,
2012,10140,"Aberdeen, WA Micropolitan Statistical Area",Real GDP,2179860224,0,
2013,10140,"Aberdeen, WA Micropolitan Statistical Area",Real GDP,2133433472,0,
2014,10140,"Aberdeen, WA Micropolitan Statistical Area",Real GDP,2160177408,0,
2015,10140,"Aberdeen, WA Micropolitan Statistical Area",Real GDP,2167439872,0,
2016,10140,"Aberdeen, WA Micropolitan Statistical Area",Real GDP,2205367296,0,
2017,10140,"Aberdeen, WA Micropolitan Statistical Area",Real GDP,2290449408,0,
2018,10140,"Aberdeen, WA Micropolitan Statistical Area",Real GDP,2340472576,0,
2019,10140,"Aberdeen, WA Micropolitan Statistical Area",Real GDP,2355575808,0,
2009,10180,"Abilene, TX Metropolitan Statistical Area",Employment at firms 0-5 years old,7345,0,
2010,10180,"Abilene, TX Metropolitan Statistical Area",Employment at firms 0-5 years old,6897,0,
2011,10180,"Abilene, TX Metropolitan Statistical Area",Employment at firms 0-5 years old,6844,0,
2012,10180,"Abilene, TX Metropolitan Statistical Area",Employment at firms 0-5 years old,6878,0,
2013,10180,"Abilene, TX Metropolitan Statistical Area",Employment at firms 0-5 years old,6548,0,
