year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize,overallrank,sizerank
2009-2019,10100,"Aberdeen, SD",Total,Total,Percent Change in Median Earnings,0.261969,0,,,
2014-2019,10100,"Aberdeen, SD",Total,Total,Percent Change in Median Earnings,0.077128,0,,,
2018-2019,10100,"Aberdeen, SD",Total,Total,Percent Change in Median Earnings,0.172609,0,,,
2009-2019,10140,"Aberdeen, WA",Total,Total,Percent Change in Median Earnings,0.23555,0,,,
2014-2019,10140,"Aberdeen, WA",Total,Total,Percent Change in Median Earnings,0.15488,0,,,
2018-2019,10140,"Aberdeen, WA",Total,Total,Percent Change in Median Earnings,0.279957,0,,,
2009-2019,10180,"Abilene, TX",Total,Total,Percent Change in Median Earnings,0.087253,0,,,
2014-2019,10180,"Abilene, TX",Total,Total,Percent Change in Median Earnings,0.116772,0,,,
2018-2019,10180,"Abilene, TX",Total,Total,Percent Change in Median Earnings,0.017403,0,,,
2009-2019,10220,"Ada, OK",Total,Total,Percent Change in Median Earnings,0.200756,0,,,
2014-2019,10220,"Ada, OK",Total,Total,Percent Change in Median Earnings,0.047359,0,,,
2018-2019,10220,"Ada, OK",Total,Total,Percent Change in Median Earnings,0.153692,0,,,
2009-2019,10300,"Adrian, MI",Total,Total,Percent Change in Median Earnings,0.126849,0,,,
2014-2019,10300,"Adrian, MI",Total,Total,Percent Change in Median Earnings,0.179322,0,,,
2018-2019,10300,"Adrian, MI",Total,Total,Percent Change in Median Earnings,0.014539,0,,,
2009-2019,10420,"Akron, OH",Total,Total,Percent Change in Median Earnings,0.061799,1,Large,130,37
2014-2019,10420,"Akron, OH",Total,Total,Percent Change in Median Earnings,0.112616,1,Large,94,25
2018-2019,10420,"Akron, OH",Total,Total,Percent Change in Median Earnings,-0.010654,1,Large,148,42
2009-2019,10460,"Alamogordo, NM",Total,Total,Percent Change in Median Earnings,0.091764,0,,,
2014-2019,10460,"Alamogordo, NM",Total,Total,Percent Change in Median Earnings,-0.013981,0,,,
2018-2019,10460,"Alamogordo, NM",Total,Total,Percent Change in Median Earnings,-0.199577,0,,,
2009-2019,10500,"Albany, GA",Total,Total,Percent Change in Median Earnings,0.23755,0,,,
2014-2019,10500,"Albany, GA",Total,Total,Percent Change in Median Earnings,0.076988,0,,,
2018-2019,10500,"Albany, GA",Total,Total,Percent Change in Median Earnings,0.047698,0,,,
2009-2019,10540,"Albany-Lebanon, OR",Total,Total,Percent Change in Median Earnings,0.303616,0,,,
2014-2019,10540,"Albany-Lebanon, OR",Total,Total,Percent Change in Median Earnings,0.236819,0,,,
2018-2019,10540,"Albany-Lebanon, OR",Total,Total,Percent Change in Median Earnings,0.043208,0,,,
2009-2019,10580,"Albany-Schenectady-Troy, NY",Total,Total,Percent Change in Median Earnings,0.091865,1,Large,86,24
2014-2019,10580,"Albany-Schenectady-Troy, NY",Total,Total,Percent Change in Median Earnings,0.098767,1,Large,104,31
2018-2019,10580,"Albany-Schenectady-Troy, NY",Total,Total,Percent Change in Median Earnings,-0.018189,1,Large,162,50
2009-2019,10620,"Albemarle, NC",Total,Total,Percent Change in Median Earnings,0.235184,0,,,
2014-2019,10620,"Albemarle, NC",Total,Total,Percent Change in Median Earnings,0.153632,0,,,
2018-2019,10620,"Albemarle, NC",Total,Total,Percent Change in Median Earnings,0.06509,0,,,
2009-2019,10660,"Albert Lea, MN",Total,Total,Percent Change in Median Earnings,0.032114,0,,,
2014-2019,10660,"Albert Lea, MN",Total,Total,Percent Change in Median Earnings,0.06452,0,,,
2018-2019,10660,"Albert Lea, MN",Total,Total,Percent Change in Median Earnings,-0.01653,0,,,
2009-2019,10700,"Albertville, AL",Total,Total,Percent Change in Median Earnings,0.181499,0,,,
2014-2019,10700,"Albertville, AL",Total,Total,Percent Change in Median Earnings,0.166387,0,,,
2018-2019,10700,"Albertville, AL",Total,Total,Percent Change in Median Earnings,-0.011778,0,,,
2009-2019,10740,"Albuquerque, NM",Total,Total,Percent Change in Median Earnings,0.048694,1,Large,143,41
2014-2019,10740,"Albuquerque, NM",Total,Total,Percent Change in Median Earnings,0.144508,1,Large,60,14
2018-2019,10740,"Albuquerque, NM",Total,Total,Percent Change in Median Earnings,0.117127,1,Large,9,2
2009-2019,10760,"Alexander City, AL",Total,Total,Percent Change in Median Earnings,0.125813,0,,,
2014-2019,10760,"Alexander City, AL",Total,Total,Percent Change in Median Earnings,0.20055,0,,,
2018-2019,10760,"Alexander City, AL",Total,Total,Percent Change in Median Earnings,-0.007339,0,,,
2009-2019,10780,"Alexandria, LA",Total,Total,Percent Change in Median Earnings,0.074257,0,,,
2014-2019,10780,"Alexandria, LA",Total,Total,Percent Change in Median Earnings,0.077941,0,,,
2018-2019,10780,"Alexandria, LA",Total,Total,Percent Change in Median Earnings,0.030316,0,,,
2009-2019,10820,"Alexandria, MN",Total,Total,Percent Change in Median Earnings,0.244017,0,,,
2014-2019,10820,"Alexandria, MN",Total,Total,Percent Change in Median Earnings,0.204207,0,,,
2018-2019,10820,"Alexandria, MN",Total,Total,Percent Change in Median Earnings,0.048357,0,,,
2009-2019,10860,"Alice, TX",Total,Total,Percent Change in Median Earnings,0.030137,0,,,
2014-2019,10860,"Alice, TX",Total,Total,Percent Change in Median Earnings,0.102206,0,,,
2018-2019,10860,"Alice, TX",Total,Total,Percent Change in Median Earnings,-0.001344,0,,,
2009-2019,4,All Metropolitan Areas,Total,Total,Percent Change in Median Earnings,0.06238,0,,,
2014-2019,4,All Metropolitan Areas,Total,Total,Percent Change in Median Earnings,0.140243,0,,,
2018-2019,4,All Metropolitan Areas,Total,Total,Percent Change in Median Earnings,0.028473,0,,,
2009-2019,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Percent Change in Median Earnings,0.029938,1,Large,162,46
2014-2019,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Percent Change in Median Earnings,0.075914,1,Large,138,43
2018-2019,10900,"Allentown-Bethlehem-Easton, PA-NJ",Total,Total,Percent Change in Median Earnings,-0.001191,1,Large,141,38
2009-2019,10940,"Alma, MI",Total,Total,Percent Change in Median Earnings,0.048578,0,,,
2014-2019,10940,"Alma, MI",Total,Total,Percent Change in Median Earnings,0.079378,0,,,
2018-2019,10940,"Alma, MI",Total,Total,Percent Change in Median Earnings,0.134746,0,,,
2009-2019,10980,"Alpena, MI",Total,Total,Percent Change in Median Earnings,0.310345,0,,,
2014-2019,10980,"Alpena, MI",Total,Total,Percent Change in Median Earnings,0.292633,0,,,
2018-2019,10980,"Alpena, MI",Total,Total,Percent Change in Median Earnings,0.047661,0,,,
2009-2019,11020,"Altoona, PA",Total,Total,Percent Change in Median Earnings,0.066083,0,,,
2014-2019,11020,"Altoona, PA",Total,Total,Percent Change in Median Earnings,0.186627,0,,,
2018-2019,11020,"Altoona, PA",Total,Total,Percent Change in Median Earnings,0.042997,0,,,
2009-2019,11060,"Altus, OK",Total,Total,Percent Change in Median Earnings,0.163118,0,,,
2014-2019,11060,"Altus, OK",Total,Total,Percent Change in Median Earnings,0.162573,0,,,
2018-2019,11060,"Altus, OK",Total,Total,Percent Change in Median Earnings,0.257081,0,,,
