year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize
2009,1,Top 100 Largest Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.705217838,0,
2010,1,Top 100 Largest Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.690432072,0,
2011,1,Top 100 Largest Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.690967023,0,
2012,1,Top 100 Largest Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.698379755,0,
2013,1,Top 100 Largest Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.704484642,0,
2014,1,Top 100 Largest Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.712568402,0,
2015,1,Top 100 Largest Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.720151246,0,
2016,1,Top 100 Largest Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.727686465,0,
2017,1,Top 100 Largest Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.733582854,0,
2018,1,Top 100 Largest Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.740664661,0,
2019,1,Top Largest Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.748373091,0,
2009,2,Other Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.674052179,0,
2010,2,Other Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.658695579,0,
2011,2,Other Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.658697903,0,
2012,2,Other Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.66488713,0,
2013,2,Other Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.66793561,0,
2014,2,Other Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.673615158,0,
2015,2,Other Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.680269241,0,
2016,2,Other Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.68530339,0,
2017,2,Other Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.692058325,0,
2018,2,Other Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.696132481,0,
2019,2,Other Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.704238892,0,
2009,3,Non-Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.657684982,0,
2010,3,Non-Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.644170403,0,
2011,3,Non-Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.641308725,0,
2012,3,Non-Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.645049453,0,
2013,3,Non-Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.647695243,0,
2014,3,Non-Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.652364552,0,
2015,3,Non-Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.659032285,0,
2016,3,Non-Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.66073823,0,
2017,3,Non-Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.666889489,0,
2018,3,Non-Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.673630655,0,
2019,3,Non-Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.682786644,0,
2009,4,All Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.699445605,0,
2010,4,All Metropolitan Areas,Total,Total,Employment-to-Population Ratio,0.684521019,0,
