year,cbsa_code,cbsa_name,indicator,value,score,topmetro,metrosize,overallrank,sizerank
2009-2019,10100,"Aberdeen, SD Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.14251563,,0,,,
2009-2019,10140,"Aberdeen, WA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.1082877,,0,,,
2009-2019,10180,"Abilene, TX Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.11913359,,0,,,
2009-2019,10220,"Ada, OK Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.24042064,,0,,,
2009-2019,10300,"Adrian, MI Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.065204024,,0,,,
2009-2019,10420,"Akron, OH Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.05672266,-0.85189629,1,Large,130,33
2009-2019,10460,"Alamogordo, NM Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.081803977,,0,,,
2009-2019,10500,"Albany, GA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.022270419,,0,,,
2009-2019,10540,"Albany-Lebanon, OR Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.11274324,,0,,,
2009-2019,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.10550641,0.015006722,1,Large,42,9
2009-2019,10620,"Albemarle, NC Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.063495256,,0,,,
2009-2019,10660,"Albert Lea, MN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.13570204,,0,,,
2009-2019,10700,"Albertville, AL Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.0820425,,0,,,
2009-2019,10740,"Albuquerque, NM Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.021741899,-1.4735157,1,Large,176,51
2009-2019,10760,"Alexander City, AL Micropolitan Statistical Area",Percent Change in Average Annual Wage,-0.017897844,,0,,,
2009-2019,10780,"Alexandria, LA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.006703921,,0,,,
2009-2019,10820,"Alexandria, MN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.1474729,,0,,,
2009-2019,10860,"Alice, TX Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.17159298,,0,,,
2009-2019,10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.06305863,-0.73930407,1,Large,121,31
2009-2019,10940,"Alma, MI Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.14892761,,0,,,
2009-2019,10980,"Alpena, MI Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.022273995,,0,,,
2009-2019,11020,"Altoona, PA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.085291862,,0,,,
2009-2019,11060,"Altus, OK Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.10722225,,0,,,
2009-2019,11100,"Amarillo, TX Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.087228321,-0.30980083,1,Midsized,68,27
2009-2019,11140,"Americus, GA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.14057752,,0,,,
2009-2019,11180,"Ames, IA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.097957626,,0,,,
2009-2019,11220,"Amsterdam, NY Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.10132042,,0,,,
2009-2019,11260,"Anchorage, AK Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.020372583,-1.4978489,1,Midsized,177,75
2009-2019,11380,"Andrews, TX Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.3076458,,0,,,
2009-2019,11420,"Angola, IN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.099770784,,0,,,
2009-2019,11460,"Ann Arbor, MI Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.082509018,-0.3936643,1,Midsized,78,32
2009-2019,11500,"Anniston-Oxford, AL Metropolitan Statistical Area",Percent Change in Average Annual Wage,-0.038874056,,0,,,
2009-2019,11540,"Appleton, WI Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.11788857,,0,,,
2009-2019,11580,"Arcadia, FL Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.048519757,,0,,,
2009-2019,11620,"Ardmore, OK Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.063486442,,0,,,
2009-2019,11660,"Arkadelphia, AR Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.076839581,,0,,,
2009-2019,11700,"Asheville, NC Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.085516572,-0.34021905,1,Midsized,73,30
2009-2019,11740,"Ashland, OH Micropolitan Statistical Area",Percent Change in Average Annual Wage,-0.007196958,,0,,,
2009-2019,11780,"Ashtabula, OH Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.020943025,,0,,,
2009-2019,11820,"Astoria, OR Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.085005008,,0,,,
2009-2019,11860,"Atchison, KS Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.20515184,,0,,,
2009-2019,11900,"Athens, OH Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.022747545,,0,,,
2009-2019,11940,"Athens, TN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.033842407,,0,,,
2009-2019,11980,"Athens, TX Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.084460482,,0,,,
2009-2019,12020,"Athens-Clarke County, GA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.11421108,,0,,,
2009-2019,12060,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.10058663,-0.07241933,1,Very Large,48,20
2009-2019,12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.022403682,-1.4617556,1,Midsized,175,74
2009-2019,12120,"Atmore, AL Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.07736475,,0,,,
2009-2019,12140,"Auburn, IN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.11515947,,0,,,
2009-2019,12180,"Auburn, NY Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.12930684,,0,,,
2009-2019,12220,"Auburn-Opelika, AL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.043728314,,0,,,
2009-2019,12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.087426491,-0.30627918,1,Large,67,16
2009-2019,12300,"Augusta-Waterville, ME Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.060573533,,0,,,
2009-2019,12380,"Austin, MN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.18664449,,0,,,
2009-2019,12420,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.20373102,1.7604898,1,Very Large,5,4
2009-2019,12460,"Bainbridge, GA Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.10084533,,0,,,
2009-2019,12540,"Bakersfield, CA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.032799266,-1.2770227,1,Large,168,49
2009-2019,12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.077805534,-0.47724676,1,Very Large,88,32
2009-2019,12620,"Bangor, ME Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.080551207,,0,,,
2009-2019,12660,"Baraboo, WI Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.14058277,,0,,,
2009-2019,12680,"Bardstown, KY Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.053318121,,0,,,
2009-2019,12700,"Barnstable Town, MA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.096981607,,0,,,
2009-2019,12740,"Barre, VT Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.1038824,,0,,,
2009-2019,12780,"Bartlesville, OK Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.12734538,,0,,,
2009-2019,12860,"Batavia, NY Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.11259792,,0,,,
2009-2019,12900,"Batesville, AR Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.14394014,,0,,,
2009-2019,12940,"Baton Rouge, LA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.080396861,-0.43119809,1,Large,83,20
2009-2019,12980,"Battle Creek, MI Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.026794069,,0,,,
2009-2019,13020,"Bay City, MI Metropolitan Statistical Area",Percent Change in Average Annual Wage,-0.005979535,,0,,,
2009-2019,13060,"Bay City, TX Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.14838167,,0,,,
2009-2019,13100,"Beatrice, NE Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.15297645,,0,,,
2009-2019,13140,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.12091493,0.28882119,1,Midsized,29,12
2009-2019,13180,"Beaver Dam, WI Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.11802614,,0,,,
2009-2019,13220,"Beckley, WV Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.009517342,,0,,,
2009-2019,13260,"Bedford, IN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.10965043,,0,,,
2009-2019,13300,"Beeville, TX Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.076701447,,0,,,
2009-2019,13340,"Bellefontaine, OH Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.044110809,,0,,,
2009-2019,13380,"Bellingham, WA Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.15180977,,0,,,
2009-2019,13420,"Bemidji, MN Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.12292591,,0,,,
2009-2019,13460,"Bend, OR Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.16059378,,0,,,
2009-2019,13500,"Bennettsville, SC Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.068733789,,0,,,
2009-2019,13540,"Bennington, VT Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.068201892,,0,,,
2009-2019,13620,"Berlin, NH Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.11876789,,0,,,
2009-2019,13660,"Big Rapids, MI Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.087120652,,0,,,
2009-2019,13700,"Big Spring, TX Micropolitan Statistical Area",Percent Change in Average Annual Wage,0.25409734,,0,,,
2009-2019,13720,"Big Stone Gap, VA Micropolitan Statistical Area",Percent Change in Average Annual Wage,-0.14004152,,0,,,
2009-2019,13740,"Billings, MT Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.1477866,,0,,,
2009-2019,13780,"Binghamton, NY Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.067889445,,0,,,
2009-2019,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",Percent Change in Average Annual Wage,0.073503628,-0.55369306,1,Very Large,98,35
