year,cbsa,cbsaname,education,indicator,value,topmetro,metrosize,overallrank,sizerank
2009-2019,10100,"Aberdeen, SD",Total,Change in Median Earnings Gap,-10470.76,0,,,
2014-2019,10100,"Aberdeen, SD",Total,Change in Median Earnings Gap,-10464.38,0,,,
2018-2019,10100,"Aberdeen, SD",Total,Change in Median Earnings Gap,-12702.58,0,,,
2009-2019,10140,"Aberdeen, WA",Total,Change in Median Earnings Gap,4671.9102,0,,,
2014-2019,10140,"Aberdeen, WA",Total,Change in Median Earnings Gap,-2753.4399,0,,,
2018-2019,10140,"Aberdeen, WA",Total,Change in Median Earnings Gap,-6733.1401,0,,,
2009-2019,10180,"Abilene, TX",Total,Change in Median Earnings Gap,-2017.37,0,,,
2014-2019,10180,"Abilene, TX",Total,Change in Median Earnings Gap,-3574.8201,0,,,
2018-2019,10180,"Abilene, TX",Total,Change in Median Earnings Gap,-948.19,0,,,
2009-2019,10220,"Ada, OK",Total,Change in Median Earnings Gap,-3110.3301,0,,,
2014-2019,10220,"Ada, OK",Total,Change in Median Earnings Gap,887.02002,0,,,
2018-2019,10220,"Ada, OK",Total,Change in Median Earnings Gap,-588.46997,0,,,
2009-2019,10300,"Adrian, MI",Total,Change in Median Earnings Gap,-7676.8101,0,,,
2014-2019,10300,"Adrian, MI",Total,Change in Median Earnings Gap,1411.1,0,,,
2018-2019,10300,"Adrian, MI",Total,Change in Median Earnings Gap,1152.75,0,,,
2009-2019,10420,"Akron, OH",Total,Change in Median Earnings Gap,3032.95,1,Large,153,45
2014-2019,10420,"Akron, OH",Total,Change in Median Earnings Gap,-1879.6801,1,Large,42,15
2018-2019,10420,"Akron, OH",Total,Change in Median Earnings Gap,-627.67999,1,Large,83,30
2009-2019,10460,"Alamogordo, NM",Total,Change in Median Earnings Gap,-1600.95,0,,,
2014-2019,10460,"Alamogordo, NM",Total,Change in Median Earnings Gap,-3230.1699,0,,,
2018-2019,10460,"Alamogordo, NM",Total,Change in Median Earnings Gap,1214.77,0,,,
2009-2019,10500,"Albany, GA",Total,Change in Median Earnings Gap,2047.75,0,,,
2014-2019,10500,"Albany, GA",Total,Change in Median Earnings Gap,-1711.29,0,,,
2018-2019,10500,"Albany, GA",Total,Change in Median Earnings Gap,3929.7,0,,,
2009-2019,10540,"Albany-Lebanon, OR",Total,Change in Median Earnings Gap,-4673.54,0,,,
