cbsa_code,cbsa_name,year,tot_lic,lg_lic,sm_lic,st_lic,inc_lic,tot_IP,tot_st,instate_st
NA,NA,2006,7,0,3,4,15751,43,3,3
NA,NA,2007,6,2,3,1,408668,55,1,1
NA,NA,2008,11,2,4,5,184693,38,5,5
NA,NA,2009,3,0,1,2,171324,23,2,0
NA,NA,2010,11,6,2,3,247226,37,3,3
NA,NA,2011,7,0,4,3,319482,33,3,2
NA,NA,2012,8,2,5,1,418048,49,1,0
NA,NA,2013,6,0,3,3,458000,29,3,2
NA,NA,2014,2,1,0,1,527000,46,1,0
NA,NA,2015,7,1,1,5,630000,39,4,2
NA,NA,2016,6,0,1,5,561000,56,5,2
NA,NA,2017,4,0,1,3,286000,40,3,2
10420,"Akron, OH",2006,10,2,4,4,2437712,69,5,5
10420,"Akron, OH",2007,11,3,6,2,6761249,85,3,3
10420,"Akron, OH",2008,16,2,6,8,1474559,66,5,5
10420,"Akron, OH",2009,10,7,2,1,794069,82,5,5
10420,"Akron, OH",2010,18,6,9,3,603459,53,2,2
10420,"Akron, OH",2011,8,4,0,4,638685,100,4,2
10420,"Akron, OH",2012,6,0,4,2,336155,63,2,2
10420,"Akron, OH",2013,4,1,0,3,226111,69,6,5
10420,"Akron, OH",2014,3,0,0,3,152500,85,3,3
10420,"Akron, OH",2015,7,1,1,5,233000,76,3,3
10420,"Akron, OH",2016,5,0,0,5,93000,58,4,4
10420,"Akron, OH",2017,6,0,1,5,93760,63,4,4
10580,"Albany-Schenectady-Troy, NY",2006,62,12,36,14,11094540,363,14,9
10580,"Albany-Schenectady-Troy, NY",2007,68,26,21,21,11047492,367,10,7
10580,"Albany-Schenectady-Troy, NY",2008,66,12,30,24,19577321,343,11,9
10580,"Albany-Schenectady-Troy, NY",2009,59,20,29,10,16928418,388,6,5
10580,"Albany-Schenectady-Troy, NY",2010,58,14,27,17,14195020,337,7,7
10580,"Albany-Schenectady-Troy, NY",2011,45,12,20,13,13725147,349,10,8
10580,"Albany-Schenectady-Troy, NY",2012,61,22,25,14,11711353,357,13,8
10580,"Albany-Schenectady-Troy, NY",2013,39,15,16,8,8819142,254,4,3
10580,"Albany-Schenectady-Troy, NY",2014,39,6,16,17,13200926,293,12,10
10580,"Albany-Schenectady-Troy, NY",2015,71,15,36,20,18270234,296,10,8
10580,"Albany-Schenectady-Troy, NY",2016,70,23,26,21,10741022,306,13,10
10580,"Albany-Schenectady-Troy, NY",2017,54,16,19,19,7284350,259,19,17
10740,"Albuquerque, NM",2006,23,4,12,7,781864,96,7,2
10740,"Albuquerque, NM",2007,23,1,14,8,718524,85,8,4
10740,"Albuquerque, NM",2008,21,2,13,6,563194,112,6,1
10740,"Albuquerque, NM",2009,37,8,29,0,805381,113,8,5
10740,"Albuquerque, NM",2010,33,3,25,5,3772659,122,5,4
10740,"Albuquerque, NM",2011,36,4,27,5,3095933,110,5,3
10740,"Albuquerque, NM",2012,46,5,11,30,2535356,124,7,5
10740,"Albuquerque, NM",2013,63,3,21,39,1702016,138,9,7
10740,"Albuquerque, NM",2014,56,4,9,43,1072923,119,9,7
10740,"Albuquerque, NM",2015,50,3,4,43,1502967,125,9,6
10740,"Albuquerque, NM",2016,53,1,0,48,1927020,102,12,7
10740,"Albuquerque, NM",2017,58,0,4,54,1335335,114,12,4
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,7,2,2,3,179084,18,2,2
10900,"Allentown-Bethlehem-Easton, PA-NJ",2007,2,1,0,1,156015,24,1,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2008,0,0,0,0,299238,20,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2009,0,0,0,0,0,18,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2010,0,0,0,0,169006,25,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2011,0,0,0,0,63310,19,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2012,1,0,0,1,58542,20,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2013,1,1,0,0,77144,25,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2014,1,0,0,1,585688,20,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2015,2,0,0,2,72394,21,1,1
11180,"Ames, IA",2006,183,10,165,8,24127395,209,7,3
11180,"Ames, IA",2007,149,15,128,6,35051725,201,4,3
11180,"Ames, IA",2008,79,19,58,2,32140480,155,2,2
11180,"Ames, IA",2009,103,12,89,2,51754883,165,4,3
11180,"Ames, IA",2010,104,16,82,6,36393708,181,3,3
11180,"Ames, IA",2011,70,15,46,9,17592461,174,4,4
11180,"Ames, IA",2012,70,14,52,4,17136424,204,4,4
11180,"Ames, IA",2013,108,20,78,10,10313716,194,8,6
11180,"Ames, IA",2014,91,25,47,19,6438546,252,14,13
11180,"Ames, IA",2015,148,34,95,19,4716403,277,11,11
11180,"Ames, IA",2016,124,17,77,30,6333090,295,19,18
11180,"Ames, IA",2017,145,38,78,29,5851362,223,14,13
11260,"Anchorage, AK",2010,16,0,0,0,13500,0,0,0
11260,"Anchorage, AK",2011,1,0,1,0,25000,24,0,0
11260,"Anchorage, AK",2012,2,0,2,0,11500,12,0,0
11260,"Anchorage, AK",2013,2,0,0,2,6500,15,2,2
11260,"Anchorage, AK",2014,2,0,0,2,9500,10,0,0
11260,"Anchorage, AK",2015,1,0,0,1,0,3,1,1
11260,"Anchorage, AK",2016,1,0,0,3,0,5,1,0
11260,"Anchorage, AK",2017,1,0,0,1,0,4,0,0
11460,"Ann Arbor, MI",2006,97,37,30,30,20438727,288,9,8
11460,"Ann Arbor, MI",2007,91,23,38,30,12795739,329,7,6
11460,"Ann Arbor, MI",2008,91,25,43,23,25008033,306,13,9
11460,"Ann Arbor, MI",2009,78,14,47,17,18311368,350,8,5
11460,"Ann Arbor, MI",2010,97,23,49,25,39822113,290,10,8
11460,"Ann Arbor, MI",2011,101,34,57,10,15608697,322,11,8
11460,"Ann Arbor, MI",2012,123,34,49,40,13909993,368,11,9
11460,"Ann Arbor, MI",2013,108,34,50,24,14464565,412,9,8
11460,"Ann Arbor, MI",2014,148,31,76,41,18465087,421,14,10
11460,"Ann Arbor, MI",2015,164,50,89,25,78779947,422,19,10
11460,"Ann Arbor, MI",2016,173,38,101,34,23391292,428,12,10
11460,"Ann Arbor, MI",2017,173,43,106,24,14645930,444,12,8
11900,"Athens, OH",2006,4,0,3,1,3263162,32,0,0
11900,"Athens, OH",2007,1,0,0,1,4412900,43,1,1
11900,"Athens, OH",2008,3,0,0,3,5872011,24,3,2
11900,"Athens, OH",2009,1,0,1,0,6875069,39,0,0
11900,"Athens, OH",2012,0,0,0,0,9400000,30,4,4
11900,"Athens, OH",2013,3,0,1,2,9926243,26,2,2
11900,"Athens, OH",2014,2,1,1,0,10669310,38,0,0
11900,"Athens, OH",2015,1,1,0,0,10593162,21,0,0
11900,"Athens, OH",2016,0,0,0,0,7719292,29,0,0
11900,"Athens, OH",2017,2,0,1,1,2360012,32,1,1
12020,"Athens-Clarke County, GA",2006,85,4,77,4,16805484,106,1,0
12020,"Athens-Clarke County, GA",2007,125,3,116,6,16156819,112,3,1
12020,"Athens-Clarke County, GA",2008,130,9,111,10,24128536,111,2,2
12020,"Athens-Clarke County, GA",2009,124,22,99,3,30531425,139,6,3
12020,"Athens-Clarke County, GA",2010,112,14,89,9,6672555,144,4,4
12020,"Athens-Clarke County, GA",2011,152,24,116,12,6866280,169,4,4
12020,"Athens-Clarke County, GA",2012,232,115,116,1,7513547,203,0,0
12020,"Athens-Clarke County, GA",2013,151,16,128,7,8260195,140,3,3
12020,"Athens-Clarke County, GA",2014,139,25,108,6,6576756,160,5,4
12020,"Athens-Clarke County, GA",2015,170,25,138,7,6527556,128,6,4
12020,"Athens-Clarke County, GA",2016,145,15,118,12,7622544,198,7,6
12020,"Athens-Clarke County, GA",2017,203,18,179,6,8733292,192,4,3
12060,"Atlanta-Sandy Springs-Alpharetta, GA",2006,47,15,17,15,19607751,496,11,9
12060,"Atlanta-Sandy Springs-Alpharetta, GA",2007,73,26,30,17,19660822,474,15,12
12060,"Atlanta-Sandy Springs-Alpharetta, GA",2008,73,27,29,17,21344218,503,12,14
12060,"Atlanta-Sandy Springs-Alpharetta, GA",2009,101,37,54,10,17445811,525,10,8
12060,"Atlanta-Sandy Springs-Alpharetta, GA",2010,78,29,37,12,16666366,621,12,11
12060,"Atlanta-Sandy Springs-Alpharetta, GA",2011,126,54,49,23,19793479,621,11,8
12060,"Atlanta-Sandy Springs-Alpharetta, GA",2012,174,113,39,22,27789721,652,19,14
12060,"Atlanta-Sandy Springs-Alpharetta, GA",2013,131,61,41,29,6720867,509,18,11
12060,"Atlanta-Sandy Springs-Alpharetta, GA",2014,69,28,23,18,15319016,550,11,10
12060,"Atlanta-Sandy Springs-Alpharetta, GA",2015,75,19,32,24,9634676,517,14,8
12060,"Atlanta-Sandy Springs-Alpharetta, GA",2016,57,17,31,9,7719337,485,9,3
12060,"Atlanta-Sandy Springs-Alpharetta, GA",2017,79,25,37,17,10011269,545,17,12
12220,"Auburn-Opelika, AL",2006,18,8,8,2,699810,93,0,0
12220,"Auburn-Opelika, AL",2007,13,3,6,4,553614,110,2,0
12220,"Auburn-Opelika, AL",2008,14,1,12,1,675132,84,1,1
12220,"Auburn-Opelika, AL",2009,15,0,15,0,693452,87,0,0
12220,"Auburn-Opelika, AL",2010,25,2,22,1,770134,105,1,1
12220,"Auburn-Opelika, AL",2011,20,1,16,3,630334,64,3,2
12220,"Auburn-Opelika, AL",2012,17,2,10,5,646659,87,1,1
12220,"Auburn-Opelika, AL",2013,7,2,5,0,835897,65,0,0
12220,"Auburn-Opelika, AL",2014,18,7,10,1,863334,54,1,1
12220,"Auburn-Opelika, AL",2015,24,12,8,4,1170753,57,2,0
12220,"Auburn-Opelika, AL",2016,13,4,8,1,1215367,71,1,1
12220,"Auburn-Opelika, AL",2017,22,8,11,3,1414816,70,3,1
12260,"Augusta-Richmond County, GA-SC",2006,11,5,3,3,223607,33,1,1
12260,"Augusta-Richmond County, GA-SC",2007,17,6,8,3,229172,53,0,0
12260,"Augusta-Richmond County, GA-SC",2008,8,3,2,3,290204,33,0,0
12260,"Augusta-Richmond County, GA-SC",2009,3,0,2,1,296390,42,0,0
12260,"Augusta-Richmond County, GA-SC",2010,0,0,0,0,0,0,0,0
12260,"Augusta-Richmond County, GA-SC",2011,6,3,0,3,148090,37,1,1
12260,"Augusta-Richmond County, GA-SC",2012,4,2,2,0,63417,30,0,1
12260,"Augusta-Richmond County, GA-SC",2013,6,4,2,0,205809,45,0,0
12260,"Augusta-Richmond County, GA-SC",2014,11,5,2,4,160813,32,4,4
12260,"Augusta-Richmond County, GA-SC",2015,10,7,1,2,416712,47,0,0
12260,"Augusta-Richmond County, GA-SC",2016,9,8,1,0,2555046,38,0,0
12260,"Augusta-Richmond County, GA-SC",2017,9,3,2,4,389743,40,4,3
12420,"Austin-Round Rock-Georgetown, TX",2006,50,10,33,7,8431700,98,7,5
12420,"Austin-Round Rock-Georgetown, TX",2007,20,9,8,3,6652102,139,3,2
12420,"Austin-Round Rock-Georgetown, TX",2008,56,30,13,13,11553727,154,10,6
12420,"Austin-Round Rock-Georgetown, TX",2009,161,58,73,30,32428040,744,22,25
12420,"Austin-Round Rock-Georgetown, TX",2010,175,49,99,43,38309487,713,33,28
12420,"Austin-Round Rock-Georgetown, TX",2011,157,45,75,37,65359377,719,20,27
12420,"Austin-Round Rock-Georgetown, TX",2012,136,39,81,23,61309587,774,22,21
12420,"Austin-Round Rock-Georgetown, TX",2013,146,39,75,32,55139493,823,18,12
12420,"Austin-Round Rock-Georgetown, TX",2014,163,44,81,38,52690395,830,27,18
12420,"Austin-Round Rock-Georgetown, TX",2015,252,149,50,53,57746934,874,30,26
12420,"Austin-Round Rock-Georgetown, TX",2016,247,132,80,35,216001636,948,33,27
12420,"Austin-Round Rock-Georgetown, TX",2017,279,136,88,55,60259197,868,37,23
12580,"Baltimore-Columbia-Towson, MD",2006,77,33,37,7,14317263,475,6,5
12580,"Baltimore-Columbia-Towson, MD",2007,126,98,21,6,13968273,557,5,6
12580,"Baltimore-Columbia-Towson, MD",2008,135,87,29,19,13156605,572,15,10
12580,"Baltimore-Columbia-Towson, MD",2009,120,42,66,12,13656354,470,12,7
12580,"Baltimore-Columbia-Towson, MD",2010,130,67,50,13,13628684,489,13,5
12580,"Baltimore-Columbia-Towson, MD",2011,185,88,77,20,16690111,656,12,18
12580,"Baltimore-Columbia-Towson, MD",2012,183,81,93,9,16695930,652,9,5
12580,"Baltimore-Columbia-Towson, MD",2013,151,67,72,12,18352947,671,12,6
12580,"Baltimore-Columbia-Towson, MD",2014,152,46,87,19,17047004,710,19,15
12580,"Baltimore-Columbia-Towson, MD",2015,171,47,108,16,18419744,791,16,15
12580,"Baltimore-Columbia-Towson, MD",2016,184,53,105,26,58436106,775,26,21
12580,"Baltimore-Columbia-Towson, MD",2017,200,60,117,23,17565622,929,23,15
12620,"Bangor, ME",2015,16,0,0,0,369982,19,1,0
12940,"Baton Rouge, LA",2006,13,1,8,4,5565255,138,4,3
12940,"Baton Rouge, LA",2007,19,1,16,2,4872555,131,2,0
12940,"Baton Rouge, LA",2008,12,2,8,2,2865003,141,2,1
12940,"Baton Rouge, LA",2009,17,3,8,6,6349177,118,6,4
12940,"Baton Rouge, LA",2010,26,1,20,5,9575115,121,5,4
12940,"Baton Rouge, LA",2011,33,0,29,4,11620443,96,4,3
12940,"Baton Rouge, LA",2012,19,4,12,3,10322805,88,3,3
12940,"Baton Rouge, LA",2013,24,4,17,3,10148412,112,3,3
12940,"Baton Rouge, LA",2014,29,1,26,2,10547492,142,2,2
12940,"Baton Rouge, LA",2015,27,0,13,7,11104217,152,7,4
12940,"Baton Rouge, LA",2016,39,6,30,3,9538939,173,3,3
12940,"Baton Rouge, LA",2017,35,16,9,10,9174480,173,6,6
13820,"Birmingham-Hoover, AL",2006,11,1,10,0,4685000,91,1,1
13820,"Birmingham-Hoover, AL",2007,17,8,9,0,3503204,92,0,0
13820,"Birmingham-Hoover, AL",2008,17,4,10,3,7404587,100,1,1
13820,"Birmingham-Hoover, AL",2009,29,8,15,6,2668761,97,5,3
13820,"Birmingham-Hoover, AL",2010,22,6,12,4,3804741,104,4,4
13820,"Birmingham-Hoover, AL",2011,27,13,9,5,6676056,85,5,3
13820,"Birmingham-Hoover, AL",2012,35,21,12,2,3965423,112,2,2
13820,"Birmingham-Hoover, AL",2013,22,10,9,3,4368684,101,2,2
13820,"Birmingham-Hoover, AL",2014,22,15,6,1,3998632,90,1,0
13820,"Birmingham-Hoover, AL",2015,23,14,9,0,3596587,56,0,0
13820,"Birmingham-Hoover, AL",2016,40,15,20,5,9839615,74,5,4
13820,"Birmingham-Hoover, AL",2017,44,15,23,6,4669909,91,6,4
13980,"Blacksburg-Christiansburg, VA",2006,10,2,7,1,1925564,119,1,1
13980,"Blacksburg-Christiansburg, VA",2007,15,2,11,2,1990550,126,2,2
13980,"Blacksburg-Christiansburg, VA",2008,20,1,18,1,1975867,197,3,2
13980,"Blacksburg-Christiansburg, VA",2009,35,6,22,7,2022510,176,6,2
13980,"Blacksburg-Christiansburg, VA",2010,45,28,15,2,3345236,148,2,0
13980,"Blacksburg-Christiansburg, VA",2011,24,16,7,1,1815665,149,1,0
