cbsa_code,rd_total,rd_total_biz
10220,2421.1,0
10420,643885.14,24286.82
10500,15373.88,1168.5
10580,1771223.31,316429.02
10740,1061853.25,18025.05
10900,330045.49,12669.37
11100,24523.239999999998,1607.25
11180,1362095.95,88061.22
11260,90202.23,3257.3
11460,6356250.17,248947.75
11500,5860.04,100.66
11700,18450.95,250.43
11740,3272.62,0
11900,275467.92,24862.83
12020,1701513.65,51590.26
12060,6979619.79,354726.68
12100,4198.99,60.980000000000004
12180,1448.68,1.88
12220,657226.48,27041.91
12260,316955.88,13237.44
12300,8459.82,0
12420,13277320.17,1366653.6400000001
12540,11617.78,188.81
12580,13196535.51,350998.2
12620,397681.19,14309.36
12700,972054.87,28537.29
12740,7784.3099999999995,23.11
12940,1374682.96,63295.5
13020,4106.74,73.78
13140,13199.35,859.8
13380,51150.17,1169.5
13780,363791.17,16033.98
13820,2195530.85,155157.28
13980,2317433.72,138824.92
14010,87706.2,494.9
14020,1451137.92,48426.11
14100,1185.96,0
14260,132637.82,1447.45
14380,17411.59,2431.81
14460,16033370.290000001,1109290.34
14500,1876654.05,56581.66
14540,125134.70999999999,1700.79
14580,528703.78,3846.13
14860,36358.34,195.21
15100,287001.99,4688.57
15180,29804.95,0
15380,1783133.8599999999,101061.41
15500,10231.35,2.86
15540,534283.93,13789.119999999999
15580,53281.61,3202.93
15700,275912.74,3565.4
15980,50718.65,10229.48
16060,589326.62,67041.04000000001
16540,522.85,0
16580,2972692.51,189865.13999999998
16620,27129,27
16660,1516.24,91.94
16700,1182206.46,73577.21
16740,196464.58,9056.61
16820,3511453.46,160660.36
16860,38404.89,659.85
16980,7660530.14,321247.05
17020,11064.630000000001,617.09
17140,2104942.52,110801.76
17200,992294.36,28209.31
17300,9375.36,92.81
17460,2236454.42,57219.49
17580,440.96,0
17780,3889729.55,267239.93
17820,267022.15,6734.08
17860,1117347.52,29410.17
17900,974383.41,35060.33
17980,1366.28,13.36
18140,3708114.66,532642.09
18260,48648.369999999995,389.12
18580,188092.28,7315.58
18660,768.44,1.88
18700,1115360.46,38114.36
18820,3726.45,0
19000,5875.17,58.97
19100,3486896.79,198593.33
19340,13267.32,0
19380,1185721.1,49902.270000000004
19660,75032.06,5159.91
19740,2306382.1,252784.79
19780,4380.19,194.85
19820,1158783.3,40485
20100,81204.6,746.59
20260,116551.21,2587.16
20500,9346752.87,1185686.17
20740,4415.43,200.04
21020,30027,0
21260,11400.83,565.77
21340,445313.3,9241.12
21500,26266.73,2319.38
21660,436180.6,4315.83
21700,48999.67,3118.63
21820,709000.29,24147.22
22020,692956.65,5998.29
22060,33848.68,8.57
22180,70908.2,630.79
22220,603459.59,48545.479999999996
22380,152229.57,2431.43
22420,16810.69,3678.18
22660,1523870.5499999998,53761.94
23180,57977.6,333.54
23420,38235.13,775.02
23540,3355552.46,152377.11000000002
24220,325313.38,49326.71
24340,136980.02,5191.48
24540,16408.22,173.54999999999998
24580,6239.22,296.13
24640,23390.26,0
24660,265721.77999999997,2145.06
24780,140924.26,12095.64
24860,757422.66,75830.87
25220,9694.44,71.57
25420,20703.46,764.78
25500,24574.83,NA
25540,1248425.62,42238.880000000005
25620,254562.95,24907.52
25740,53281.61,3202.93
25900,67961.68,191.32
25940,812.31,0
26090,14539.08,0
26340,326815.98,26763.24
26380,7974.15,485.22999999999996
26420,5679528.05,225639.63999999998
26580,92083.88,3074.27
26620,568105.44,8202.99
26660,17904.32,112.69
26860,4908.05,0
26900,1020124.2,51936.020000000004
26980,2077899.35,83067.35
27060,4123345.9,170452.25
27140,158299.55,0
27260,22282.96,1667.1
27620,30903.579999999998,0
27740,39781.02,3021.44
27780,2782.46,0
27860,45924.87,412.51
27940,7247.6900000000005,129.55
28020,90320.32,6372.47
28140,1512807.61,56008.46
28260,7714.18,21.57
28300,7746.6,0
28780,92429.11,2793.97
28860,19561.95,0
28900,5496.33,191.69
28940,1154298.71,43426.31
29100,16316.82,2153.49
29180,325091.75,58116.83
29200,2984580.34,188008.75
29340,6826.05,26.240000000000002
29460,193.06,0
29540,15916.07,585.04
29620,2513516.77,37161.55
29660,324173.72,11355.37
29700,15832.21,499.46
29740,615658.31,17139.66
29780,4530.36,0
29820,206673.96,3020.09
29940,1385377.1,52999.990000000005
30260,19679.01,1155.07
30340,9937.72,56
30460,1611177.92,60075.83
30700,1274581.72,78192.93
30780,661985.62,6510.53
30860,777189.7,22815.32
31080,11561985.81,546085.28
31140,918709.52,34746.1
31180,940949.05,52480.93
31380,8193.55,247.67
31420,163047.28,33206.75
31540,5208872.26,107663.01000000001
31740,856034.71,22848.88
31860,26465.36,0
32100,1006.12,8.1
32220,11623.1,0
32280,553.38,13.36
32420,131609.56,8249.44
32460,11235.31,796.53
32580,66469.21,1794.1599999999999
32740,912.53,0
32780,2907.69,37.21
32820,559642.89,30616.32
32860,4415.43,200.04
32900,124821.06999999999,3335.1
33100,2495661.83,141454.93
33140,14798.21,48.410000000000004
33340,1340777.99,68498.05
33460,4074413.13,134737.05
33540,281900.32,3580.67
33660,196633.21000000002,6844.62
33700,6207.18,1049.29
33740,10773.17,163.49
33860,21082.72,0
34060,780048.56,39698.94
34140,451803.9,10145.63
34380,60802.94,1170.6100000000001
34460,10118.83,0
34620,49595.54,1393.52
34660,11235.31,796.53
34820,9954.37,8.44
34860,22512.18,664.3
34980,3187781.45,119785.41
35060,4205.16,0
35300,3634900.35,182384.12
35380,1146765.61,38601.46
35500,17200.57,14.95
35620,18851309.68,783205.76
35840,11540.34,1358.8
35980,8704.83,0
36220,7091.1900000000005,405.13
36260,944.57,193.68
36300,62007.2,9481.1
36420,1224718.22,46679.73
36460,1598.6,29.29
36500,781.41,0.95
36540,828706.91,49753.6
36580,851.94,2.81
36700,71216.31,197.48
36740,816619.8,39139.78
36780,7591.01,60.39999999999999
37060,514045.57,29699.170000000002
37100,19986.27,206.01
37340,71905.61,8526.15
37860,116827.65,4957.8
37900,9635.4,4026.52
37980,7554285.06,499449.68
38060,2026263.56,67782.39
38220,80474.26000000001,0
38260,9090.98,3311.4
38300,5334820.81,173464.52
38340,22364.12,0
38420,1804.74,404.90999999999997
38460,3751.41,0
38540,94647.63,4932.3
38660,37149.880000000005,0
38780,440.96,0
38860,109654.93,1815.95
38900,1814919.26,86448.06999999999
39300,2285626.01,33313.55
39340,175356.14,19395.46
39420,1557338.92,63807.060000000005
39580,2060324.36,243543.59999999998
39660,133703.86,6277.32
39860,33848.68,8.57
39900,540551.09,9112.6
39980,498.56,3.6
40060,1419332.39,39340.16
40080,10831.7,119.17
40140,860681.37,43024.37
40220,718.05,8.42
40380,1901059.46,93388.18000000001
40620,175532.58000000002,20921.93
40820,120497.99,2950.67
40900,3416626.84,196925.59
41060,25870.15,2151.99
41180,6848728.03,541582.14
41420,12512.51,0
41500,473357.58999999997,2157.82
41540,75066.95,277.79999999999995
41620,2109541.66,174426.08
41660,3580.32,16.86
41700,1491672.63,61104.98
41740,7284460.82,462886.66
41860,9054021.81,678625.74
41940,4722597.89,376200.18
41980,481443.98,10817.94
42020,76723.85,5784.46
42100,703877.17,38119.91
42200,1068255,110615.44
42220,5080.389999999999,0
42300,2000.51,339.11
42340,16018.9,129.26999999999998
42540,11886.84,15.51
42660,5583339.2700000005,183429.47
42900,5532.78,55.120000000000005
43340,245010.82,17852.82
43620,26336.43,1287.17
43780,845365.75,26899.71
43940,12180.2,42.09
44060,17766.03,2493.77
44100,9561.779999999999,0
44140,999704.7100000001,33988.65
44180,17253.54,1522.24
44260,1031041.1599999999,55068.13
44300,3748367.1399999997,157602.26
44340,72337.79,31506.53
44500,45625.67,1659.48
44620,18865.57,303.27
44660,683473.74,30615.01
44700,18297.41,1434.91
45060,620371.97,36289
45220,1381892.85,12550.11
45300,2238337.73,114371.11
45460,10513.89,1601.4299999999998
45660,4644.58,334.94
45780,328605.7,17361.05
45820,1382712.33,52999.990000000005
45940,1323972.51,45448.61
46060,2825172.21,69664.26
46100,3652.9700000000003,0
46140,143251.45,67011.89
46220,263624.99,10593.85
46340,47947.61,1037.81
46520,1472607.32,38365.51
46540,948171.0700000001,478410.15
46700,3363818.7199999997,199656.04
46820,136583.77,247.28000000000003
46980,46811.93,859.78
47260,1488078.68,32458.11
47380,88098.81,6085.5599999999995
47460,810.04,0
47580,39409.26,0
47900,6840615.63,104286.15
47940,17259.7,452.87
48260,16083.92,0
48540,34929.01,90.33
48620,284215.17,138177.71
48900,77654.35,1860.02
49180,842363.98,47880.38
49300,3272.62,0
49340,1325360.11,51175.46
49660,15332.470000000001,255.91
NA,1783294.89,96669.15
