rd_total,rd_total_biz,cbsa_code
2421.1,0,10220
643885.14,24286.82,10420
15373.88,1168.5,10500
1771223.31,316429.02,10580
1061853.25,18025.05,10740
330045.49,12669.37,10900
24523.239999999998,1607.25,11100
1362095.95,88061.22,11180
90202.23,3257.3,11260
6356250.17,248947.75,11460
5860.04,100.66,11500
18450.95,250.43,11700
3272.62,0,11740
275467.92,24862.83,11900
1701513.65,51590.26,12020
6979619.79,354726.68,12060
4198.99,60.980000000000004,12100
1448.68,1.88,12180
657226.48,27041.91,12220
316955.88,13237.44,12260
8459.82,0,12300
13277320.17,1366653.6400000001,12420
11617.78,188.81,12540
13196535.51,350998.2,12580
397681.19,14309.36,12620
972054.87,28537.29,12700
7784.3099999999995,23.11,12740
1374682.96,63295.5,12940
4106.74,73.78,13020
13199.35,859.8,13140
51150.17,1169.5,13380
363791.17,16033.98,13780
2195530.85,155157.28,13820
2317433.72,138824.92,13980
87706.2,494.9,14010
1451137.92,48426.11,14020
1185.96,0,14100
132637.82,1447.45,14260
17411.59,2431.81,14380
16033370.290000001,1109290.34,14460
1876654.05,56581.66,14500
125134.70999999999,1700.79,14540
528703.78,3846.13,14580
36358.34,195.21,14860
287001.99,4688.57,15100
29804.95,0,15180
1783133.8599999999,101061.41,15380
10231.35,2.86,15500
534283.93,13789.119999999999,15540
53281.61,3202.93,15580
275912.74,3565.4,15700
50718.65,10229.48,15980
589326.62,67041.04000000001,16060
522.85,0,16540
2972692.51,189865.13999999998,16580
27129,27,16620
1516.24,91.94,16660
1182206.46,73577.21,16700
196464.58,9056.61,16740
3511453.46,160660.36,16820
38404.89,659.85,16860
7660530.14,321247.05,16980
11064.630000000001,617.09,17020
2104942.52,110801.76,17140
992294.36,28209.31,17200
9375.36,92.81,17300
2236454.42,57219.49,17460
440.96,0,17580
3889729.55,267239.93,17780
267022.15,6734.08,17820
1117347.52,29410.17,17860
974383.41,35060.33,17900
1366.28,13.36,17980
3708114.66,532642.09,18140
48648.369999999995,389.12,18260
188092.28,7315.58,18580
768.44,1.88,18660
1115360.46,38114.36,18700
3726.45,0,18820
5875.17,58.97,19000
3486896.79,198593.33,19100
13267.32,0,19340
1185721.1,49902.270000000004,19380
75032.06,5159.91,19660
2306382.1,252784.79,19740
4380.19,194.85,19780
1158783.3,40485,19820
81204.6,746.59,20100
116551.21,2587.16,20260
9346752.87,1185686.17,20500
4415.43,200.04,20740
30027,0,21020
11400.83,565.77,21260
445313.3,9241.12,21340
26266.73,2319.38,21500
436180.6,4315.83,21660
48999.67,3118.63,21700
709000.29,24147.22,21820
692956.65,5998.29,22020
33848.68,8.57,22060
70908.2,630.79,22180
603459.59,48545.479999999996,22220
152229.57,2431.43,22380
16810.69,3678.18,22420
1523870.5499999998,53761.94,22660
57977.6,333.54,23180
