cbsa_code,cbsa_name,year,patents_issued
41940,"San Jose-Sunnyvale-Santa Clara, CA",2000,5812
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",2000,5689
41860,"San Francisco-Oakland-Fremont, CA",2000,3625
31100,"Los Angeles-Long Beach-Santa Ana, CA",2000,3877
14460,"Boston-Cambridge-Quincy, MA-NH",2000,2972
16980,"Chicago-Joliet-Naperville, IL-IN-WI",2000,3101
41740,"San Diego-Carlsbad-San Marcos, CA",2000,1724
42660,"Seattle-Tacoma-Bellevue, WA",2000,1141
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2000,2244
19820,"Detroit-Warren-Livonia, MI",2000,2120
19100,"Dallas-Fort Worth-Arlington, TX",2000,2116
12420,"Austin-Round Rock-San Marcos, TX",2000,1680
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2000,2185
26420,"Houston-Sugar Land-Baytown, TX",2000,1767
38900,"Portland-Vancouver-Hillsboro, OR-WA",2000,988
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2000,1218
12060,"Atlanta-Sandy Springs-Marietta, GA",2000,1023
38060,"Phoenix-Mesa-Glendale, AZ",2000,1259
40380,"Rochester, NY",2000,1382
14260,"Boise City-Nampa, ID",2000,1450
39580,"Raleigh-Cary, NC",2000,672
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",2000,989
17140,"Cincinnati-Middletown, OH-KY-IN",2000,864
19740,"Denver-Aurora-Broomfield, CO",2000,627
17460,"Cleveland-Elyria-Mentor, OH",2000,772
38300,"Pittsburgh, PA",2000,736
10580,"Albany-Schenectady-Troy, NY",2000,495
12580,"Baltimore-Towson, MD",2000,645
41180,"St. Louis, MO-IL",2000,632
39100,"Poughkeepsie-Newburgh-Middletown, NY",2000,523
14860,"Bridgeport-Stamford-Norwalk, CT",2000,669
14500,"Boulder, CO",2000,458
33340,"Milwaukee-Waukesha-West Allis, WI",2000,532
25540,"Hartford-West Hartford-East Hartford, CT",2000,481
26900,"Indianapolis-Carmel, IN",2000,544
28140,"Kansas City, MO-KS",2000,291
11460,"Ann Arbor, MI",2000,371
40900,"Sacramento--Arden-Arcade--Roseville, CA",2000,441
37100,"Oxnard-Thousand Oaks-Ventura, CA",2000,375
14740,"Bremerton-Silverdale, WA",2000,208
42100,"Santa Cruz-Watsonville, CA",2000,355
49340,"Worcester, MA",2000,362
46060,"Tucson, AZ",2000,268
39300,"Providence-New Bedford-Fall River, RI-MA",2000,472
20500,"Durham-Chapel Hill, NC",2000,325
45300,"Tampa-St. Petersburg-Clearwater, FL",2000,407
41620,"Salt Lake City, UT",2000,374
15540,"Burlington-South Burlington, VT",2000,311
18140,"Columbus, OH",2000,342
35300,"New Haven-Milford, CT",2000,385
40140,"Riverside-San Bernardino-Ontario, CA",2000,362
40340,"Rochester, MN",2000,262
22660,"Fort Collins-Loveland, CO",2000,302
45940,"Trenton-Ewing, NJ",2000,349
10420,"Akron, OH",2000,318
31540,"Madison, WI",2000,238
10900,"Allentown-Bethlehem-Easton, PA-NJ",2000,387
37340,"Palm Bay-Melbourne-Titusville, FL",2000,217
31700,"Manchester-Nashua, NH",2000,260
36740,"Orlando-Kissimmee-Sanford, FL",2000,183
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",2000,273
41700,"San Antonio-New Braunfels, TX",2000,245
15380,"Buffalo-Niagara Falls, NY",2000,363
42060,"Santa Barbara-Santa Maria-Goleta, CA",2000,171
10740,"Albuquerque, NM",2000,223
24860,"Greenville-Mauldin-Easley, SC",2000,136
29820,"Las Vegas-Paradise, NV",2000,167
17820,"Colorado Springs, CO",2000,272
39340,"Provo-Orem, UT",2000,132
19380,"Dayton, OH",2000,274
18700,"Corvallis, OR",2000,131
37900,"Peoria, IL",2000,236
32820,"Memphis, TN-MS-AR",2000,153
39900,"Reno-Sparks, NV",2000,115
42220,"Santa Rosa-Petaluma, CA",2000,148
24540,"Greeley, CO",2000,118
40060,"Richmond, VA",2000,166
30460,"Lexington-Fayette, KY",2000,176
19780,"Des Moines-West Des Moines, IA",2000,119
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2000,155
28940,"Knoxville, TN",2000,170
45060,"Syracuse, NY",2000,195
24340,"Grand Rapids-Wyoming, MI",2000,174
31140,"Louisville/Jefferson County, KY-IN",2000,147
13780,"Binghamton, NY",2000,221
26100,"Holland-Grand Haven, MI",2000,166
