stco_code,co_name,year,patents_issued
06085,Santa Clara County,2000,5799
06073,San Diego County,2000,1724
06037,Los Angeles County,2000,2420
53033,King County,2000,928
06081,San Mateo County,2000,1445
25017,Middlesex County,2000,1604
06001,Alameda County,2000,1356
06059,Orange County,2000,1457
26125,Oakland County,2000,1066
04013,Maricopa County,2000,1235
17031,Cook County,2000,1226
16001,Ada County,2000,1332
36055,Monroe County,2000,1230
37183,Wake County,2000,664
27053,Hennepin County,2000,786
48085,Collin County,2000,807
48491,Williamson County,2000,625
48201,Harris County,2000,787
36119,Westchester County,2000,614
48157,Fort Bend County,2000,648
41067,Washington County,2000,455
36061,New York County,2000,534
48113,Dallas County,2000,747
48453,Travis County,2000,473
06013,Contra Costa County,2000,433
09001,Fairfield County,2000,669
24031,Montgomery County,2000,500
48209,Hays County,2000,441
17097,Lake County,2000,608
08013,Boulder County,2000,458
36027,Dutchess County,2000,443
26163,Wayne County,2000,568
06075,San Francisco County,2000,214
25021,Norfolk County,2000,447
34025,Monmouth County,2000,535
26161,Washtenaw County,2000,371
42091,Montgomery County,2000,562
17043,DuPage County,2000,580
06111,Ventura County,2000,375
42003,Allegheny County,2000,481
53035,Kitsap County,2000,208
06087,Santa Cruz County,2000,355
34027,Morris County,2000,549
25027,Worcester County,2000,362
04019,Pima County,2000,268
25025,Suffolk County,2000,284
34035,Somerset County,2000,421
36103,Suffolk County,2000,421
27163,Washington County,2000,411
34023,Middlesex County,2000,409
13121,Fulton County,2000,272
39035,Cuyahoga County,2000,476
25009,Essex County,2000,310
12099,Palm Beach County,2000,394
49035,Salt Lake County,2000,358
41005,Clackamas County,2000,235
09009,New Haven County,2000,385
50007,Chittenden County,2000,296
08069,Larimer County,2000,302
34021,Mercer County,2000,349
09003,Hartford County,2000,309
10003,New Castle County,2000,373
27109,Olmsted County,2000,229
20091,Johnson County,2000,148
34003,Bergen County,2000,373
12011,Broward County,2000,341
27123,Ramsey County,2000,295
42029,Chester County,2000,357
48439,Tarrant County,2000,301
55025,Dane County,2000,223
12009,Brevard County,2000,217
29189,St. Louis County,2000,302
13135,Gwinnett County,2000,230
33011,Hillsborough County,2000,260
42017,Bucks County,2000,330
26099,Macomb County,2000,312
27003,Anoka County,2000,255
51059,Fairfax County,2000,219
18057,Hamilton County,2000,269
39153,Summit County,2000,262
36059,Nassau County,2000,292
34039,Union County,2000,354
36093,Schenectady County,2000,219
55133,Waukesha County,2000,264
42045,Delaware County,2000,264
51107,Loudoun County,2000,156
13089,DeKalb County,2000,186
06083,Santa Barbara County,2000,171
27037,Dakota County,2000,231
12086,Miami-Dade County,2000,254
08059,Jefferson County,2000,214
53061,Snohomish County,2000,145
32003,Clark County,2000,167
36029,Erie County,2000,329
53011,Clark County,2000,162
49049,Utah County,2000,132
39061,Hamilton County,2000,256
17197,Will County,2000,235
39025,Clermont County,2000,260
06065,Riverside County,2000,200
36091,Saratoga County,2000,161
08041,El Paso County,2000,254
41003,Benton County,2000,131
37063,Durham County,2000,156
12103,Pinellas County,2000,237
41051,Multnomah County,2000,115
42077,Lehigh County,2000,268
45045,Greenville County,2000,109
32031,Washoe County,2000,115
39049,Franklin County,2000,182
06097,Sonoma County,2000,148
08123,Weld County,2000,118
06041,Marin County,2000,178
48121,Denton County,2000,186
24027,Howard County,2000,157
37135,Orange County,2000,149
55079,Milwaukee County,2000,187
47157,Shelby County,2000,135
37119,Mecklenburg County,2000,171
13067,Cobb County,2000,140
39017,Butler County,2000,184
48339,Montgomery County,2000,149
12057,Hillsborough County,2000,131
34013,Essex County,2000,158
24005,Baltimore County,2000,178
33015,Rockingham County,2000,158
17089,Kane County,2000,151
34019,Hunterdon County,2000,178
06071,San Bernardino County,2000,162
26081,Kent County,2000,160
06067,Sacramento County,2000,148
24003,Anne Arundel County,2000,131
36067,Onondaga County,2000,174
36001,Albany County,2000,75
17111,McHenry County,2000,173
26139,Ottawa County,2000,166
25005,Bristol County,2000,152
08005,Arapahoe County,2000,131
39165,Warren County,2000,103
21067,Fayette County,2000,139
36047,Kings County,2000,133
39151,Stark County,2000,106
12095,Orange County,2000,97
19113,Linn County,2000,98
55087,Outagamie County,2000,135
09011,New London County,2000,165
08035,Douglas County,2000,97
12117,Seminole County,2000,61
06061,Placer County,2000,103
48091,Comal County,2000,107
01089,Madison County,2000,89
36007,Broome County,2000,173
26093,Livingston County,2000,84
35043,Sandoval County,2000,107
47093,Knox County,2000,120
55139,Winnebago County,2000,128
36081,Queens County,2000,140
48029,Bexar County,2000,100
21111,Jefferson County,2000,98
12001,Alachua County,2000,100
35001,Bernalillo County,2000,110
42071,Lancaster County,2000,111
06017,El Dorado County,2000,99
37081,Guilford County,2000,107
36101,Steuben County,2000,50
42129,Westmoreland County,2000,136
18003,Allen County,2000,136
09007,Middlesex County,2000,93
29183,St. Charles County,2000,91
36087,Rockland County,2000,116
