cbsa_code,period,cbsa_name,Early-Stage VC_Capital Invested ($ M),Early-Stage VC_Capital Invested ($ M) per 1M Residents,Early-Stage VC_Deals per 1M Residents,Early-Stage VC_Number of Deals,Early-Stage VC_Share of Global Capital Invested (%),Early-Stage VC_Share of Global Deals (%),Later-Stage VC_Capital Invested ($ M),Later-Stage VC_Capital Invested ($ M) per 1M Residents,Later-Stage VC_Deals per 1M Residents,Later-Stage VC_Number of Deals,Later-Stage VC_Share of Global Capital Invested (%),Later-Stage VC_Share of Global Deals (%),Pre-VC (Angel/Seed)_Capital Invested ($ M),Pre-VC (Angel/Seed)_Capital Invested ($ M) per 1M Residents,Pre-VC (Angel/Seed)_Deals per 1M Residents,Pre-VC (Angel/Seed)_Number of Deals,Pre-VC (Angel/Seed)_Share of Global Capital Invested (%),Pre-VC (Angel/Seed)_Share of Global Deals (%),Total VC_Capital Invested ($ M),Total VC_Capital Invested ($ M) per 1M Residents,Total VC_Deals per 1M Residents,Total VC_Number of Deals,Total VC_Share of Global Capital Invested (%),Total VC_Share of Global Deals (%)
10420,2015-17,Akron,12.15,17.283072,8.5348511,6,0.00765431,0.03389065,9,12.802276,5.6899004,4,0.00284973,0.04436557,14.544,20.688477,18.492176,13,0.03873925,0.0542028,35.693999,50.773827,32.716927,23,0.00697017,0.04536131
10580,2015-17,Albany (NY),16.013767,18.156199,4.5351472,4,0.01008842,0.02259376,59.198002,67.117912,4.5351472,4,0.01874427,0.04436557,16.552999,18.767572,19.274376,17,0.0440904,0.07088059,91.764769,104.04169,28.344671,25,0.01791942,0.04930578
10740,2015-17,Albuquerque,59.237396,64.882141,12.048193,11,0.03731862,0.06213285,163.59489,179.1839,19.715225,18,0.05180017,0.19964508,16.122,17.65827,21.905806,20,0.04294239,0.08338892,238.95429,261.7243,53.669224,49,0.04666195,0.09663932
10900,2015-17,Allentown,34.618999,41.410286,2.3923445,2,0.02180942,0.01129688,0.32499999,0.38875598,3.5885167,3,1.0291e-4,0.03327418,16.142,19.308613,11.961722,10,0.04299566,0.04169446,51.086,61.107655,17.942583,15,0.00997585,0.02958346
11460,2015-17,Ann Arbor,124.05759,340.81754,79.670326,29,0.07815432,0.16380479,360.38101,990.05774,63.186813,23,0.11410989,0.25510204,81.421051,223.6842,109.89011,40,0.21687227,0.16677785,565.85965,1554.5594,252.74725,92,0.11049859,0.18144525
12060,2015-17,Atlanta,648.78693,111.97565,19.330341,112,0.40872549,0.6326254,2037.6484,351.6825,16.741457,97,0.64519448,1.0758651,349.62329,60.3423,31.75699,184,0.931253,0.76717813,3036.0587,524.00049,67.828789,393,0.59286826,0.77508679
12420,2015-17,Austin,1400.1653,680.35242,101.069,208,0.88208197,1.1748757,1616.9956,785.71216,67.055397,138,0.51200031,1.5306123,617.8385,300.21307,178.81438,368,1.6456682,1.5343563,3634.9994,1766.2776,346.93878,714,0.70982678,1.408173
12580,2015-17,Baltimore,595.65454,212.65782,25.705105,72,0.37525294,0.40668775,568.19049,202.85272,13.209568,37,0.17991002,0.41038156,127.84507,45.642654,42.841843,120,0.34052681,0.50033354,1291.6901,461.1532,81.756516,229,0.25223559,0.45164088
13460,2015-17,Bend,4.8031392,26.53668,5.5248618,1,0.0030259,0.00564844,22.85,126.2431,16.574585,3,0.00723515,0.03327418,28.155001,155.55249,143.64641,26,0.07499337,0.1084056,55.80814,308.33228,165.74585,30,0.01089797,0.05916693
13820,2015-17,Birmingham,87.481766,76.270065,8.7183962,10,0.05511213,0.05648441,13.836,12.062773,1.7436792,2,0.00438099,0.02218279,23.018999,20.068874,21.79599,25,0.06131317,0.10423616,124.33677,108.40171,32.258064,37,0.02427994,0.07297255
